eBird_name,group_members,GBIF_name,GBIF_rank,GBIF_taxonKey
Struthio camelus,['Struthio camelus'],"Struthio camelus Linnaeus, 1758",SPECIES,2495150
Struthio molybdophanes,['Struthio molybdophanes'],"Struthio molybdophanes Reichenow, 1883",SPECIES,2495149
Casuarius casuarius,['Casuarius casuarius'],"Casuarius casuarius (Linnaeus, 1758)",SPECIES,5231783
Casuarius bennetti,['Casuarius bennetti'],"Casuarius bennetti Gould, 1857",SPECIES,5231784
Casuarius unappendiculatus,['Casuarius unappendiculatus'],"Casuarius unappendiculatus Blyth, 1860",SPECIES,5231785
Dromaius novaehollandiae,['Dromaius novaehollandiae'],"Dromaius novaehollandiae (Latham, 1790)",SPECIES,2495134
Apteryx australis,['Apteryx australis'],"Apteryx australis Shaw, 1813",SPECIES,2495145
Apteryx australis australis,['Apteryx australis australis'],Apteryx australis australis,SUBSPECIES,7192642
Apteryx australis lawryi,['Apteryx australis lawryi'],"Apteryx australis lawryi Rothschild, 1893",SUBSPECIES,6175930
Apteryx rowi,['Apteryx rowi'],"Apteryx rowi Tennyson, Palma, Robertson, Worthy & B.J.Gill, 2003",SPECIES,2495141
Apteryx mantelli,['Apteryx mantelli'],"Apteryx mantelli Bartlett, 1852",SPECIES,2495144
Apteryx owenii,['Apteryx owenii'],"Apteryx owenii Gould, 1847",SPECIES,2495142
Apteryx maxima,['Apteryx maxima'],,,
Rhea americana,['Rhea americana'],"Rhea americana (Linnaeus, 1758)",SPECIES,2495165
Rhea pennata,['Rhea pennata'],"Rhea pennata d'Orbigny, 1834",SPECIES,2495160
Rhea pennata tarapacensis/garleppi,"['Rhea pennata garleppi', 'Rhea pennata tarapacensis']","['Rhea pennata garleppi (C.Chubb, 1913)', 'Rhea pennata tarapacensis (C.Chubb, 1913)']","['SUBSPECIES', 'SUBSPECIES']","[6095518, 6542692]"
Rhea pennata pennata,['Rhea pennata pennata'],Rhea pennata pennata,SUBSPECIES,7342347
Nothocercus julius,['Nothocercus julius'],"Nothocercus julius (Bonaparte, 1854)",SPECIES,2477472
Nothocercus bonapartei,['Nothocercus bonapartei'],"Nothocercus bonapartei (G.R.Gray, 1867)",SPECIES,2477473
Nothocercus bonapartei [bonapartei Group],"['Nothocercus bonapartei intercedens', 'Nothocercus bonapartei discrepans', 'Nothocercus bonapartei bonapartei', 'Nothocercus bonapartei plumbeiceps']","['Nothocercus bonapartei intercedens Salvadori, 1895', 'Nothocercus bonapartei discrepans Friedmann, 1947', 'Nothocercus bonapartei bonapartei', 'Nothocercus bonapartei plumbeiceps Lönnberg & Rendahl, 1922']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6179799, 6179802, 7061216, 6179801]"
Nothocercus bonapartei frantzii,['Nothocercus bonapartei frantzii'],"Nothocercus bonapartei frantzii (Lawrence, 1868)",SUBSPECIES,6179800
Nothocercus nigrocapillus,['Nothocercus nigrocapillus'],"Nothocercus nigrocapillus (G.R.Gray, 1867)",SPECIES,2477469
Tinamus tao,['Tinamus tao'],"Tinamus tao Temminck, 1815",SPECIES,2477622
Tinamus solitarius,['Tinamus solitarius'],"Tinamus solitarius (Vieillot, 1819)",SPECIES,2477627
Tinamus osgoodi,['Tinamus osgoodi'],"Tinamus osgoodi Conover, 1949",SPECIES,2477618
Tinamus major,['Tinamus major'],"Tinamus major (J.F.Gmelin, 1789)",SPECIES,2477630
Tinamus guttatus,['Tinamus guttatus'],"Tinamus guttatus Pelzeln, 1863",SPECIES,2477621
Crypturellus cinereus,['Crypturellus cinereus'],"Crypturellus cinereus (J.F.Gmelin, 1789)",SPECIES,2477533
Crypturellus berlepschi,['Crypturellus berlepschi'],"Crypturellus berlepschi (Rothschild, 1897)",SPECIES,2477528
Crypturellus soui,['Crypturellus soui'],"Crypturellus soui (Hermann, 1783)",SPECIES,2477507
Crypturellus ptaritepui,['Crypturellus ptaritepui'],"Crypturellus ptaritepui J.T.Zimmer & Phelps, 1945",SPECIES,2477506
Crypturellus obsoletus,['Crypturellus obsoletus'],"Crypturellus obsoletus (Temminck, 1815)",SPECIES,2477535
Crypturellus obsoletus castaneus,['Crypturellus obsoletus castaneus'],"Crypturellus obsoletus castaneus (P.L.Sclater, 1858)",SUBSPECIES,6179762
