cell_id,Icterus cucullatus,Icterus cucullatus cucullatus/sennetti,Icterus cucullatus [nelsoni Group],Icterus cucullatus igneus
83129bfffffffff,6.0,0.0,0.0,0.0
831382fffffffff,1.0,0.0,0.0,0.0
83139efffffffff,7.0,0.0,0.0,0.0
83268cfffffffff,36.0,0.0,0.0,0.0
832694fffffffff,3.0,0.0,0.0,0.0
832696fffffffff,28.0,0.0,1.0,0.0
832698fffffffff,5.0,0.0,0.0,0.0
83269efffffffff,8.0,0.0,0.0,0.0
8326cbfffffffff,1.0,0.0,0.0,0.0
8326e4fffffffff,11.0,0.0,0.0,0.0
8326e5fffffffff,6.0,0.0,0.0,0.0
832743fffffffff,3.0,0.0,0.0,0.0
832769fffffffff,2.0,0.0,0.0,0.0
832802fffffffff,20.0,0.0,0.0,0.0
832812fffffffff,4.0,0.0,0.0,0.0
832814fffffffff,10.0,0.0,0.0,0.0
832815fffffffff,5.0,0.0,0.0,0.0
832819fffffffff,2.0,0.0,0.0,0.0
83281bfffffffff,9.0,0.0,0.0,0.0
83281cfffffffff,5.0,0.0,0.0,0.0
83281dfffffffff,3.0,0.0,0.0,0.0
832830fffffffff,187.0,0.0,2.0,0.0
832832fffffffff,98.0,0.0,4.0,0.0
832833fffffffff,2.0,0.0,0.0,0.0
832834fffffffff,51.0,0.0,6.0,0.0
832835fffffffff,27.0,0.0,0.0,0.0
832836fffffffff,111.0,0.0,0.0,0.0
832884fffffffff,1.0,0.0,0.0,0.0
832895fffffffff,2.0,0.0,0.0,0.0
8328a1fffffffff,6.0,0.0,0.0,0.0
8328a9fffffffff,1.0,0.0,0.0,0.0
8328aefffffffff,3.0,0.0,0.0,0.0
8328b3fffffffff,1.0,0.0,0.0,0.0
8328c6fffffffff,48.0,0.0,0.0,0.0
8328d1fffffffff,6.0,0.0,0.0,0.0
8328d5fffffffff,2.0,0.0,0.0,0.0
8328dcfffffffff,24.0,0.0,0.0,0.0
8328f0fffffffff,14.0,0.0,0.0,0.0
8328f1fffffffff,61.0,0.0,0.0,0.0
8328f4fffffffff,6.0,0.0,0.0,0.0
832912fffffffff,68.0,0.0,0.0,0.0
832981fffffffff,5.0,0.0,0.0,0.0
832984fffffffff,3.0,0.0,0.0,0.0
832985fffffffff,10.0,0.0,0.0,0.0
832989fffffffff,44.0,0.0,0.0,0.0
83298cfffffffff,44.0,0.0,1.0,0.0
83298dfffffffff,4.0,0.0,0.0,0.0
832994fffffffff,3.0,0.0,0.0,0.0
832995fffffffff,10.0,0.0,0.0,0.0
832996fffffffff,29.0,0.0,0.0,0.0
8329a0fffffffff,119.0,0.0,10.0,0.0
8329a1fffffffff,90.0,0.0,2.0,0.0
8329a2fffffffff,10.0,0.0,1.0,0.0
8329a4fffffffff,109.0,0.0,5.0,0.0
8329a5fffffffff,106.0,0.0,0.0,0.0
8329a6fffffffff,84.0,0.0,13.0,0.0
8329a8fffffffff,76.0,0.0,0.0,0.0
8329a9fffffffff,5.0,0.0,1.0,0.0
8329abfffffffff,12.0,0.0,0.0,0.0
8329adfffffffff,24.0,0.0,0.0,0.0
8329aefffffffff,29.0,0.0,0.0,0.0
8329b0fffffffff,9.0,0.0,0.0,0.0
8329b1fffffffff,5.0,0.0,0.0,0.0
8329b2fffffffff,4.0,0.0,0.0,0.0
8329b5fffffffff,26.0,0.0,15.0,0.0
8329b6fffffffff,14.0,0.0,2.0,0.0
832a95fffffffff,23.0,10.0,0.0,0.0
832ab2fffffffff,44.0,2.0,0.0,0.0
832ab5fffffffff,1.0,0.0,0.0,0.0
832b0afffffffff,3.0,0.0,0.0,0.0
832b14fffffffff,7.0,0.0,0.0,0.0
832baefffffffff,2.0,0.0,0.0,0.0
83441afffffffff,50.0,2.0,0.0,0.0
834440fffffffff,6.0,0.0,0.0,0.0
834446fffffffff,2.0,0.0,0.0,0.0
834450fffffffff,9.0,0.0,0.0,0.0
834456fffffffff,4.0,0.0,0.0,0.0
834463fffffffff,3.0,0.0,0.0,0.0
83446cfffffffff,35.0,0.0,0.0,0.0
83446efffffffff,2.0,0.0,0.0,0.0
834473fffffffff,1.0,0.0,0.0,0.0
8344a8fffffffff,2.0,0.0,0.0,0.0
834501fffffffff,1.0,0.0,0.0,0.0
834505fffffffff,3.0,0.0,0.0,0.0
834509fffffffff,4.0,0.0,0.0,2.0
83450afffffffff,1.0,0.0,0.0,0.0
83450efffffffff,1.0,0.0,0.0,0.0
834523fffffffff,4.0,0.0,0.0,1.0
834528fffffffff,33.0,0.0,0.0,0.0
83452afffffffff,8.0,0.0,0.0,8.0
