cell_id,Progne subis,Progne subis subis/arboricola,Progne subis hesperia
840c415ffffffff,4.0,0.0,0.0
840c42dffffffff,6.0,0.0,0.0
840c51dffffffff,1.0,0.0,0.0
840d0c3ffffffff,1.0,0.0,0.0
840d58dffffffff,2.0,0.0,0.0
8412515ffffffff,3.0,0.0,0.0
8412539ffffffff,1.0,0.0,0.0
8412597ffffffff,2.0,0.0,0.0
8412993ffffffff,2.0,0.0,0.0
8412997ffffffff,1.0,0.0,0.0
84129bbffffffff,8.0,0.0,0.0
8412c49ffffffff,2.0,0.0,0.0
8412c5bffffffff,2.0,0.0,0.0
8412c87ffffffff,2.0,0.0,0.0
8412cc9ffffffff,2.0,0.0,0.0
8412d0dffffffff,1.0,0.0,0.0
8412e39ffffffff,2.0,0.0,0.0
8412eb9ffffffff,2.0,0.0,0.0
8412ec1ffffffff,4.0,0.0,0.0
8412ec7ffffffff,2.0,0.0,0.0
8412ecdffffffff,8.0,0.0,0.0
8412ed1ffffffff,9.0,0.0,0.0
8412ee3ffffffff,5.0,0.0,0.0
841aa07ffffffff,16.0,0.0,0.0
841aa23ffffffff,7.0,0.0,0.0
841aa3dffffffff,10.0,0.0,0.0
841aa47ffffffff,2.0,0.0,0.0
841ab0bffffffff,2.0,0.0,0.0
841b99bffffffff,2.0,0.0,0.0
8426039ffffffff,2.0,2.0,0.0
842603bffffffff,2.0,2.0,0.0
8426041ffffffff,2.0,0.0,0.0
8426049ffffffff,2.0,0.0,0.0
842605dffffffff,3.0,0.0,0.0
8426085ffffffff,2.0,0.0,0.0
8426095ffffffff,1.0,0.0,0.0
84260a1ffffffff,2.0,0.0,0.0
84260b3ffffffff,3.0,0.0,0.0
84260bbffffffff,4.0,0.0,0.0
84260e3ffffffff,3.0,1.0,0.0
8426123ffffffff,2.0,0.0,0.0
842612bffffffff,2.0,0.0,0.0
84261b9ffffffff,2.0,0.0,0.0
8426245ffffffff,3.0,0.0,0.0
8426251ffffffff,2.0,0.0,0.0
84262d9ffffffff,4.0,0.0,0.0
84262dbffffffff,2.0,0.0,0.0
842636bffffffff,6.0,0.0,0.0
8426407ffffffff,2.0,0.0,0.0
8426409ffffffff,4.0,0.0,0.0
842640dffffffff,2.0,0.0,0.0
8426415ffffffff,2.0,0.0,0.0
842642bffffffff,1.0,0.0,0.0
8426431ffffffff,1.0,0.0,0.0
8426433ffffffff,13.0,0.0,0.0
8426437ffffffff,6.0,0.0,0.0
842643bffffffff,8.0,0.0,0.0
8426455ffffffff,1.0,0.0,0.0
8426459ffffffff,6.0,0.0,0.0
8426461ffffffff,2.0,0.0,0.0
8426463ffffffff,10.0,1.0,0.0
842646bffffffff,4.0,0.0,0.0
842646dffffffff,2.0,0.0,0.0
8426487ffffffff,2.0,0.0,0.0
842648bffffffff,3.0,0.0,0.0
8426497ffffffff,6.0,0.0,0.0
84264a7ffffffff,1.0,0.0,0.0
84264adffffffff,2.0,0.0,0.0
84264b9ffffffff,4.0,0.0,0.0
84264c5ffffffff,2.0,0.0,0.0
84264c7ffffffff,5.0,0.0,0.0
84264cbffffffff,2.0,0.0,0.0
84264d1ffffffff,10.0,0.0,0.0
84264d9ffffffff,26.0,0.0,0.0
84264dbffffffff,7.0,0.0,0.0
84264e1ffffffff,7.0,0.0,0.0
84264e3ffffffff,3.0,0.0,0.0
84264e5ffffffff,31.0,6.0,0.0
84264edffffffff,1.0,0.0,0.0
8426501ffffffff,4.0,0.0,0.0
8426505ffffffff,5.0,0.0,0.0
8426509ffffffff,1.0,0.0,0.0
842650bffffffff,5.0,0.0,0.0
842650dffffffff,4.0,0.0,0.0
8426519ffffffff,1.0,0.0,0.0
8426529ffffffff,6.0,0.0,0.0
842652bffffffff,10.0,0.0,0.0
8426533ffffffff,20.0,2.0,0.0
842653bffffffff,7.0,0.0,0.0
8426547ffffffff,4.0,0.0,0.0
842654bffffffff,2.0,0.0,0.0
8426551ffffffff,1.0,0.0,0.0
8426555ffffffff,19.0,0.0,0.0
8426563ffffffff,3.0,0.0,0.0
8426565ffffffff,1.0,0.0,0.0
8426567ffffffff,9.0,0.0,0.0
842656dffffffff,3.0,0.0,0.0
842659bffffffff,30.0,3.0,0.0
84265a3ffffffff,7.0,0.0,0.0
84265d9ffffffff,11.0,0.0,0.0
84265dbffffffff,14.0,0.0,0.0
8426609ffffffff,3.0,0.0,0.0
8426617ffffffff,2.0,0.0,0.0
8426625ffffffff,3.0,1.0,0.0
842662dffffffff,2.0,0.0,0.0
8426641ffffffff,1.0,0.0,0.0
8426645ffffffff,2.0,0.0,0.0
842664dffffffff,25.0,3.0,0.0
8426661ffffffff,2.0,0.0,0.0
8426665ffffffff,27.0,0.0,0.0
8426669ffffffff,2.0,0.0,0.0
842666bffffffff,3.0,0.0,0.0
8426681ffffffff,2.0,0.0,0.0
8426689ffffffff,13.0,0.0,0.0
842669bffffffff,5.0,0.0,0.0
84266a5ffffffff,6.0,0.0,0.0
84266b1ffffffff,2.0,0.0,0.0
84266b3ffffffff,2.0,0.0,0.0
84266bbffffffff,5.0,0.0,0.0
84266c1ffffffff,2.0,0.0,0.0
84266c5ffffffff,4.0,0.0,0.0
84266d1ffffffff,1.0,0.0,0.0
84266d3ffffffff,13.0,0.0,0.0
84266d5ffffffff,29.0,0.0,0.0
84266dbffffffff,10.0,0.0,0.0
84266ddffffffff,1.0,0.0,0.0
84266e1ffffffff,6.0,0.0,0.0
8426717ffffffff,5.0,0.0,0.0
8426719ffffffff,13.0,0.0,0.0
8426723ffffffff,3.0,3.0,0.0
8426741ffffffff,2.0,0.0,0.0
8426801ffffffff,7.0,0.0,0.0
8426807ffffffff,4.0,0.0,0.0
842680bffffffff,3.0,0.0,0.0
8426831ffffffff,7.0,0.0,0.0
8426833ffffffff,2.0,0.0,0.0
8426835ffffffff,2.0,0.0,0.0
8426847ffffffff,9.0,0.0,0.0
8426881ffffffff,1.0,0.0,0.0
8426889ffffffff,4.0,0.0,0.0
84268a5ffffffff,1.0,0.0,0.0
84268b1ffffffff,13.0,0.0,0.0
84268bbffffffff,1.0,0.0,0.0
84268cdffffffff,3.0,0.0,0.0
84268dbffffffff,8.0,0.0,0.0
84268e1ffffffff,1.0,0.0,0.0
8426901ffffffff,2.0,0.0,0.0
8426905ffffffff,10.0,0.0,0.0
8426907ffffffff,12.0,0.0,0.0
8426929ffffffff,10.0,0.0,0.0
842692bffffffff,6.0,0.0,0.0
8426947ffffffff,8.0,0.0,0.0
842694dffffffff,41.0,0.0,0.0
8426961ffffffff,12.0,0.0,0.0
8426963ffffffff,8.0,0.0,0.0
8426969ffffffff,42.0,0.0,0.0
842696bffffffff,14.0,0.0,0.0
8426981ffffffff,3.0,0.0,0.0
8426983ffffffff,7.0,0.0,0.0
8426987ffffffff,2.0,0.0,0.0
8426989ffffffff,16.0,0.0,0.0
842698dffffffff,2.0,0.0,0.0
8426995ffffffff,1.0,0.0,0.0
84269c1ffffffff,2.0,0.0,0.0
84269c3ffffffff,2.0,0.0,0.0
84269c5ffffffff,4.0,0.0,0.0
84269c7ffffffff,13.0,0.0,0.0
84269cbffffffff,4.0,0.0,0.0
84269cdffffffff,4.0,0.0,0.0
84269d5ffffffff,5.0,0.0,0.0
84269d7ffffffff,2.0,0.0,0.0
84269e9ffffffff,1.0,0.0,0.0
8426a5bffffffff,1.0,0.0,0.0
8426a87ffffffff,1.0,0.0,0.0
8426a93ffffffff,7.0,0.0,0.0
8426a97ffffffff,2.0,0.0,0.0
8426ab3ffffffff,1.0,0.0,0.0
8426ac5ffffffff,2.0,0.0,0.0
8426c19ffffffff,5.0,0.0,0.0
8426c1bffffffff,2.0,0.0,0.0
8426c1dffffffff,7.0,0.0,0.0
8426c5bffffffff,2.0,0.0,0.0
8426c87ffffffff,2.0,0.0,0.0
8426c89ffffffff,27.0,0.0,0.0
8426c9bffffffff,2.0,0.0,0.0
8426ca5ffffffff,2.0,0.0,0.0
8426cbdffffffff,7.0,0.0,0.0
8426cd1ffffffff,1.0,0.0,0.0
8426d15ffffffff,4.0,0.0,0.0
8426d17ffffffff,3.0,0.0,0.0
8426d35ffffffff,7.0,0.0,0.0
8426d4bffffffff,2.0,0.0,0.0
8426d4dffffffff,1.0,0.0,0.0
8426d5dffffffff,16.0,0.0,0.0
8426d8dffffffff,2.0,0.0,0.0
8426d95ffffffff,15.0,0.0,0.0
8426d97ffffffff,1.0,0.0,0.0
8426d9dffffffff,2.0,0.0,0.0
8426db9ffffffff,2.0,0.0,0.0
8426dbbffffffff,2.0,0.0,0.0
8426de7ffffffff,4.0,0.0,0.0
8426debffffffff,4.0,0.0,0.0
8426e01ffffffff,2.0,0.0,0.0
8426e2dffffffff,2.0,0.0,0.0
8426e39ffffffff,2.0,0.0,0.0
8426e3dffffffff,2.0,0.0,0.0
8426e51ffffffff,1.0,0.0,0.0
8426e5bffffffff,4.0,0.0,0.0
8426ec1ffffffff,2.0,0.0,0.0
8426ecbffffffff,8.0,0.0,0.0
8426edbffffffff,3.0,0.0,0.0
8426ee3ffffffff,3.0,0.0,0.0
8426f07ffffffff,1.0,0.0,0.0
8426f27ffffffff,1.0,0.0,0.0
8426f2bffffffff,2.0,0.0,0.0
8426f2dffffffff,4.0,0.0,0.0
8426f33ffffffff,2.0,0.0,0.0
8426f35ffffffff,3.0,0.0,0.0
8426f43ffffffff,4.0,0.0,0.0
8426f45ffffffff,6.0,0.0,0.0
8426f69ffffffff,12.0,0.0,0.0
8427023ffffffff,6.0,0.0,0.0
8427027ffffffff,2.0,0.0,0.0
84270e3ffffffff,11.0,5.0,0.0
84270e5ffffffff,6.0,0.0,0.0
842711bffffffff,9.0,0.0,0.0
8427133ffffffff,2.0,0.0,0.0
8427183ffffffff,12.0,0.0,0.0
842719dffffffff,7.0,0.0,0.0
84271c9ffffffff,4.0,0.0,0.0
842740dffffffff,10.0,0.0,0.0
8427417ffffffff,18.0,0.0,0.0
8427419ffffffff,2.0,0.0,0.0
8427435ffffffff,7.0,0.0,0.0
8427437ffffffff,2.0,0.0,0.0
8427445ffffffff,1.0,0.0,0.0
842744bffffffff,2.0,0.0,0.0
8427463ffffffff,10.0,0.0,0.0
8427467ffffffff,2.0,0.0,0.0
842746dffffffff,2.0,0.0,0.0
8427481ffffffff,6.0,0.0,0.0
8427485ffffffff,9.0,0.0,0.0
8427487ffffffff,6.0,0.0,0.0
842748dffffffff,18.0,0.0,0.0
8427491ffffffff,5.0,0.0,0.0
8427493ffffffff,5.0,0.0,0.0
8427495ffffffff,7.0,0.0,0.0
8427499ffffffff,22.0,0.0,0.0
842749bffffffff,1.0,0.0,0.0
84274a3ffffffff,2.0,0.0,0.0
84274abffffffff,26.0,0.0,0.0
84274b1ffffffff,3.0,0.0,0.0
84274b3ffffffff,4.0,0.0,0.0
84274b5ffffffff,12.0,0.0,0.0
84274b7ffffffff,8.0,0.0,0.0
84274b9ffffffff,4.0,0.0,0.0
84274bbffffffff,6.0,0.0,0.0
84274bdffffffff,3.0,0.0,0.0
84274c1ffffffff,5.0,0.0,0.0
84274c5ffffffff,1.0,0.0,0.0
84274cdffffffff,2.0,0.0,0.0
84274d1ffffffff,4.0,0.0,0.0
84274d3ffffffff,2.0,0.0,0.0
84274d5ffffffff,4.0,0.0,0.0
84274d7ffffffff,3.0,0.0,0.0
84274d9ffffffff,2.0,0.0,0.0
84274dbffffffff,2.0,0.0,0.0
84274ddffffffff,7.0,0.0,0.0
84274e1ffffffff,4.0,0.0,0.0
84274e3ffffffff,78.0,0.0,0.0
84274e9ffffffff,1.0,0.0,0.0
8427511ffffffff,1.0,0.0,0.0
8427527ffffffff,8.0,0.0,0.0
8427529ffffffff,2.0,0.0,0.0
8427531ffffffff,2.0,0.0,0.0
8427541ffffffff,6.0,0.0,0.0
8427551ffffffff,3.0,0.0,0.0
8427553ffffffff,3.0,0.0,0.0
842755bffffffff,1.0,0.0,0.0
8427563ffffffff,1.0,0.0,0.0
8427569ffffffff,15.0,0.0,0.0
8427581ffffffff,13.0,0.0,0.0
8427583ffffffff,2.0,0.0,0.0
8427585ffffffff,2.0,0.0,0.0
8427587ffffffff,2.0,0.0,0.0
8427589ffffffff,2.0,0.0,0.0
842758bffffffff,2.0,0.0,0.0
8427591ffffffff,3.0,0.0,0.0
8427593ffffffff,2.0,0.0,0.0
8427597ffffffff,1.0,0.0,0.0
8427599ffffffff,1.0,0.0,0.0
842759bffffffff,28.0,1.0,0.0
842759dffffffff,4.0,0.0,0.0
84275a1ffffffff,2.0,0.0,0.0
84275abffffffff,1.0,0.0,0.0
84275b5ffffffff,3.0,0.0,0.0
84275c3ffffffff,5.0,0.0,0.0
84275c5ffffffff,2.0,0.0,0.0
84275c7ffffffff,9.0,0.0,0.0
