cell_id,Heinrichia calligyna,Heinrichia calligyna simplex,Heinrichia calligyna calligyna/picta
8268d7fffffffff,156.0,0.0,32.0
8268dffffffffff,1.0,0.0,0.0
82952ffffffffff,1.0,0.0,0.0
