cell_id,Toxostoma curvirostre,Toxostoma curvirostre [curvirostre Group],Toxostoma curvirostre [palmeri Group]
8412591ffffffff,1.0,0.0,0.0
8412ca5ffffffff,1.0,0.0,0.0
842664dffffffff,17.0,0.0,0.0
8426813ffffffff,48.0,0.0,0.0
842681bffffffff,3.0,0.0,0.0
8426831ffffffff,3.0,0.0,2.0
842685bffffffff,15.0,0.0,0.0
8426881ffffffff,34.0,23.0,0.0
8426889ffffffff,1751.0,89.0,0.0
842688bffffffff,27.0,27.0,0.0
842688dffffffff,4.0,0.0,0.0
8426891ffffffff,3.0,0.0,0.0
8426893ffffffff,2.0,0.0,0.0
84268c3ffffffff,3.0,0.0,0.0
84268c7ffffffff,2.0,0.0,0.0
84268c9ffffffff,2.0,0.0,0.0
84268d1ffffffff,2.0,0.0,0.0
84268dbffffffff,2.0,0.0,0.0
842699bffffffff,2.0,0.0,0.0
84269d5ffffffff,10.0,0.0,0.0
8426a85ffffffff,17.0,0.0,0.0
8426a93ffffffff,5.0,0.0,0.0
8426aa7ffffffff,2.0,0.0,0.0
8426aa9ffffffff,1.0,0.0,0.0
8426aadffffffff,2.0,0.0,0.0
8426ab3ffffffff,6.0,0.0,0.0
8426ac5ffffffff,1.0,0.0,0.0
8426c89ffffffff,2.0,0.0,0.0
8426d45ffffffff,2.0,0.0,0.0
8426d49ffffffff,7.0,0.0,0.0
8426d4bffffffff,11.0,0.0,0.0
8426dd3ffffffff,1.0,0.0,0.0
8426f07ffffffff,3.0,0.0,0.0
8426f21ffffffff,3.0,0.0,0.0
8426f23ffffffff,5.0,0.0,0.0
8426f2bffffffff,4.0,0.0,0.0
8426f2dffffffff,13.0,1.0,0.0
8426f35ffffffff,31.0,3.0,0.0
8426f3dffffffff,3.0,0.0,0.0
8426f53ffffffff,2.0,0.0,0.0
8426f61ffffffff,2.0,0.0,0.0
8427039ffffffff,1.0,0.0,0.0
84270b1ffffffff,7.0,0.0,0.0
8427113ffffffff,4.0,0.0,0.0
842832bffffffff,74.0,19.0,0.0
8429869ffffffff,2.0,0.0,0.0
84298c9ffffffff,56.0,0.0,1.0
842995bffffffff,1.0,0.0,0.0
84299adffffffff,7.0,0.0,0.0
8429a1dffffffff,6.0,0.0,0.0
8429a57ffffffff,5.0,0.0,0.0
8429a65ffffffff,11.0,0.0,4.0
8429a67ffffffff,6.0,0.0,0.0
8429a6dffffffff,20.0,0.0,4.0
8429b07ffffffff,2.0,0.0,2.0
8429b09ffffffff,2.0,0.0,0.0
8429b0bffffffff,156.0,0.0,1.0
8429b11ffffffff,1.0,0.0,0.0
8429b13ffffffff,73.0,0.0,2.0
8429b15ffffffff,12.0,0.0,0.0
8429b17ffffffff,6.0,0.0,0.0
8429b25ffffffff,8.0,0.0,1.0
8429b2dffffffff,1.0,0.0,0.0
8429b4bffffffff,9.0,0.0,0.0
8429b59ffffffff,5.0,0.0,0.0
8429b5dffffffff,6.0,0.0,2.0
8429b63ffffffff,20.0,0.0,0.0
8429b65ffffffff,5.0,0.0,3.0
8429b67ffffffff,3.0,0.0,0.0
8429b69ffffffff,2.0,0.0,0.0
8429b6bffffffff,9.0,0.0,0.0
8429b6dffffffff,6.0,0.0,2.0
844440dffffffff,32.0,0.0,0.0
84446c5ffffffff,2.0,0.0,0.0
8448097ffffffff,2.0,0.0,2.0
84480adffffffff,2.0,0.0,2.0
84480bbffffffff,2.0,0.0,2.0
8448333ffffffff,1.0,0.0,1.0
84485a1ffffffff,1.0,0.0,0.0
84485a3ffffffff,3.0,0.0,1.0
84485a7ffffffff,44.0,0.0,5.0
84485abffffffff,2.0,0.0,0.0
84485b5ffffffff,8.0,0.0,0.0
8448827ffffffff,10.0,0.0,0.0
8448863ffffffff,5.0,0.0,0.0
84488b3ffffffff,1.0,1.0,0.0
84488d9ffffffff,2.0,2.0,0.0
84488e9ffffffff,1.0,1.0,0.0
8448903ffffffff,6.0,0.0,0.0
8448907ffffffff,2.0,0.0,0.0
844890bffffffff,6.0,0.0,0.0
8448913ffffffff,2.0,0.0,0.0
8448915ffffffff,2.0,0.0,0.0
844891bffffffff,9.0,0.0,0.0
844891dffffffff,3.0,0.0,0.0
8448923ffffffff,3.0,0.0,0.0
8448951ffffffff,7.0,0.0,0.0
8448953ffffffff,8.0,0.0,0.0
8448955ffffffff,2.0,0.0,0.0
8448959ffffffff,7.0,0.0,0.0
844898dffffffff,13.0,0.0,0.0
84489c1ffffffff,7.0,5.0,0.0
84489c3ffffffff,1.0,0.0,0.0
84489c5ffffffff,4.0,0.0,0.0
84489e3ffffffff,3.0,0.0,0.0
8448a05ffffffff,2.0,2.0,0.0
8448a63ffffffff,1.0,1.0,0.0
8448ab7ffffffff,4.0,4.0,0.0
8448b13ffffffff,3.0,1.0,0.0
8448b31ffffffff,1.0,1.0,0.0
8448b39ffffffff,13.0,1.0,0.0
8448b3dffffffff,1.0,1.0,0.0
8448c09ffffffff,1.0,1.0,0.0
8448c1bffffffff,1.0,0.0,0.0
8448c59ffffffff,177.0,177.0,0.0
8448c5bffffffff,7.0,6.0,1.0
8448cebffffffff,2.0,2.0,0.0
8448d87ffffffff,1.0,0.0,0.0
8448d89ffffffff,7.0,7.0,0.0
8448dc7ffffffff,5.0,0.0,0.0
8448de1ffffffff,11.0,11.0,0.0
8448e33ffffffff,4.0,4.0,0.0
8448e81ffffffff,9.0,0.0,0.0
8448e83ffffffff,3.0,0.0,0.0
8448e85ffffffff,52.0,0.0,21.0
8448e89ffffffff,41.0,0.0,7.0
8448e8dffffffff,23.0,0.0,2.0
8448e97ffffffff,2.0,0.0,0.0
8448ea5ffffffff,12.0,0.0,3.0
8448ea9ffffffff,4.0,0.0,4.0
8448eabffffffff,3.0,0.0,0.0
8448eadffffffff,1.0,0.0,0.0
8448eb1ffffffff,10.0,0.0,1.0
8448eb3ffffffff,4.0,0.0,0.0
8448eb5ffffffff,2.0,0.0,2.0
8448eb7ffffffff,2.0,0.0,0.0
8448eb9ffffffff,1.0,0.0,0.0
8448ebbffffffff,34.0,0.0,12.0
8448ebdffffffff,4.0,0.0,2.0
8448ec5ffffffff,3.0,0.0,3.0
8448ec7ffffffff,1.0,0.0,0.0
8448ed3ffffffff,5.0,0.0,3.0
8448ee1ffffffff,62.0,0.0,59.0
8448ee3ffffffff,10.0,0.0,7.0
8448ee5ffffffff,2.0,0.0,2.0
8448ee7ffffffff,8.0,0.0,3.0
8448ee9ffffffff,60.0,0.0,57.0
8448eebffffffff,64.0,0.0,60.0
8448eedffffffff,8.0,1.0,7.0
8448f21ffffffff,2.0,2.0,0.0
8448f25ffffffff,4.0,2.0,0.0
8448f2dffffffff,7.0,7.0,0.0
8448f3dffffffff,2.0,2.0,0.0
8449863ffffffff,2.0,2.0,0.0
844990dffffffff,3.0,0.0,0.0
8449943ffffffff,2.0,2.0,0.0
8449951ffffffff,4.0,4.0,0.0
8449953ffffffff,1.0,1.0,0.0
8449963ffffffff,2.0,0.0,0.0
84499bbffffffff,4.0,4.0,0.0
84499c9ffffffff,10.0,3.0,0.0
84499cdffffffff,2.0,0.0,0.0
8449aa1ffffffff,2.0,2.0,0.0
846d32bffffffff,2.0,0.0,0.0
846d33dffffffff,3.0,2.0,0.0
846d36dffffffff,3.0,3.0,0.0
