cell_id,Epinecrophylla haematonota,Epinecrophylla haematonota pyrrhonota,Epinecrophylla haematonota fjeldsaai,Epinecrophylla haematonota haematonota,Epinecrophylla haematonota fjeldsaai x haematonota
835f68fffffffff,9.0,4.0,0.0,0.0,0.0
835f75fffffffff,8.0,7.0,0.0,0.0,0.0
836641fffffffff,1.0,1.0,0.0,0.0,0.0
836643fffffffff,1.0,0.0,0.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0,0.0,0.0
836648fffffffff,1.0,1.0,0.0,0.0,0.0
83664efffffffff,2.0,2.0,0.0,0.0,0.0
83665afffffffff,42.0,28.0,0.0,0.0,0.0
83665bfffffffff,63.0,25.0,0.0,0.0,0.0
83665efffffffff,1.0,0.0,0.0,0.0,0.0
83666bfffffffff,2.0,2.0,0.0,0.0,0.0
83666efffffffff,2.0,0.0,0.0,0.0,0.0
8366c2fffffffff,30.0,23.0,0.0,0.0,0.0
8366c5fffffffff,1.0,0.0,0.0,0.0,0.0
8366c9fffffffff,4.0,4.0,0.0,0.0,0.0
8366cbfffffffff,1.0,1.0,0.0,0.0,0.0
8366cefffffffff,17.0,6.0,0.0,0.0,0.0
8366d1fffffffff,3.0,3.0,0.0,0.0,0.0
8366d8fffffffff,60.0,0.0,55.0,0.0,0.0
8366dcfffffffff,52.0,0.0,37.0,0.0,0.0
8366ddfffffffff,10.0,0.0,4.0,0.0,0.0
8366defffffffff,5.0,0.0,4.0,0.0,0.0
8366e8fffffffff,2.0,0.0,0.0,0.0,0.0
8366eafffffffff,2.0,2.0,0.0,0.0,0.0
8366ecfffffffff,1.0,0.0,0.0,0.0,0.0
8366eefffffffff,4.0,0.0,0.0,0.0,0.0
838a45fffffffff,1.0,0.0,0.0,0.0,0.0
838a55fffffffff,1.0,1.0,0.0,0.0,0.0
838a5afffffffff,1.0,1.0,0.0,0.0,0.0
838a63fffffffff,15.0,0.0,0.0,0.0,0.0
838a68fffffffff,3.0,1.0,0.0,2.0,0.0
838a69fffffffff,6.0,5.0,0.0,0.0,0.0
838a6afffffffff,1.0,1.0,0.0,0.0,0.0
838a6dfffffffff,98.0,0.0,0.0,52.0,0.0
838a73fffffffff,1.0,0.0,0.0,0.0,0.0
838ac3fffffffff,1.0,1.0,0.0,0.0,0.0
838adcfffffffff,1.0,1.0,0.0,0.0,0.0
838af0fffffffff,63.0,54.0,0.0,0.0,0.0
838af1fffffffff,9.0,7.0,0.0,0.0,0.0
838af4fffffffff,27.0,25.0,0.0,0.0,0.0
838f44fffffffff,24.0,0.0,0.0,22.0,0.0
838f48fffffffff,3.0,0.0,0.0,0.0,0.0
838f4dfffffffff,1.0,0.0,0.0,0.0,0.0
838f61fffffffff,16.0,0.0,0.0,0.0,0.0
838f65fffffffff,10.0,0.0,0.0,10.0,0.0
838f68fffffffff,1.0,0.0,0.0,0.0,0.0
838f6efffffffff,6.0,0.0,0.0,6.0,0.0
838f71fffffffff,2.0,0.0,0.0,1.0,0.0
838f74fffffffff,1.0,0.0,0.0,0.0,0.0
