cell_id,Rauenia bonariensis,Rauenia bonariensis darwinii,Rauenia bonariensis [bonariensis Group]
8466d03ffffffff,7.0,0.0,0.0
8466d15ffffffff,52.0,2.0,0.0
8466d31ffffffff,289.0,19.0,0.0
8466d33ffffffff,2003.0,67.0,0.0
8466d35ffffffff,3.0,0.0,0.0
8466d37ffffffff,2.0,0.0,0.0
8466d39ffffffff,4.0,0.0,0.0
8466d3bffffffff,179.0,4.0,0.0
8466de5ffffffff,36.0,2.0,0.0
8466dedffffffff,7.0,0.0,0.0
848b201ffffffff,67.0,0.0,7.0
848b203ffffffff,103.0,0.0,13.0
848b205ffffffff,49.0,0.0,6.0
848b207ffffffff,3.0,0.0,0.0
848b20bffffffff,258.0,0.0,15.0
848b20dffffffff,1.0,0.0,0.0
848b211ffffffff,16.0,0.0,2.0
848b21bffffffff,5.0,0.0,0.0
848b21dffffffff,16.0,0.0,0.0
848b229ffffffff,1.0,0.0,0.0
848b22dffffffff,44.0,0.0,9.0
848b241ffffffff,5.0,0.0,0.0
848b247ffffffff,5.0,0.0,0.0
848b249ffffffff,2.0,0.0,0.0
848b24bffffffff,6.0,0.0,0.0
848b251ffffffff,39.0,0.0,4.0
848b257ffffffff,4.0,0.0,2.0
848b259ffffffff,59.0,0.0,0.0
848b25dffffffff,19.0,0.0,0.0
848b261ffffffff,9.0,0.0,0.0
848b269ffffffff,15.0,0.0,0.0
848b2c9ffffffff,279.0,0.0,9.0
848b2cdffffffff,18.0,0.0,0.0
848b2d9ffffffff,4.0,0.0,0.0
848b2dbffffffff,2.0,0.0,0.0
848b2edffffffff,3.0,0.0,0.0
848b60bffffffff,1.0,0.0,0.0
848b611ffffffff,454.0,13.0,0.0
848b613ffffffff,8.0,0.0,0.0
848b615ffffffff,1.0,0.0,0.0
848b617ffffffff,140.0,3.0,0.0
848b619ffffffff,46.0,0.0,0.0
848b61bffffffff,563.0,9.0,0.0
848b61dffffffff,705.0,0.0,0.0
848b653ffffffff,2.0,0.0,0.0
848b657ffffffff,9.0,0.0,0.0
848b665ffffffff,2.0,0.0,0.0
848b6c9ffffffff,14.0,0.0,0.0
848b6cdffffffff,435.0,2.0,0.0
848e45bffffffff,2.0,0.0,0.0
848e605ffffffff,5.0,0.0,0.0
848e607ffffffff,26.0,0.0,0.0
848e609ffffffff,11.0,0.0,0.0
848e60bffffffff,9.0,0.0,0.0
848e60dffffffff,3.0,0.0,0.0
848e613ffffffff,1.0,0.0,0.0
848e617ffffffff,2.0,0.0,0.0
848e619ffffffff,10.0,0.0,0.0
848e61dffffffff,28.0,0.0,0.0
848e623ffffffff,1.0,0.0,0.0
848e629ffffffff,245.0,0.0,0.0
848e631ffffffff,1.0,0.0,0.0
848e633ffffffff,9.0,0.0,0.0
848e641ffffffff,1.0,0.0,0.0
848e643ffffffff,4.0,0.0,0.0
848e645ffffffff,6.0,0.0,0.0
