cell_id,Lonchura malacca,Lonchura malacca (Pale-flanked),Lonchura malacca (Cinnamon-flanked)
8426489ffffffff,3.0,0.0,0.0
843c021ffffffff,1.0,0.0,0.0
843c029ffffffff,19.0,0.0,0.0
843c159ffffffff,1.0,0.0,0.0
843c191ffffffff,7.0,0.0,0.0
843c199ffffffff,4.0,0.0,0.0
843c1b5ffffffff,10.0,0.0,0.0
843c1c3ffffffff,7.0,0.0,0.0
843c1c9ffffffff,4.0,0.0,0.0
843c369ffffffff,10.0,0.0,0.0
843c36bffffffff,4.0,0.0,0.0
843c885ffffffff,1.0,0.0,0.0
843c8dbffffffff,1.0,0.0,0.0
843c8e7ffffffff,1.0,0.0,0.0
843c9d9ffffffff,2.0,0.0,0.0
843ca95ffffffff,1.0,0.0,0.0
843ca97ffffffff,1.0,0.0,0.0
843cab1ffffffff,4.0,0.0,0.0
843cab9ffffffff,2.0,0.0,0.0
843cb11ffffffff,4.0,0.0,0.0
843cb15ffffffff,1.0,0.0,0.0
843cb1dffffffff,1.0,0.0,0.0
843cb5dffffffff,2.0,0.0,0.0
843cb69ffffffff,1.0,0.0,0.0
843cc45ffffffff,4.0,2.0,0.0
843cf29ffffffff,17.0,0.0,0.0
843cf2dffffffff,11.0,0.0,1.0
843cf41ffffffff,4.0,0.0,0.0
843cf47ffffffff,1.0,0.0,0.0
843cf61ffffffff,1.0,0.0,0.0
843cf67ffffffff,2.0,0.0,0.0
843cf69ffffffff,5.0,0.0,0.0
843cf6bffffffff,1.0,0.0,0.0
843d361ffffffff,2.0,0.0,0.0
843d36bffffffff,6.0,0.0,0.0
843d8c1ffffffff,2.0,0.0,0.0
843d983ffffffff,3.0,0.0,0.0
843d987ffffffff,3.0,0.0,0.0
843d993ffffffff,3.0,0.0,0.0
843d9dbffffffff,3.0,0.0,0.0
843da11ffffffff,7.0,0.0,0.0
843da13ffffffff,7.0,0.0,0.0
843da17ffffffff,1.0,0.0,0.0
843da1bffffffff,8.0,0.0,0.0
843da1dffffffff,2.0,0.0,0.0
843da37ffffffff,4.0,0.0,0.0
843dac9ffffffff,12.0,0.0,0.0
843db67ffffffff,4.0,0.0,0.0
84424d5ffffffff,1.0,0.0,0.0
8442c07ffffffff,5.0,0.0,0.0
8442cc5ffffffff,2.0,0.0,0.0
8442ce3ffffffff,3.0,0.0,0.0
8442ce9ffffffff,8.0,0.0,0.0
8442d13ffffffff,3.0,0.0,0.0
8442d91ffffffff,2.0,0.0,0.0
8442db5ffffffff,3.0,0.0,0.0
8442dbbffffffff,2.0,0.0,0.0
8442dcbffffffff,1.0,0.0,0.0
8442dd9ffffffff,2.0,0.0,0.0
