cell_id,Dicrurus adsimilis,Dicrurus adsimilis apivorus,Dicrurus adsimilis [adsimilis Group],Dicrurus adsimilis divaricatus/lugubris
8452997ffffffff,2.0,0.0,0.0,0.0
84529b9ffffffff,8.0,0.0,0.0,0.0
8452d4dffffffff,3.0,0.0,0.0,3.0
845402dffffffff,44.0,0.0,0.0,42.0
84540abffffffff,7.0,0.0,0.0,7.0
8454103ffffffff,3.0,0.0,0.0,3.0
8454137ffffffff,7.0,0.0,0.0,7.0
8454139ffffffff,3.0,0.0,0.0,3.0
8454153ffffffff,3.0,0.0,0.0,2.0
8454157ffffffff,40.0,0.0,0.0,40.0
8454183ffffffff,1.0,0.0,0.0,0.0
8454185ffffffff,2.0,0.0,0.0,2.0
8454187ffffffff,2.0,0.0,0.0,2.0
8454197ffffffff,2.0,0.0,0.0,2.0
8454199ffffffff,6.0,0.0,0.0,6.0
845419bffffffff,4.0,0.0,0.0,4.0
84541a3ffffffff,115.0,0.0,0.0,105.0
84541a5ffffffff,61.0,0.0,0.0,59.0
84541adffffffff,2.0,0.0,0.0,2.0
84541b3ffffffff,2.0,0.0,0.0,2.0
84541b5ffffffff,2.0,0.0,0.0,2.0
84541b9ffffffff,83.0,0.0,0.0,80.0
84541bbffffffff,13.0,0.0,0.0,13.0
84541bdffffffff,14.0,0.0,0.0,13.0
84541e5ffffffff,5.0,0.0,0.0,5.0
8454409ffffffff,1.0,0.0,0.0,1.0
845440dffffffff,7.0,0.0,0.0,7.0
8454443ffffffff,2.0,0.0,0.0,2.0
8454447ffffffff,10.0,0.0,0.0,10.0
8454463ffffffff,1.0,0.0,0.0,1.0
8454499ffffffff,2.0,0.0,0.0,2.0
845449bffffffff,2.0,0.0,0.0,2.0
8454a93ffffffff,161.0,0.0,0.0,159.0
8454a9bffffffff,130.0,0.0,0.0,128.0
8454ad1ffffffff,2.0,0.0,0.0,2.0
8454c4bffffffff,1.0,0.0,0.0,1.0
8454e05ffffffff,4.0,0.0,0.0,4.0
8454e21ffffffff,7.0,0.0,0.0,7.0
8454e25ffffffff,2.0,0.0,0.0,2.0
8454e27ffffffff,2.0,0.0,0.0,2.0
8454e41ffffffff,34.0,0.0,0.0,34.0
8454e43ffffffff,2.0,0.0,0.0,2.0
8454e49ffffffff,12.0,0.0,0.0,12.0
8454e4bffffffff,12.0,0.0,0.0,12.0
8454e4dffffffff,61.0,0.0,0.0,59.0
8454e51ffffffff,12.0,0.0,0.0,12.0
8454e59ffffffff,6.0,0.0,0.0,6.0
8454e5bffffffff,20.0,0.0,0.0,19.0
8454e5dffffffff,4.0,0.0,0.0,4.0
8454e63ffffffff,1.0,0.0,0.0,0.0
8454e8bffffffff,13.0,0.0,0.0,13.0
8454ed3ffffffff,2.0,0.0,0.0,0.0
8454f0bffffffff,2.0,0.0,0.0,2.0
8454f1bffffffff,4.0,0.0,0.0,4.0
8454f43ffffffff,2.0,0.0,0.0,2.0
8454f45ffffffff,2.0,0.0,0.0,2.0
8454f47ffffffff,22.0,0.0,0.0,22.0
8454f49ffffffff,41.0,0.0,0.0,40.0
8454f4dffffffff,78.0,0.0,0.0,75.0
