cell_id,Regulus regulus,Regulus regulus [regulus Group],Regulus regulus ellenthalerae,Regulus regulus teneriffae,Regulus regulus azoricus,Regulus regulus sanctaemariae,Regulus regulus inermis,Regulus regulus [himalayensis Group]
820747fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82075ffffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820767fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820887fffffffff,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
820897fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82089ffffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8208a7fffffffff,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8208b7fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8209a7fffffffff,31.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
821807fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82182ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82184ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82186ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82190ffffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821927fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82192ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821947fffffffff,32.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
82194ffffffffff,65.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
821957fffffffff,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
82195ffffffffff,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82196ffffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821977fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821e0ffffffffff,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821e27fffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e37fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e6ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e87fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821ea7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821eb7fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821ec7fffffffff,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
821ecffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821f07fffffffff,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821f1ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821f2ffffffffff,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
821f37fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821f77fffffffff,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821f87fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821f8ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821f97fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821f9ffffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821faffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82209ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8220e7fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822467fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822517fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
822c97fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822cf7fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822da7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822db7fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822eaffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
822f5ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
