cell_id,Arremon taciturnus,Arremon taciturnus axillaris,Arremon taciturnus taciturnus/nigrirostris
835f00fffffffff,6.0,0.0,0.0
835f01fffffffff,8.0,0.0,0.0
835f03fffffffff,55.0,0.0,0.0
835f10fffffffff,2.0,0.0,0.0
835f11fffffffff,1.0,0.0,0.0
835f12fffffffff,4.0,0.0,0.0
835f13fffffffff,1.0,0.0,0.0
835f14fffffffff,11.0,0.0,0.0
835f16fffffffff,9.0,0.0,0.0
835f1cfffffffff,2.0,0.0,0.0
835f29fffffffff,9.0,0.0,0.0
835f2bfffffffff,53.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f40fffffffff,4.0,0.0,0.0
835f42fffffffff,11.0,0.0,0.0
835f54fffffffff,9.0,0.0,0.0
835f68fffffffff,18.0,0.0,0.0
835f70fffffffff,3.0,0.0,1.0
835f71fffffffff,17.0,0.0,0.0
835f75fffffffff,27.0,0.0,0.0
836609fffffffff,8.0,0.0,0.0
83660bfffffffff,17.0,0.0,0.0
83660cfffffffff,1.0,0.0,0.0
83660dfffffffff,22.0,0.0,0.0
836629fffffffff,6.0,0.0,0.0
83662bfffffffff,24.0,0.0,0.0
836641fffffffff,6.0,0.0,0.0
836648fffffffff,1.0,0.0,0.0
83664efffffffff,2.0,0.0,0.0
836650fffffffff,3.0,0.0,0.0
836652fffffffff,29.0,0.0,0.0
836656fffffffff,116.0,3.0,0.0
83665afffffffff,224.0,0.0,5.0
83665bfffffffff,62.0,0.0,0.0
83665efffffffff,1.0,0.0,0.0
83666afffffffff,2.0,0.0,0.0
836672fffffffff,1.0,0.0,0.0
8366c5fffffffff,3.0,0.0,0.0
8366cdfffffffff,2.0,0.0,0.0
8366e0fffffffff,204.0,0.0,0.0
8366e1fffffffff,139.0,0.0,0.0
8366e3fffffffff,69.0,0.0,0.0
8366e5fffffffff,1988.0,132.0,0.0
8366e9fffffffff,2.0,0.0,0.0
8366ecfffffffff,126.0,0.0,0.0
8366eefffffffff,117.0,0.0,0.0
83675afffffffff,44.0,0.0,0.0
83675efffffffff,11.0,0.0,0.0
838002fffffffff,39.0,0.0,0.0
838005fffffffff,5.0,0.0,0.0
838006fffffffff,4.0,0.0,0.0
838008fffffffff,2.0,0.0,0.0
83800cfffffffff,2.0,0.0,0.0
838010fffffffff,393.0,0.0,22.0
838011fffffffff,33.0,0.0,0.0
838014fffffffff,4.0,0.0,0.0
838015fffffffff,2.0,0.0,0.0
838028fffffffff,1.0,0.0,0.0
838029fffffffff,2.0,0.0,0.0
838030fffffffff,26.0,0.0,2.0
838036fffffffff,104.0,0.0,7.0
838044fffffffff,28.0,0.0,0.0
838046fffffffff,106.0,0.0,0.0
83804cfffffffff,2.0,0.0,0.0
838054fffffffff,2.0,0.0,0.0
838061fffffffff,14.0,0.0,0.0
838065fffffffff,58.0,0.0,0.0
838066fffffffff,5.0,0.0,0.0
838068fffffffff,3.0,0.0,0.0
83806bfffffffff,27.0,0.0,0.0
838071fffffffff,34.0,0.0,0.0
838073fffffffff,2.0,0.0,0.0
838074fffffffff,2.0,0.0,0.0
838075fffffffff,13.0,0.0,0.0
838102fffffffff,19.0,0.0,1.0
838110fffffffff,2.0,0.0,0.0
838114fffffffff,5.0,0.0,1.0
838116fffffffff,15.0,0.0,1.0
83811efffffffff,7.0,0.0,0.0
83812dfffffffff,1.0,0.0,0.0
838132fffffffff,5.0,0.0,0.0
838133fffffffff,170.0,0.0,11.0
838134fffffffff,10.0,0.0,0.0
838136fffffffff,75.0,0.0,1.0
838140fffffffff,20.0,0.0,0.0
838142fffffffff,3.0,0.0,0.0
838143fffffffff,5.0,0.0,0.0
838144fffffffff,10.0,0.0,0.0
838145fffffffff,36.0,0.0,0.0
838146fffffffff,13.0,0.0,0.0
83814afffffffff,163.0,0.0,0.0
83814bfffffffff,1.0,0.0,0.0
83814cfffffffff,2.0,0.0,0.0
83814dfffffffff,71.0,0.0,0.0
83814efffffffff,73.0,0.0,1.0
838151fffffffff,4.0,0.0,0.0
838153fffffffff,1.0,0.0,0.0
838158fffffffff,1.0,0.0,0.0
838159fffffffff,10.0,0.0,0.0
83815afffffffff,7.0,0.0,0.0
83815cfffffffff,9.0,0.0,0.0
83815dfffffffff,12.0,0.0,0.0
83815efffffffff,1.0,0.0,0.0
838162fffffffff,4.0,0.0,0.0
838163fffffffff,39.0,0.0,0.0
838166fffffffff,3.0,0.0,0.0
838171fffffffff,261.0,0.0,0.0
838175fffffffff,15.0,0.0,0.0
838180fffffffff,29.0,0.0,0.0
838181fffffffff,283.0,0.0,22.0
838183fffffffff,86.0,0.0,3.0
838185fffffffff,71.0,0.0,13.0
83818cfffffffff,4.0,0.0,0.0
83818dfffffffff,5.0,0.0,0.0
83818efffffffff,42.0,0.0,0.0
83819dfffffffff,18.0,0.0,0.0
8381a1fffffffff,29.0,0.0,4.0
8381aafffffffff,2.0,0.0,0.0
8381adfffffffff,3.0,0.0,0.0
838a15fffffffff,1.0,0.0,0.0
838a21fffffffff,9.0,0.0,0.0
838a31fffffffff,7.0,0.0,3.0
838a35fffffffff,4.0,0.0,0.0
838a5afffffffff,3.0,0.0,2.0
838a80fffffffff,16.0,0.0,1.0
838a9cfffffffff,11.0,0.0,0.0
838ab6fffffffff,3.0,0.0,0.0
838ad8fffffffff,8.0,0.0,2.0
838adbfffffffff,3.0,0.0,2.0
838adcfffffffff,5.0,0.0,0.0
838adefffffffff,2.0,0.0,0.0
838af2fffffffff,33.0,0.0,1.0
838af6fffffffff,110.0,0.0,14.0
838b01fffffffff,2.0,0.0,0.0
838b10fffffffff,1.0,0.0,0.0
838b1cfffffffff,2.0,0.0,0.0
838b21fffffffff,12.0,0.0,0.0
838b22fffffffff,2.0,0.0,0.0
838b23fffffffff,1.0,0.0,1.0
838b2cfffffffff,21.0,0.0,2.0
838b2efffffffff,13.0,0.0,0.0
838b40fffffffff,26.0,0.0,0.0
838b44fffffffff,80.0,0.0,2.0
838b45fffffffff,3.0,0.0,0.0
838b46fffffffff,13.0,0.0,0.0
838b4efffffffff,8.0,0.0,0.0
838b51fffffffff,4.0,0.0,0.0
838b56fffffffff,2.0,0.0,0.0
838b5cfffffffff,1.0,0.0,0.0
838b60fffffffff,1.0,0.0,0.0
838b61fffffffff,369.0,0.0,7.0
838b62fffffffff,14.0,0.0,0.0
838b63fffffffff,107.0,0.0,2.0
838b69fffffffff,4.0,0.0,0.0
838b6cfffffffff,13.0,0.0,0.0
838b6efffffffff,11.0,0.0,0.0
838b71fffffffff,66.0,0.0,0.0
838b74fffffffff,44.0,0.0,0.0
838b75fffffffff,13.0,0.0,0.0
838b84fffffffff,6.0,0.0,0.0
838b8dfffffffff,4.0,0.0,0.0
838b96fffffffff,1.0,0.0,1.0
838b98fffffffff,1.0,0.0,0.0
838b9dfffffffff,11.0,0.0,0.0
838ba4fffffffff,4.0,0.0,0.0
838ba6fffffffff,3.0,0.0,0.0
838bb5fffffffff,194.0,0.0,12.0
838f6bfffffffff,3.0,0.0,0.0
83a85afffffffff,2.0,0.0,0.0
83a882fffffffff,6.0,0.0,0.0
83a891fffffffff,25.0,0.0,6.0
83a895fffffffff,11.0,0.0,0.0
83a8c0fffffffff,149.0,0.0,0.0
83a8c1fffffffff,4.0,0.0,0.0
83a8c2fffffffff,17.0,0.0,2.0
83a8c3fffffffff,6.0,0.0,0.0
83a8c4fffffffff,19.0,0.0,0.0
83a8c6fffffffff,13.0,0.0,0.0
83a8c9fffffffff,1.0,0.0,1.0
83a8ccfffffffff,2.0,0.0,0.0
83a8cdfffffffff,2.0,0.0,0.0
83a8d9fffffffff,2.0,0.0,0.0
83a8dafffffffff,3.0,0.0,0.0
83a8dcfffffffff,1.0,0.0,0.0
83a8defffffffff,66.0,0.0,0.0
83a8e1fffffffff,6.0,0.0,0.0
83a8ecfffffffff,6.0,0.0,0.0
83a8eefffffffff,2.0,0.0,0.0
83b324fffffffff,1.0,0.0,0.0
83b325fffffffff,2.0,0.0,1.0
