cell_id,Dicrurus palawanensis,Dicrurus palawanensis palawanensis,Dicrurus palawanensis cuyensis
8468055ffffffff,1.0,0.0,0.0
8468281ffffffff,294.0,70.0,0.0
8468285ffffffff,355.0,85.0,0.0
846828bffffffff,3.0,0.0,0.0
846828dffffffff,1.0,0.0,0.0
84682a9ffffffff,4.0,3.0,0.0
84682d1ffffffff,25.0,2.0,0.0
84682dbffffffff,1.0,0.0,0.0
8469585ffffffff,2.0,1.0,0.0
84695a9ffffffff,8.0,4.0,0.0
84695adffffffff,1.0,0.0,0.0
84695e3ffffffff,17.0,4.0,0.0
