cell_id,Eupsittula nana,Eupsittula nana astec/vicinalis,Eupsittula nana nana
834505fffffffff,4.0,0.0,0.0
83450afffffffff,3.0,0.0,0.0
83450bfffffffff,1.0,1.0,0.0
83450efffffffff,5.0,5.0,0.0
834520fffffffff,10.0,0.0,0.0
834521fffffffff,4.0,0.0,0.0
834523fffffffff,4.0,0.0,0.0
834525fffffffff,33.0,5.0,0.0
834526fffffffff,11.0,1.0,0.0
834528fffffffff,4.0,2.0,0.0
834529fffffffff,3.0,3.0,0.0
83452afffffffff,7.0,4.0,0.0
83452cfffffffff,2.0,0.0,0.0
83452dfffffffff,1.0,1.0,0.0
83452efffffffff,5.0,2.0,0.0
834535fffffffff,1.0,0.0,0.0
834564fffffffff,3.0,3.0,0.0
834572fffffffff,7.0,7.0,0.0
8345b0fffffffff,5.0,0.0,5.0
8345b2fffffffff,494.0,0.0,491.0
834990fffffffff,1.0,0.0,0.0
834996fffffffff,4.0,0.0,0.0
83499cfffffffff,2.0,0.0,0.0
836725fffffffff,3.0,0.0,0.0
836730fffffffff,65.0,0.0,65.0
836732fffffffff,74.0,0.0,74.0
836736fffffffff,121.0,0.0,121.0
836792fffffffff,1.0,0.0,0.0
83679afffffffff,41.0,12.0,0.0
83679bfffffffff,9.0,4.0,0.0
836d20fffffffff,27.0,27.0,0.0
836d21fffffffff,9.0,7.0,0.0
836d22fffffffff,2.0,2.0,0.0
836d23fffffffff,2.0,2.0,0.0
836d24fffffffff,4.0,4.0,0.0
836d25fffffffff,14.0,14.0,0.0
836d2cfffffffff,11.0,11.0,0.0
836d31fffffffff,2.0,0.0,0.0
836d34fffffffff,2.0,0.0,0.0
836d65fffffffff,4.0,0.0,0.0
836d69fffffffff,10.0,4.0,0.0
836d6dfffffffff,1.0,0.0,0.0
