cell_id,Agelaius phoeniceus,Agelaius phoeniceus [phoeniceus Group],Agelaius phoeniceus californicus/mailliardorum,Agelaius phoeniceus gubernator
830c62fffffffff,1.0,0.0,0.0,0.0
830c63fffffffff,24.0,0.0,0.0,0.0
830c64fffffffff,26.0,0.0,0.0,0.0
830c65fffffffff,26.0,0.0,0.0,0.0
830c73fffffffff,210.0,0.0,0.0,0.0
830d49fffffffff,2.0,0.0,0.0,0.0
830d5afffffffff,8.0,0.0,0.0,0.0
830d5efffffffff,10.0,0.0,0.0,0.0
830d60fffffffff,3.0,0.0,0.0,0.0
830e48fffffffff,1.0,0.0,0.0,0.0
830e49fffffffff,359.0,0.0,0.0,0.0
830e4bfffffffff,24.0,0.0,0.0,0.0
830e4dfffffffff,719.0,0.0,0.0,0.0
830e5afffffffff,2.0,0.0,0.0,0.0
830e5bfffffffff,62.0,0.0,0.0,0.0
830e80fffffffff,25.0,0.0,0.0,0.0
830e9afffffffff,15.0,0.0,0.0,0.0
830ec0fffffffff,2.0,0.0,0.0,0.0
830ec1fffffffff,102.0,2.0,0.0,0.0
830ec2fffffffff,4.0,0.0,0.0,0.0
830ec5fffffffff,5.0,0.0,0.0,0.0
830ec8fffffffff,9.0,0.0,0.0,0.0
830ec9fffffffff,202.0,14.0,0.0,0.0
830ecafffffffff,35.0,0.0,0.0,0.0
830ecbfffffffff,93.0,2.0,0.0,0.0
830eccfffffffff,821.0,7.0,0.0,0.0
830ed9fffffffff,14.0,4.0,0.0,0.0
830edafffffffff,2.0,0.0,0.0,0.0
830edbfffffffff,6.0,0.0,0.0,0.0
830edefffffffff,3.0,0.0,0.0,0.0
830ee8fffffffff,32.0,0.0,0.0,0.0
830eeafffffffff,1817.0,0.0,0.0,0.0
830eebfffffffff,126.0,0.0,0.0,0.0
830eedfffffffff,31.0,0.0,0.0,0.0
830eeefffffffff,5.0,0.0,0.0,0.0
831201fffffffff,3.0,0.0,0.0,0.0
83120afffffffff,27.0,0.0,0.0,0.0
83120bfffffffff,12.0,0.0,0.0,0.0
831211fffffffff,2.0,0.0,0.0,0.0
831214fffffffff,4.0,0.0,0.0,0.0
831215fffffffff,8.0,0.0,0.0,0.0
831218fffffffff,306.0,0.0,0.0,0.0
831219fffffffff,25.0,0.0,0.0,0.0
83121afffffffff,193.0,0.0,0.0,0.0
83121bfffffffff,157.0,0.0,0.0,0.0
83121efffffffff,201.0,0.0,0.0,0.0
831221fffffffff,3.0,0.0,0.0,0.0
831225fffffffff,2.0,0.0,0.0,0.0
831226fffffffff,1.0,0.0,0.0,0.0
831229fffffffff,5.0,0.0,0.0,0.0
83122bfffffffff,3.0,0.0,0.0,0.0
83122dfffffffff,1.0,0.0,0.0,0.0
83122efffffffff,4.0,0.0,0.0,0.0
831230fffffffff,9.0,0.0,0.0,0.0
831233fffffffff,9.0,0.0,0.0,0.0
831236fffffffff,1.0,0.0,0.0,0.0
831240fffffffff,2.0,0.0,0.0,0.0
831241fffffffff,1.0,0.0,0.0,0.0
831242fffffffff,2.0,0.0,0.0,0.0
831243fffffffff,33.0,0.0,0.0,0.0
831244fffffffff,14.0,0.0,0.0,0.0
831245fffffffff,1.0,0.0,0.0,0.0
831246fffffffff,4.0,0.0,0.0,0.0
831248fffffffff,3.0,0.0,0.0,0.0
831249fffffffff,2.0,0.0,0.0,0.0
83124afffffffff,16.0,0.0,0.0,0.0
83124bfffffffff,201.0,0.0,0.0,0.0
83124cfffffffff,1.0,0.0,0.0,0.0
83124dfffffffff,30.0,0.0,0.0,0.0
83124efffffffff,2.0,0.0,0.0,0.0
831250fffffffff,235.0,10.0,0.0,0.0
831251fffffffff,844.0,67.0,0.0,0.0
831252fffffffff,232.0,6.0,0.0,0.0
831253fffffffff,468.0,75.0,0.0,0.0
831254fffffffff,154.0,10.0,0.0,0.0
831255fffffffff,26.0,2.0,0.0,0.0
831256fffffffff,7.0,0.0,0.0,0.0
831258fffffffff,102.0,0.0,0.0,0.0
831259fffffffff,1359.0,0.0,0.0,0.0
83125afffffffff,91.0,1.0,0.0,0.0
83125bfffffffff,151.0,0.0,0.0,0.0
83125cfffffffff,13.0,0.0,0.0,0.0
83125dfffffffff,276.0,0.0,0.0,0.0
83125efffffffff,62.0,2.0,0.0,0.0
831263fffffffff,12.0,0.0,0.0,0.0
83126afffffffff,2.0,0.0,0.0,0.0
83126bfffffffff,4.0,0.0,0.0,0.0
83126efffffffff,16.0,0.0,0.0,0.0
831272fffffffff,785.0,5.0,0.0,0.0
831275fffffffff,36.0,0.0,0.0,0.0
