cell_id,Zosterops atriceps,Zosterops atriceps fuscifrons,Zosterops atriceps atriceps
837390fffffffff,275.0,78.0,0.0
837392fffffffff,14.0,0.0,2.0
837395fffffffff,10.0,2.0,0.0
