cell_id,Thamnistes anabatinus,Thamnistes anabatinus [anabatinus Group],Thamnistes anabatinus aequatorialis/gularis
844520bffffffff,6.0,0.0,0.0
844521dffffffff,5.0,0.0,0.0
84452e5ffffffff,2.0,0.0,0.0
8466113ffffffff,6.0,1.0,0.0
84661b1ffffffff,4.0,0.0,0.0
84661b9ffffffff,2.0,0.0,0.0
84661cdffffffff,3.0,0.0,0.0
84661ebffffffff,9.0,0.0,0.0
8466a05ffffffff,2.0,0.0,0.0
8466a51ffffffff,5.0,0.0,0.0
8466a57ffffffff,5.0,0.0,0.0
8466b49ffffffff,2.0,0.0,0.0
8466b55ffffffff,1.0,0.0,0.0
8466b5bffffffff,2.0,0.0,0.0
8466c05ffffffff,2.0,0.0,0.0
8466c0dffffffff,46.0,0.0,2.0
8466c4bffffffff,5.0,0.0,0.0
8466c63ffffffff,6.0,0.0,0.0
8466d0bffffffff,3.0,0.0,0.0
8466d23ffffffff,1.0,0.0,1.0
8466d35ffffffff,2.0,0.0,2.0
8466de1ffffffff,4.0,0.0,0.0
8466e57ffffffff,1.0,0.0,0.0
8466f03ffffffff,1.0,0.0,0.0
8466f1dffffffff,18.0,0.0,1.0
846792dffffffff,2.0,0.0,0.0
846d68bffffffff,4.0,0.0,0.0
846d691ffffffff,3.0,0.0,0.0
846d693ffffffff,3.0,0.0,0.0
846d69dffffffff,7.0,2.0,0.0
846d6d7ffffffff,2.0,0.0,0.0
848a45bffffffff,2.0,0.0,0.0
