cell_id,Malurus assimilis,Malurus assimilis dulcis/rogersi,Malurus assimilis assimilis/bernieri
839418fffffffff,12.0,10.0,0.0
83941afffffffff,8.0,0.0,0.0
83941bfffffffff,58.0,38.0,0.0
839451fffffffff,4.0,0.0,4.0
839458fffffffff,11.0,7.0,0.0
83945afffffffff,2.0,0.0,0.0
83945cfffffffff,14.0,13.0,0.0
83945dfffffffff,2.0,0.0,0.0
83945efffffffff,29.0,17.0,0.0
839480fffffffff,391.0,0.0,44.0
839481fffffffff,34.0,0.0,5.0
839482fffffffff,54.0,0.0,29.0
839483fffffffff,4.0,0.0,0.0
839485fffffffff,9.0,0.0,0.0
839489fffffffff,6.0,0.0,0.0
83948cfffffffff,6.0,0.0,2.0
83948dfffffffff,2.0,0.0,0.0
83948efffffffff,15.0,0.0,9.0
839490fffffffff,2.0,0.0,0.0
839491fffffffff,18.0,0.0,2.0
839496fffffffff,3.0,0.0,0.0
8394a8fffffffff,5.0,0.0,0.0
8394a9fffffffff,9.0,9.0,0.0
8394aafffffffff,1.0,0.0,0.0
8394aefffffffff,36.0,0.0,4.0
8394c4fffffffff,1.0,0.0,1.0
8394c6fffffffff,12.0,0.0,0.0
8394cdfffffffff,2.0,0.0,0.0
8394d5fffffffff,6.0,0.0,0.0
8394e3fffffffff,11.0,2.0,0.0
8394e8fffffffff,30.0,0.0,8.0
8394eafffffffff,5.0,0.0,0.0
8394ebfffffffff,4.0,0.0,0.0
8394edfffffffff,2.0,1.0,0.0
8394eefffffffff,15.0,0.0,7.0
8394f0fffffffff,2.0,2.0,0.0
8394f2fffffffff,9.0,5.0,0.0
8394f4fffffffff,2.0,0.0,0.0
8394f6fffffffff,45.0,12.0,0.0
839c2cfffffffff,4.0,0.0,0.0
839c2dfffffffff,11.0,0.0,0.0
839c40fffffffff,1.0,0.0,1.0
839c41fffffffff,11.0,0.0,0.0
839c43fffffffff,5.0,0.0,0.0
839c44fffffffff,10.0,0.0,4.0
839c45fffffffff,2.0,0.0,0.0
839c49fffffffff,5.0,0.0,2.0
839c4bfffffffff,2.0,0.0,0.0
839c4dfffffffff,2.0,0.0,0.0
839c4efffffffff,8.0,0.0,5.0
839c60fffffffff,48.0,0.0,10.0
839c62fffffffff,6.0,0.0,0.0
839c64fffffffff,16.0,0.0,1.0
839c66fffffffff,2.0,0.0,0.0
839c68fffffffff,4.0,0.0,0.0
839c69fffffffff,8.0,0.0,0.0
839c6bfffffffff,2.0,0.0,0.0
839c6cfffffffff,1.0,0.0,0.0
839c6dfffffffff,5.0,0.0,3.0
839c74fffffffff,33.0,0.0,3.0
839d0cfffffffff,2.0,0.0,0.0
839d0dfffffffff,3.0,0.0,0.0
839d0efffffffff,2.0,0.0,0.0
839d28fffffffff,13.0,0.0,5.0
839d29fffffffff,2.0,0.0,0.0
839d2bfffffffff,5.0,0.0,0.0
839d2cfffffffff,19.0,0.0,2.0
839d2dfffffffff,4.0,0.0,0.0
839d40fffffffff,3.0,0.0,0.0
839d43fffffffff,4.0,0.0,0.0
839d44fffffffff,141.0,0.0,36.0
839d45fffffffff,10.0,0.0,0.0
839d46fffffffff,19.0,0.0,6.0
839d48fffffffff,2.0,0.0,0.0
839d4afffffffff,194.0,0.0,36.0
839d4cfffffffff,2.0,0.0,0.0
839d4dfffffffff,1.0,0.0,0.0
839d4efffffffff,7.0,0.0,0.0
839d50fffffffff,1.0,0.0,0.0
839d54fffffffff,2.0,0.0,0.0
839d55fffffffff,15.0,0.0,2.0
839d5afffffffff,6.0,0.0,0.0
839d5dfffffffff,39.0,0.0,16.0
839d60fffffffff,6.0,0.0,0.0
839d62fffffffff,31.0,0.0,8.0
839d63fffffffff,6.0,0.0,4.0
839d65fffffffff,7.0,0.0,3.0
839d68fffffffff,7.0,0.0,2.0
839d6afffffffff,6.0,0.0,0.0
839d6bfffffffff,1.0,0.0,0.0
839d6dfffffffff,59.0,0.0,7.0
839d6efffffffff,3.0,0.0,1.0
839d70fffffffff,2.0,0.0,0.0
839d71fffffffff,6.0,0.0,0.0
839d74fffffffff,2.0,0.0,0.0
839d75fffffffff,15.0,0.0,4.0
839d76fffffffff,3.0,0.0,0.0
83a604fffffffff,1.0,0.0,0.0
83a610fffffffff,39.0,0.0,1.0
83a611fffffffff,3.0,0.0,1.0
83a612fffffffff,21.0,0.0,2.0
83a613fffffffff,6.0,0.0,0.0
83a622fffffffff,31.0,0.0,2.0
83a626fffffffff,64.0,0.0,11.0
83a630fffffffff,4.0,0.0,2.0
83a631fffffffff,43.0,0.0,9.0
83a634fffffffff,2.0,0.0,2.0
83a635fffffffff,11.0,0.0,2.0
83a6a4fffffffff,13.0,0.0,4.0
83a6a5fffffffff,7.0,0.0,0.0
83a6a6fffffffff,16.0,0.0,0.0
83a700fffffffff,9.0,0.0,2.0
83a702fffffffff,23.0,0.0,6.0
83a703fffffffff,8.0,0.0,2.0
83a704fffffffff,6.0,0.0,0.0
83a706fffffffff,10.0,0.0,2.0
83a710fffffffff,5.0,0.0,0.0
83a711fffffffff,2.0,0.0,2.0
83a712fffffffff,18.0,0.0,5.0
83a714fffffffff,8.0,0.0,0.0
83a716fffffffff,8.0,0.0,2.0
83a718fffffffff,6.0,0.0,2.0
83a719fffffffff,1.0,0.0,0.0
83a71bfffffffff,40.0,0.0,8.0
83a71cfffffffff,24.0,0.0,4.0
83a71dfffffffff,30.0,0.0,10.0
83a71efffffffff,6.0,0.0,0.0
83a722fffffffff,25.0,0.0,0.0
83a726fffffffff,341.0,0.0,35.0
83a731fffffffff,7.0,0.0,0.0
83a733fffffffff,2.0,0.0,0.0
83a782fffffffff,37.0,0.0,1.0
83a783fffffffff,12.0,0.0,0.0
83a786fffffffff,4.0,0.0,0.0
83a788fffffffff,2.0,0.0,1.0
83a78afffffffff,11.0,0.0,7.0
83a78bfffffffff,4.0,0.0,0.0
83a78efffffffff,21.0,0.0,4.0
83a791fffffffff,2.0,0.0,0.0
83a799fffffffff,2.0,0.0,0.0
83a79afffffffff,3.0,0.0,2.0
83a79dfffffffff,66.0,0.0,1.0
83a7a1fffffffff,4.0,0.0,0.0
83a7a3fffffffff,2.0,0.0,0.0
83a7a4fffffffff,4.0,0.0,0.0
83a7a5fffffffff,2.0,0.0,0.0
83a7a6fffffffff,2.0,0.0,0.0
83a7abfffffffff,4.0,0.0,4.0
83a7b4fffffffff,3.0,0.0,0.0
83b812fffffffff,6.0,0.0,0.0
83b816fffffffff,4.0,0.0,0.0
83b834fffffffff,20.0,0.0,8.0
83b836fffffffff,3.0,0.0,0.0
83b842fffffffff,2.0,0.0,2.0
83b849fffffffff,2.0,0.0,0.0
83b84bfffffffff,2.0,0.0,2.0
83b850fffffffff,4.0,0.0,4.0
83b851fffffffff,4.0,0.0,4.0
83b856fffffffff,8.0,0.0,8.0
83b859fffffffff,12.0,0.0,2.0
83b880fffffffff,72.0,0.0,26.0
83b881fffffffff,70.0,0.0,21.0
83b883fffffffff,1.0,0.0,1.0
83b884fffffffff,46.0,0.0,7.0
83b885fffffffff,158.0,0.0,53.0
83b888fffffffff,16.0,0.0,10.0
83b892fffffffff,2.0,0.0,1.0
83b893fffffffff,2.0,0.0,0.0
83b89afffffffff,37.0,0.0,12.0
83b89cfffffffff,4.0,0.0,0.0
83b89efffffffff,2.0,0.0,0.0
83b8a0fffffffff,6.0,0.0,4.0
83b8a1fffffffff,8.0,0.0,4.0
83b8a2fffffffff,12.0,0.0,3.0
83b8a4fffffffff,9.0,0.0,4.0
83b8a5fffffffff,2.0,0.0,0.0
83b8a6fffffffff,2.0,0.0,0.0
83b8a8fffffffff,22.0,0.0,8.0
83b8a9fffffffff,104.0,0.0,24.0
83b8aafffffffff,19.0,0.0,8.0
83b8abfffffffff,23.0,0.0,3.0
83b8acfffffffff,12.0,0.0,0.0
83b8aefffffffff,27.0,0.0,8.0
83b8b2fffffffff,5.0,0.0,0.0
83b8b6fffffffff,1.0,0.0,0.0
83b8c2fffffffff,2.0,0.0,2.0
83b8f3fffffffff,1.0,0.0,0.0
83b8f5fffffffff,1.0,0.0,0.0
83b910fffffffff,5.0,0.0,0.0
83b911fffffffff,1.0,0.0,0.0
83b912fffffffff,94.0,0.0,23.0
83b913fffffffff,15.0,0.0,0.0
83b915fffffffff,62.0,0.0,6.0
83b916fffffffff,3.0,0.0,0.0
83b91afffffffff,2.0,0.0,0.0
83b980fffffffff,26.0,0.0,8.0
83b981fffffffff,23.0,0.0,2.0
83b982fffffffff,3.0,0.0,3.0
83b983fffffffff,2.0,0.0,0.0
83b984fffffffff,26.0,0.0,10.0
83b985fffffffff,54.0,0.0,5.0
83b986fffffffff,22.0,0.0,11.0
83b988fffffffff,13.0,0.0,6.0
83b989fffffffff,4.0,0.0,0.0
83b98afffffffff,2.0,0.0,0.0
83b98efffffffff,4.0,0.0,2.0
83b990fffffffff,8.0,0.0,0.0
83b991fffffffff,11.0,0.0,0.0
83b995fffffffff,4.0,0.0,0.0
83b996fffffffff,7.0,0.0,0.0
83b99afffffffff,1.0,0.0,0.0
83b99cfffffffff,33.0,0.0,20.0
83b99efffffffff,45.0,0.0,6.0
83b9a0fffffffff,9.0,0.0,0.0
83b9a1fffffffff,176.0,0.0,24.0
83b9a3fffffffff,82.0,0.0,11.0
83b9a4fffffffff,130.0,0.0,23.0
83b9a5fffffffff,84.0,0.0,10.0
83b9a6fffffffff,70.0,0.0,7.0
83b9aafffffffff,3.0,0.0,0.0
83b9abfffffffff,10.0,0.0,8.0
83b9acfffffffff,77.0,0.0,27.0
83b9adfffffffff,38.0,0.0,3.0
83b9b0fffffffff,14.0,0.0,4.0
83b9b1fffffffff,4.0,0.0,0.0
83b9b2fffffffff,87.0,0.0,11.0
83b9b3fffffffff,101.0,0.0,28.0
83b9b4fffffffff,19.0,0.0,3.0
83b9b5fffffffff,83.0,0.0,2.0
83b9b6fffffffff,2.0,0.0,0.0
83be09fffffffff,4.0,0.0,0.0
83be0bfffffffff,8.0,0.0,1.0
83be1bfffffffff,1.0,0.0,0.0
83be40fffffffff,245.0,0.0,51.0
83be41fffffffff,29.0,0.0,2.0
83be42fffffffff,84.0,0.0,10.0
83be43fffffffff,265.0,0.0,75.0
83be45fffffffff,62.0,0.0,9.0
83be48fffffffff,25.0,0.0,0.0
83be49fffffffff,245.0,0.0,19.0
83be4afffffffff,166.0,0.0,50.0
83be4bfffffffff,224.0,0.0,25.0
83be4cfffffffff,253.0,0.0,28.0
83be4dfffffffff,41.0,0.0,1.0
83be4efffffffff,290.0,0.0,72.0
83be50fffffffff,389.0,0.0,37.0
83be51fffffffff,38.0,0.0,0.0
83be52fffffffff,19.0,0.0,1.0
83be53fffffffff,76.0,0.0,12.0
83be54fffffffff,8.0,0.0,2.0
83be55fffffffff,337.0,0.0,29.0
83be56fffffffff,13.0,0.0,0.0
83be58fffffffff,1.0,0.0,0.0
83be59fffffffff,32.0,0.0,16.0
83be5afffffffff,15.0,0.0,2.0
83be5bfffffffff,34.0,0.0,9.0
83be5cfffffffff,2.0,0.0,0.0
83be5dfffffffff,135.0,0.0,36.0
83be5efffffffff,9.0,0.0,9.0
83be6afffffffff,15.0,0.0,3.0
83be6bfffffffff,15.0,0.0,0.0
