cell_id,Platyrinchus mystaceus,Platyrinchus mystaceus [albogularis Group],Platyrinchus mystaceus [mystaceus Group]
825f47fffffffff,1.0,0.0,0.0
825f5ffffffffff,63.0,0.0,0.0
825f77fffffffff,4.0,0.0,0.0
82660ffffffffff,46.0,0.0,0.0
826617fffffffff,56.0,0.0,0.0
82661ffffffffff,261.0,0.0,0.0
826627fffffffff,22.0,0.0,0.0
82662ffffffffff,3.0,0.0,0.0
8266a7fffffffff,478.0,0.0,0.0
8266b7fffffffff,1207.0,0.0,0.0
8266c7fffffffff,33.0,0.0,0.0
8266d7fffffffff,295.0,7.0,0.0
8266dffffffffff,48.0,0.0,0.0
8266e7fffffffff,92.0,0.0,0.0
8266f7fffffffff,128.0,11.0,0.0
826747fffffffff,18.0,0.0,0.0
82674ffffffffff,5.0,0.0,0.0
826757fffffffff,16.0,0.0,0.0
82675ffffffffff,16.0,0.0,0.0
82679ffffffffff,19.0,0.0,0.0
826d6ffffffffff,2033.0,0.0,0.0
828007fffffffff,11.0,0.0,0.0
828017fffffffff,165.0,0.0,10.0
828037fffffffff,28.0,0.0,2.0
828107fffffffff,17.0,0.0,1.0
828117fffffffff,10.0,0.0,1.0
82811ffffffffff,4.0,0.0,0.0
828127fffffffff,2.0,0.0,0.0
828137fffffffff,231.0,0.0,9.0
828147fffffffff,19.0,0.0,0.0
82815ffffffffff,4.0,0.0,0.0
828167fffffffff,4.0,0.0,0.0
828177fffffffff,13.0,0.0,0.0
828187fffffffff,274.0,0.0,63.0
82819ffffffffff,6.0,0.0,0.0
8281affffffffff,3.0,0.0,0.0
828b27fffffffff,6.0,0.0,0.0
828b2ffffffffff,3.0,0.0,0.0
828b67fffffffff,23.0,0.0,0.0
828b9ffffffffff,5.0,0.0,0.0
828bb7fffffffff,9.0,0.0,2.0
828e67fffffffff,1.0,0.0,0.0
828e6ffffffffff,2.0,0.0,0.0
828f0ffffffffff,178.0,0.0,0.0
828f2ffffffffff,82.0,2.0,0.0
828f47fffffffff,54.0,0.0,0.0
828f4ffffffffff,6.0,0.0,0.0
828f57fffffffff,1.0,0.0,0.0
828f5ffffffffff,1.0,0.0,0.0
828f77fffffffff,19.0,0.0,0.0
82a807fffffffff,690.0,0.0,39.0
82a80ffffffffff,10.0,0.0,0.0
82a817fffffffff,1942.0,0.0,62.0
82a81ffffffffff,631.0,0.0,1.0
82a827fffffffff,177.0,0.0,0.0
82a82ffffffffff,26.0,0.0,0.0
82a837fffffffff,469.0,0.0,4.0
82a847fffffffff,28.0,0.0,0.0
82a857fffffffff,17.0,0.0,0.0
82a867fffffffff,35.0,0.0,0.0
82a887fffffffff,374.0,0.0,21.0
82a88ffffffffff,14.0,0.0,2.0
82a897fffffffff,54.0,0.0,8.0
82a8a7fffffffff,1117.0,0.0,56.0
82a8affffffffff,175.0,0.0,0.0
82a8c7fffffffff,10.0,0.0,0.0
82a8d7fffffffff,66.0,0.0,10.0
82a8dffffffffff,6.0,0.0,0.0
82a8effffffffff,11.0,0.0,0.0
82a8f7fffffffff,10.0,0.0,0.0
82a907fffffffff,8.0,0.0,0.0
82a90ffffffffff,130.0,0.0,6.0
82a91ffffffffff,239.0,0.0,0.0
82a92ffffffffff,8.0,0.0,0.0
82a947fffffffff,281.0,0.0,0.0
82a957fffffffff,525.0,0.0,3.0
82a95ffffffffff,85.0,0.0,0.0
82a977fffffffff,31.0,0.0,0.0
