cell_id,Trochocercus cyanomelas,Trochocercus cyanomelas [bivittatus Group],Trochocercus cyanomelas cyanomelas/segregus
826ac7fffffffff,5.0,0.0,0.0
826adffffffffff,7.0,0.0,0.0
827a67fffffffff,1.0,0.0,0.0
827b4ffffffffff,35.0,0.0,0.0
827b5ffffffffff,141.0,0.0,0.0
827b6ffffffffff,5.0,0.0,0.0
829607fffffffff,12.0,0.0,0.0
82960ffffffffff,1.0,0.0,0.0
829677fffffffff,1.0,0.0,0.0
829697fffffffff,23.0,0.0,0.0
8296b7fffffffff,10.0,0.0,0.0
829707fffffffff,21.0,0.0,0.0
829717fffffffff,77.0,0.0,0.0
82971ffffffffff,18.0,0.0,0.0
82972ffffffffff,138.0,0.0,10.0
82978ffffffffff,10.0,0.0,0.0
829797fffffffff,3.0,0.0,0.0
82ad37fffffffff,2.0,0.0,0.0
82bc0ffffffffff,4.0,0.0,0.0
82bc1ffffffffff,25.0,0.0,2.0
82bc47fffffffff,115.0,0.0,20.0
82bc57fffffffff,6.0,0.0,0.0
82bc6ffffffffff,124.0,0.0,17.0
82bc77fffffffff,19.0,0.0,0.0
82bc8ffffffffff,45.0,0.0,0.0
82bcd7fffffffff,77.0,0.0,3.0
82bcdffffffffff,2.0,0.0,0.0
82bce7fffffffff,67.0,0.0,7.0
82bcf7fffffffff,419.0,8.0,11.0
