cell_id,Phacellodomus rufifrons,Phacellodomus rufifrons [rufifrons Group],Phacellodomus rufifrons specularis
8481063ffffffff,2.0,2.0,0.0
8481109ffffffff,1.0,1.0,0.0
8481143ffffffff,1.0,1.0,0.0
848114bffffffff,2.0,2.0,0.0
848131dffffffff,1.0,1.0,0.0
8481331ffffffff,5.0,5.0,0.0
8481339ffffffff,3.0,3.0,0.0
8481851ffffffff,3.0,0.0,3.0
848b22dffffffff,4.0,4.0,0.0
848b74bffffffff,3.0,0.0,0.0
84a882dffffffff,1.0,1.0,0.0
84a88e9ffffffff,1.0,1.0,0.0
84a8d19ffffffff,1.0,1.0,0.0
84a8d1bffffffff,1.0,1.0,0.0
84a94ddffffffff,3.0,0.0,0.0
84a94e3ffffffff,2.0,0.0,0.0
84b3425ffffffff,4.0,0.0,0.0
84b34c5ffffffff,2.0,0.0,0.0
84b34c7ffffffff,2.0,0.0,0.0
84b34d5ffffffff,1.0,0.0,0.0
84b34d7ffffffff,4.0,0.0,0.0
84b34edffffffff,2.0,0.0,0.0
84b3513ffffffff,1.0,1.0,0.0
