cell_id,Gulosus aristotelis,Gulosus aristotelis aristotelis,Gulosus aristotelis desmarestii,Gulosus aristotelis riggenbachi
8401225ffffffff,2.0,0.0,0.0,0.0
840122bffffffff,6.0,0.0,0.0,0.0
8401239ffffffff,2.0,0.0,0.0,0.0
840123dffffffff,14.0,0.0,0.0,0.0
8401259ffffffff,3.0,0.0,0.0,0.0
840130bffffffff,327.0,46.0,0.0,0.0
8401319ffffffff,64.0,12.0,0.0,0.0
840131dffffffff,26.0,0.0,0.0,0.0
8401343ffffffff,2.0,0.0,0.0,0.0
8401345ffffffff,1.0,0.0,0.0,0.0
8401351ffffffff,21.0,7.0,0.0,0.0
8401355ffffffff,81.0,9.0,0.0,0.0
8401357ffffffff,2.0,0.0,0.0,0.0
840135dffffffff,1.0,1.0,0.0,0.0
8407411ffffffff,20.0,6.0,0.0,0.0
8407417ffffffff,6.0,2.0,0.0,0.0
8407425ffffffff,8.0,0.0,0.0,0.0
8407433ffffffff,35.0,0.0,0.0,0.0
84074e9ffffffff,13.0,10.0,0.0,0.0
84074edffffffff,12.0,4.0,0.0,0.0
8407513ffffffff,4.0,0.0,0.0,0.0
8407519ffffffff,8.0,6.0,0.0,0.0
840751bffffffff,8.0,0.0,0.0,0.0
840753bffffffff,8.0,0.0,0.0,0.0
8407553ffffffff,4.0,4.0,0.0,0.0
8407581ffffffff,95.0,21.0,0.0,0.0
8407585ffffffff,2.0,0.0,0.0,0.0
8407589ffffffff,110.0,11.0,0.0,0.0
840758dffffffff,102.0,11.0,0.0,0.0
84075a9ffffffff,107.0,40.0,0.0,0.0
84075c1ffffffff,7.0,2.0,0.0,0.0
84075c3ffffffff,2.0,0.0,0.0,0.0
84075c5ffffffff,5.0,1.0,0.0,0.0
84075c7ffffffff,79.0,27.0,0.0,0.0
84075cbffffffff,15.0,4.0,0.0,0.0
84075cdffffffff,5.0,0.0,0.0,0.0
84075d1ffffffff,258.0,98.0,0.0,0.0
84075d9ffffffff,62.0,8.0,0.0,0.0
84075ddffffffff,107.0,8.0,0.0,0.0
84075e1ffffffff,5.0,0.0,0.0,0.0
84075e3ffffffff,8.0,2.0,0.0,0.0
84075e7ffffffff,15.0,6.0,0.0,0.0
84075e9ffffffff,4.0,1.0,0.0,0.0
84075ebffffffff,178.0,39.0,0.0,0.0
84075edffffffff,27.0,0.0,0.0,0.0
8408007ffffffff,3.0,0.0,0.0,0.0
840800dffffffff,1.0,0.0,0.0,0.0
840803bffffffff,1.0,0.0,0.0,0.0
8408057ffffffff,8.0,0.0,0.0,0.0
8408065ffffffff,7.0,0.0,0.0,0.0
8408283ffffffff,2.0,2.0,0.0,0.0
840829bffffffff,2.0,0.0,0.0,0.0
840829dffffffff,1.0,0.0,0.0,0.0
84082d1ffffffff,3.0,0.0,0.0,0.0
84082dbffffffff,2.0,0.0,0.0,0.0
8408305ffffffff,1.0,0.0,0.0,0.0
8408329ffffffff,2.0,0.0,0.0,0.0
8408333ffffffff,4.0,0.0,0.0,0.0
8408361ffffffff,7.0,0.0,0.0,0.0
8408363ffffffff,2.0,0.0,0.0,0.0
8408365ffffffff,7.0,1.0,0.0,0.0
840836dffffffff,68.0,0.0,0.0,0.0
