cell_id,Athene noctua,Athene noctua [noctua Group],Athene noctua spilogastra/somaliensis,Athene noctua lilith,Athene noctua bactriana
8410935ffffffff,2.0,0.0,0.0,0.0,0.0
8414b21ffffffff,2.0,0.0,0.0,0.0,0.0
841590bffffffff,1.0,0.0,0.0,0.0,0.0
8415917ffffffff,1.0,0.0,0.0,0.0,0.0
8415923ffffffff,2.0,0.0,0.0,0.0,0.0
841598bffffffff,9.0,0.0,0.0,0.0,0.0
84159c1ffffffff,2.0,0.0,0.0,0.0,0.0
8415b07ffffffff,5.0,0.0,0.0,0.0,0.0
8418299ffffffff,7.0,0.0,0.0,0.0,0.0
8418451ffffffff,2.0,0.0,0.0,0.0,0.0
8418495ffffffff,30.0,0.0,0.0,0.0,0.0
84184b1ffffffff,13.0,0.0,0.0,0.0,0.0
84184b3ffffffff,2.0,0.0,0.0,0.0,0.0
84184b5ffffffff,7.0,0.0,0.0,0.0,0.0
84184bbffffffff,2.0,0.0,0.0,0.0,0.0
84184d9ffffffff,7.0,0.0,0.0,0.0,0.0
84184ddffffffff,2.0,0.0,0.0,0.0,0.0
8418597ffffffff,2.0,0.0,0.0,0.0,0.0
84185b1ffffffff,2.0,0.0,0.0,0.0,0.0
84185b5ffffffff,3.0,0.0,0.0,0.0,0.0
84185bbffffffff,94.0,0.0,0.0,0.0,0.0
8418609ffffffff,1.0,0.0,0.0,0.0,0.0
841860dffffffff,4.0,4.0,0.0,0.0,0.0
8418615ffffffff,2.0,0.0,0.0,0.0,0.0
8418635ffffffff,2.0,0.0,0.0,0.0,0.0
8418659ffffffff,6.0,0.0,0.0,0.0,0.0
8418685ffffffff,6.0,0.0,0.0,0.0,0.0
8418687ffffffff,4.0,2.0,0.0,0.0,0.0
8418691ffffffff,2.0,2.0,0.0,0.0,0.0
8418695ffffffff,7.0,0.0,0.0,0.0,0.0
8418697ffffffff,4.0,2.0,0.0,0.0,0.0
841869dffffffff,2.0,0.0,0.0,0.0,0.0
84186a1ffffffff,7.0,0.0,0.0,0.0,0.0
84186a3ffffffff,2.0,0.0,0.0,0.0,0.0
84186a7ffffffff,2.0,0.0,0.0,0.0,0.0
84186bbffffffff,2.0,0.0,0.0,0.0,0.0
84186c1ffffffff,2.0,0.0,0.0,0.0,0.0
84186c3ffffffff,2.0,0.0,0.0,0.0,0.0
84186c7ffffffff,2.0,0.0,0.0,0.0,0.0
84186c9ffffffff,16.0,0.0,0.0,0.0,0.0
84186cbffffffff,6.0,0.0,0.0,0.0,0.0
84186d1ffffffff,8.0,4.0,0.0,0.0,0.0
84186d5ffffffff,2.0,0.0,0.0,0.0,0.0
84186d9ffffffff,2.0,0.0,0.0,0.0,0.0
84186e3ffffffff,2.0,0.0,0.0,0.0,0.0
84186e5ffffffff,2.0,0.0,0.0,0.0,0.0
84186e7ffffffff,1.0,0.0,0.0,0.0,0.0
841875dffffffff,4.0,0.0,0.0,0.0,0.0
8419401ffffffff,48.0,13.0,0.0,0.0,0.0
8419405ffffffff,1.0,0.0,0.0,0.0,0.0
8419407ffffffff,5.0,0.0,0.0,0.0,0.0
841940dffffffff,11.0,2.0,0.0,0.0,0.0
8419411ffffffff,34.0,2.0,0.0,0.0,0.0
8419413ffffffff,49.0,7.0,0.0,0.0,0.0
8419415ffffffff,68.0,9.0,0.0,0.0,0.0
8419417ffffffff,20.0,0.0,0.0,0.0,0.0
841941bffffffff,3.0,0.0,0.0,0.0,0.0
8419421ffffffff,42.0,5.0,0.0,0.0,0.0
8419423ffffffff,19.0,0.0,0.0,0.0,0.0
8419425ffffffff,19.0,17.0,0.0,0.0,0.0
8419427ffffffff,26.0,3.0,0.0,0.0,0.0
8419429ffffffff,13.0,3.0,0.0,0.0,0.0
841942bffffffff,35.0,30.0,0.0,0.0,0.0
841942dffffffff,24.0,11.0,0.0,0.0,0.0
8419431ffffffff,9.0,0.0,0.0,0.0,0.0
8419433ffffffff,12.0,2.0,0.0,0.0,0.0
8419435ffffffff,10.0,2.0,0.0,0.0,0.0
8419437ffffffff,12.0,0.0,0.0,0.0,0.0
8419439ffffffff,3.0,0.0,0.0,0.0,0.0
841943bffffffff,6.0,1.0,0.0,0.0,0.0
841943dffffffff,9.0,4.0,0.0,0.0,0.0
8419463ffffffff,2.0,0.0,0.0,0.0,0.0
8419465ffffffff,11.0,1.0,0.0,0.0,0.0
8419467ffffffff,4.0,0.0,0.0,0.0,0.0
8419481ffffffff,2.0,0.0,0.0,0.0,0.0
8419485ffffffff,34.0,0.0,0.0,0.0,0.0
841948dffffffff,28.0,11.0,0.0,0.0,0.0
8419497ffffffff,2.0,2.0,0.0,0.0,0.0
84194a1ffffffff,5.0,0.0,0.0,0.0,0.0
84194a5ffffffff,93.0,5.0,0.0,0.0,0.0
84194a7ffffffff,1.0,0.0,0.0,0.0,0.0
84194a9ffffffff,28.0,0.0,0.0,0.0,0.0
84194abffffffff,11.0,0.0,0.0,0.0,0.0
84194adffffffff,74.0,6.0,0.0,0.0,0.0
84194b9ffffffff,4.0,0.0,0.0,0.0,0.0
84194c5ffffffff,59.0,12.0,0.0,0.0,0.0
84194d1ffffffff,2.0,0.0,0.0,0.0,0.0
84194d3ffffffff,13.0,0.0,0.0,0.0,0.0
84194d7ffffffff,2.0,0.0,0.0,0.0,0.0
84194d9ffffffff,4.0,0.0,0.0,0.0,0.0
84194dbffffffff,9.0,0.0,0.0,0.0,0.0
84194ddffffffff,3.0,2.0,0.0,0.0,0.0
84194e1ffffffff,6.0,0.0,0.0,0.0,0.0
84194e3ffffffff,45.0,1.0,0.0,0.0,0.0
84194e5ffffffff,78.0,4.0,0.0,0.0,0.0
84194e7ffffffff,64.0,2.0,0.0,0.0,0.0
84194e9ffffffff,6.0,1.0,0.0,0.0,0.0
84194ebffffffff,8.0,0.0,0.0,0.0,0.0
84194edffffffff,21.0,0.0,0.0,0.0,0.0
8419513ffffffff,9.0,0.0,0.0,0.0,0.0
8419519ffffffff,8.0,0.0,0.0,0.0,0.0
