cell_id,Quiscalus mexicanus,Quiscalus mexicanus [graysoni Group],Quiscalus mexicanus [mexicanus Group]
8312c8fffffffff,11.0,0.0,0.0
8312ccfffffffff,27.0,0.0,0.0
8312d1fffffffff,8.0,0.0,0.0
8312dbfffffffff,3.0,0.0,0.0
832600fffffffff,5.0,0.0,0.0
832604fffffffff,2.0,0.0,0.0
832605fffffffff,2.0,0.0,0.0
832609fffffffff,6.0,0.0,0.0
83260afffffffff,6.0,0.0,0.0
83260bfffffffff,19.0,0.0,0.0
83260cfffffffff,4.0,0.0,0.0
83260dfffffffff,2.0,0.0,0.0
83260efffffffff,3.0,0.0,0.0
832610fffffffff,4.0,0.0,0.0
832611fffffffff,2.0,0.0,0.0
832612fffffffff,14.0,0.0,0.0
832615fffffffff,5.0,0.0,0.0
832618fffffffff,2.0,0.0,0.0
832619fffffffff,2.0,0.0,0.0
83261afffffffff,2.0,0.0,0.0
83261efffffffff,3.0,0.0,0.0
832620fffffffff,4.0,0.0,0.0
832623fffffffff,6.0,0.0,0.0
83262afffffffff,6.0,0.0,0.0
83262cfffffffff,11.0,0.0,0.0
83262efffffffff,6.0,0.0,0.0
832642fffffffff,2.0,0.0,0.0
832644fffffffff,1.0,0.0,0.0
832646fffffffff,97.0,0.0,0.0
832650fffffffff,1.0,0.0,0.0
832651fffffffff,2.0,0.0,0.0
832652fffffffff,1.0,0.0,0.0
832653fffffffff,57.0,0.0,2.0
832654fffffffff,15.0,0.0,0.0
832655fffffffff,149.0,0.0,2.0
832656fffffffff,5.0,0.0,0.0
83265afffffffff,7.0,0.0,0.0
83265bfffffffff,86.0,0.0,0.0
83265efffffffff,6.0,0.0,0.0
832664fffffffff,58.0,0.0,0.0
832671fffffffff,4.0,0.0,0.0
832672fffffffff,3.0,0.0,0.0
832680fffffffff,9.0,0.0,0.0
832681fffffffff,16.0,0.0,0.0
832682fffffffff,1.0,0.0,0.0
832683fffffffff,6.0,0.0,0.0
832685fffffffff,32.0,0.0,0.0
832688fffffffff,48.0,0.0,0.0
832689fffffffff,20.0,0.0,0.0
83268afffffffff,4.0,0.0,0.0
83268bfffffffff,8.0,0.0,0.0
83268cfffffffff,71.0,0.0,0.0
83268dfffffffff,57.0,0.0,0.0
83268efffffffff,9.0,0.0,0.0
832690fffffffff,26.0,0.0,0.0
832694fffffffff,15.0,0.0,0.0
832696fffffffff,37.0,0.0,0.0
832698fffffffff,6.0,0.0,0.0
832699fffffffff,30.0,0.0,0.0
83269afffffffff,1.0,0.0,0.0
83269cfffffffff,11.0,0.0,0.0
83269dfffffffff,16.0,0.0,0.0
8326a2fffffffff,4.0,0.0,0.0
8326a4fffffffff,1.0,0.0,0.0
8326a5fffffffff,6.0,0.0,0.0
8326a6fffffffff,2.0,0.0,0.0
8326a8fffffffff,15.0,0.0,0.0
8326a9fffffffff,7.0,0.0,0.0
8326aafffffffff,121.0,0.0,1.0
8326abfffffffff,73.0,0.0,0.0
8326acfffffffff,3.0,0.0,0.0
8326adfffffffff,5.0,0.0,2.0
8326aefffffffff,31.0,0.0,0.0
8326b0fffffffff,2.0,0.0,0.0
8326b2fffffffff,2.0,0.0,0.0
8326b6fffffffff,2.0,0.0,0.0
8326c1fffffffff,5.0,0.0,0.0
8326c5fffffffff,2.0,0.0,0.0
8326cbfffffffff,3.0,0.0,0.0
8326d0fffffffff,2.0,0.0,0.0
8326d1fffffffff,1.0,0.0,0.0
8326d2fffffffff,4.0,0.0,0.0
8326d3fffffffff,4.0,0.0,0.0
8326d4fffffffff,15.0,0.0,0.0
8326d9fffffffff,1.0,0.0,0.0
8326dafffffffff,2.0,0.0,0.0
8326dcfffffffff,3.0,0.0,0.0
8326ddfffffffff,1.0,0.0,0.0
8326defffffffff,1.0,0.0,0.0
8326e0fffffffff,2.0,0.0,0.0
8326e2fffffffff,9.0,0.0,0.0
8326e3fffffffff,4.0,0.0,0.0
8326e5fffffffff,20.0,0.0,0.0
8326e6fffffffff,1.0,0.0,0.0
8326e8fffffffff,6.0,0.0,0.0
8326e9fffffffff,2.0,0.0,0.0
8326edfffffffff,89.0,0.0,0.0
8326f1fffffffff,4.0,0.0,0.0
8326f2fffffffff,57.0,0.0,0.0
8326f3fffffffff,2.0,0.0,0.0
8326f4fffffffff,4.0,0.0,0.0
8326f6fffffffff,11.0,0.0,0.0
832700fffffffff,3.0,0.0,0.0
83271cfffffffff,2.0,0.0,0.0
832759fffffffff,2.0,0.0,0.0
83275dfffffffff,2.0,0.0,0.0
832763fffffffff,1.0,0.0,0.0
832788fffffffff,4.0,0.0,0.0
83278bfffffffff,5.0,0.0,0.0
83278cfffffffff,6.0,0.0,0.0
832792fffffffff,9.0,0.0,0.0
832799fffffffff,2.0,0.0,0.0
83279efffffffff,7.0,0.0,0.0
8327aafffffffff,2.0,0.0,0.0
