cell_id,Pachyramphus major,Pachyramphus major uropygialis,Pachyramphus major [major Group]
834424fffffffff,3.0,0.0,0.0
834501fffffffff,11.0,0.0,0.0
834505fffffffff,9.0,0.0,0.0
834508fffffffff,214.0,0.0,0.0
834509fffffffff,67.0,0.0,0.0
83450afffffffff,108.0,0.0,0.0
83450bfffffffff,61.0,0.0,0.0
83450cfffffffff,36.0,0.0,0.0
83450dfffffffff,166.0,0.0,0.0
83450efffffffff,104.0,0.0,0.0
834520fffffffff,10.0,0.0,0.0
834521fffffffff,50.0,0.0,0.0
834523fffffffff,13.0,0.0,0.0
834525fffffffff,7.0,0.0,0.0
834526fffffffff,6.0,0.0,0.0
834528fffffffff,32.0,0.0,0.0
834529fffffffff,3.0,0.0,0.0
83452afffffffff,94.0,0.0,0.0
83452bfffffffff,25.0,0.0,0.0
83452cfffffffff,49.0,0.0,0.0
83452dfffffffff,9.0,0.0,0.0
83452efffffffff,167.0,0.0,0.0
834530fffffffff,2.0,0.0,0.0
834532fffffffff,2.0,0.0,0.0
834534fffffffff,4.0,0.0,0.0
834535fffffffff,21.0,0.0,0.0
834564fffffffff,1.0,0.0,0.0
834576fffffffff,10.0,0.0,0.0
834802fffffffff,1.0,0.0,0.0
834806fffffffff,2.0,0.0,0.0
83480afffffffff,23.0,0.0,0.0
834832fffffffff,3.0,0.0,0.0
834833fffffffff,33.0,0.0,0.0
834836fffffffff,201.0,3.0,0.0
8348a2fffffffff,264.0,0.0,0.0
8348b5fffffffff,6.0,0.0,0.0
8348e4fffffffff,24.0,0.0,0.0
834980fffffffff,15.0,2.0,0.0
834985fffffffff,12.0,0.0,0.0
834986fffffffff,10.0,0.0,0.0
834991fffffffff,6.0,0.0,0.0
834994fffffffff,4.0,0.0,0.0
834996fffffffff,12.0,0.0,2.0
834998fffffffff,115.0,0.0,1.0
83499afffffffff,2.0,0.0,0.0
83499bfffffffff,5.0,0.0,0.0
83499efffffffff,8.0,0.0,0.0
8349a8fffffffff,43.0,6.0,0.0
8349a9fffffffff,89.0,9.0,0.0
8349aafffffffff,26.0,0.0,0.0
8349abfffffffff,83.0,1.0,0.0
8349adfffffffff,1.0,0.0,0.0
8349b1fffffffff,6.0,0.0,0.0
8349b3fffffffff,41.0,0.0,0.0
8349b5fffffffff,16.0,0.0,0.0
836792fffffffff,1.0,0.0,0.0
836d04fffffffff,4.0,0.0,0.0
836d05fffffffff,98.0,0.0,0.0
836d20fffffffff,14.0,0.0,0.0
836d21fffffffff,4.0,0.0,0.0
836d22fffffffff,2.0,0.0,0.0
836d23fffffffff,20.0,0.0,0.0
836d28fffffffff,16.0,0.0,0.0
836d29fffffffff,47.0,0.0,0.0
836d2afffffffff,20.0,0.0,0.0
836d2bfffffffff,198.0,0.0,0.0
836d2cfffffffff,14.0,0.0,0.0
836d2dfffffffff,299.0,0.0,0.0
836d2efffffffff,20.0,0.0,0.0
836d30fffffffff,50.0,0.0,0.0
836d32fffffffff,88.0,0.0,0.0
836d33fffffffff,56.0,0.0,0.0
836d34fffffffff,9.0,0.0,0.0
836d35fffffffff,4.0,0.0,0.0
836d65fffffffff,181.0,0.0,0.0
