cell_id,Spizella breweri,Spizella breweri breweri,Spizella breweri taverneri
8412c03ffffffff,7.0,0.0,2.0
8412c0bffffffff,8.0,0.0,2.0
8412c11ffffffff,4.0,0.0,0.0
8412c13ffffffff,2.0,0.0,1.0
8412c15ffffffff,3.0,0.0,0.0
8412c17ffffffff,2.0,0.0,0.0
8412c19ffffffff,2.0,0.0,2.0
8412c45ffffffff,2.0,0.0,0.0
8412c47ffffffff,35.0,0.0,19.0
8412c4dffffffff,3.0,0.0,2.0
8412c55ffffffff,6.0,0.0,0.0
8412c85ffffffff,5.0,0.0,0.0
8412c87ffffffff,8.0,0.0,0.0
8412c8bffffffff,2.0,0.0,0.0
8412c91ffffffff,1.0,0.0,0.0
8412c93ffffffff,2.0,0.0,0.0
8412c97ffffffff,16.0,0.0,0.0
8412c99ffffffff,3.0,0.0,0.0
8412c9bffffffff,3.0,0.0,0.0
8412c9dffffffff,2.0,0.0,0.0
8412ca1ffffffff,2.0,0.0,0.0
8412ca3ffffffff,8.0,0.0,0.0
8412ca9ffffffff,4.0,0.0,0.0
8412cabffffffff,9.0,0.0,0.0
8412cb1ffffffff,10.0,0.0,0.0
8412cb5ffffffff,2.0,0.0,0.0
8412cb9ffffffff,1.0,0.0,0.0
8412cbbffffffff,7.0,0.0,0.0
8412cbdffffffff,9.0,0.0,0.0
8412cd3ffffffff,2.0,0.0,0.0
8412cd9ffffffff,2.0,0.0,0.0
8412cdbffffffff,24.0,2.0,0.0
8412ce3ffffffff,1.0,0.0,0.0
8412ce5ffffffff,5.0,0.0,0.0
8412ce9ffffffff,17.0,0.0,11.0
8412cebffffffff,12.0,0.0,6.0
8412d33ffffffff,20.0,0.0,0.0
8412d37ffffffff,4.0,0.0,0.0
8412da5ffffffff,66.0,0.0,0.0
8412da7ffffffff,2.0,0.0,0.0
8412dadffffffff,45.0,0.0,0.0
8412db5ffffffff,26.0,0.0,0.0
8412db7ffffffff,15.0,0.0,0.0
8412ddbffffffff,7.0,0.0,0.0
8412de5ffffffff,309.0,0.0,0.0
8412de7ffffffff,41.0,0.0,0.0
8412f13ffffffff,9.0,0.0,2.0
8412f1bffffffff,2.0,0.0,2.0
8426127ffffffff,3.0,0.0,0.0
8426161ffffffff,2.0,0.0,0.0
8426163ffffffff,3.0,0.0,0.0
842616bffffffff,2.0,0.0,0.0
8426801ffffffff,65.0,0.0,0.0
8426803ffffffff,74.0,0.0,0.0
8426805ffffffff,46.0,0.0,0.0
8426807ffffffff,5.0,0.0,0.0
8426809ffffffff,10.0,0.0,0.0
842680bffffffff,760.0,0.0,0.0
842680dffffffff,5.0,0.0,0.0
8426811ffffffff,57.0,0.0,0.0
8426813ffffffff,83.0,0.0,0.0
8426815ffffffff,66.0,0.0,0.0
8426817ffffffff,42.0,0.0,0.0
8426819ffffffff,113.0,0.0,0.0
842681bffffffff,444.0,0.0,0.0
842681dffffffff,44.0,0.0,0.0
8426821ffffffff,6.0,0.0,0.0
8426823ffffffff,9.0,0.0,0.0
8426825ffffffff,12.0,0.0,0.0
8426827ffffffff,10.0,0.0,0.0
8426829ffffffff,28.0,0.0,0.0
842682bffffffff,8.0,0.0,0.0
842682dffffffff,14.0,0.0,0.0
8426831ffffffff,56.0,0.0,0.0
8426833ffffffff,59.0,0.0,0.0
8426835ffffffff,3.0,0.0,0.0
8426837ffffffff,37.0,0.0,0.0
8426839ffffffff,20.0,0.0,0.0
842683bffffffff,42.0,0.0,0.0
842683dffffffff,5.0,0.0,0.0
8426841ffffffff,48.0,0.0,0.0
8426843ffffffff,25.0,0.0,0.0
8426845ffffffff,10.0,0.0,0.0
8426847ffffffff,15.0,0.0,0.0
8426849ffffffff,6.0,0.0,0.0
842684bffffffff,1.0,0.0,0.0
842684dffffffff,15.0,0.0,0.0
8426851ffffffff,233.0,0.0,0.0
8426853ffffffff,94.0,0.0,0.0
8426855ffffffff,59.0,0.0,0.0
8426857ffffffff,34.0,0.0,0.0
8426859ffffffff,125.0,0.0,0.0
842685bffffffff,257.0,0.0,0.0
842685dffffffff,139.0,0.0,0.0
8426861ffffffff,2.0,0.0,0.0
8426863ffffffff,1.0,0.0,0.0
8426865ffffffff,4.0,0.0,0.0
8426867ffffffff,17.0,0.0,0.0
8426869ffffffff,10.0,0.0,0.0
842686bffffffff,28.0,0.0,0.0
842686dffffffff,12.0,0.0,0.0
8426881ffffffff,53.0,0.0,0.0
8426885ffffffff,65.0,0.0,0.0
8426887ffffffff,22.0,0.0,0.0
8426889ffffffff,727.0,0.0,0.0
842688bffffffff,31.0,0.0,0.0
842688dffffffff,50.0,0.0,0.0
8426891ffffffff,56.0,0.0,0.0
8426893ffffffff,25.0,0.0,0.0
8426897ffffffff,3.0,0.0,0.0
8426899ffffffff,30.0,0.0,0.0
842689bffffffff,2.0,0.0,0.0
842689dffffffff,4.0,0.0,0.0
84268a1ffffffff,58.0,0.0,0.0
84268a3ffffffff,168.0,0.0,0.0
84268a5ffffffff,31.0,0.0,0.0
84268a7ffffffff,76.0,0.0,0.0
84268a9ffffffff,6.0,0.0,0.0
84268abffffffff,51.0,0.0,0.0
84268adffffffff,61.0,0.0,0.0
84268b1ffffffff,6.0,0.0,0.0
84268b3ffffffff,82.0,0.0,0.0
84268b5ffffffff,30.0,0.0,0.0
84268b7ffffffff,3.0,0.0,0.0
84268b9ffffffff,3.0,0.0,0.0
84268bbffffffff,4.0,0.0,0.0
84268bdffffffff,4.0,0.0,0.0
84268c1ffffffff,23.0,0.0,0.0
84268c3ffffffff,49.0,0.0,0.0
84268c5ffffffff,70.0,0.0,0.0
84268c7ffffffff,179.0,0.0,0.0
84268c9ffffffff,27.0,0.0,0.0
84268cbffffffff,23.0,0.0,0.0
84268cdffffffff,1326.0,1.0,0.0
84268d1ffffffff,25.0,0.0,0.0
84268d3ffffffff,88.0,0.0,0.0
84268d5ffffffff,141.0,0.0,0.0
84268d7ffffffff,69.0,0.0,0.0
84268d9ffffffff,31.0,0.0,0.0
84268dbffffffff,22.0,0.0,0.0
84268ddffffffff,19.0,0.0,0.0
84268e1ffffffff,25.0,0.0,0.0
84268e3ffffffff,3.0,0.0,0.0
84268e5ffffffff,25.0,0.0,0.0
84268e7ffffffff,42.0,0.0,0.0
84268e9ffffffff,20.0,0.0,0.0
84268ebffffffff,23.0,0.0,0.0
84268edffffffff,71.0,0.0,0.0
8426901ffffffff,45.0,0.0,0.0
8426903ffffffff,5.0,0.0,0.0
8426905ffffffff,63.0,0.0,0.0
8426907ffffffff,37.0,0.0,0.0
8426909ffffffff,20.0,0.0,0.0
842690bffffffff,2.0,0.0,0.0
842690dffffffff,62.0,0.0,0.0
8426913ffffffff,64.0,0.0,0.0
8426915ffffffff,4.0,0.0,0.0
8426919ffffffff,7.0,0.0,0.0
842691dffffffff,4.0,0.0,0.0
8426923ffffffff,24.0,0.0,0.0
8426929ffffffff,288.0,0.0,0.0
842692bffffffff,28.0,0.0,0.0
842692dffffffff,34.0,0.0,0.0
8426933ffffffff,7.0,0.0,0.0
8426939ffffffff,24.0,0.0,0.0
842693bffffffff,11.0,0.0,0.0
842693dffffffff,2.0,0.0,0.0
8426941ffffffff,62.0,0.0,0.0
8426943ffffffff,9.0,0.0,0.0
8426945ffffffff,87.0,0.0,0.0
8426947ffffffff,22.0,0.0,0.0
8426949ffffffff,2.0,0.0,0.0
842694bffffffff,2.0,0.0,0.0
842694dffffffff,254.0,0.0,0.0
8426951ffffffff,11.0,0.0,0.0
8426953ffffffff,38.0,0.0,0.0
8426955ffffffff,4.0,0.0,0.0
8426957ffffffff,8.0,0.0,0.0
8426959ffffffff,39.0,0.0,0.0
842695bffffffff,59.0,0.0,0.0
842695dffffffff,8.0,0.0,0.0
8426961ffffffff,543.0,0.0,0.0
8426963ffffffff,340.0,0.0,0.0
8426965ffffffff,25.0,0.0,0.0
8426967ffffffff,53.0,0.0,0.0
8426969ffffffff,894.0,0.0,0.0
842696bffffffff,362.0,0.0,0.0
842696dffffffff,4.0,0.0,0.0
8426981ffffffff,110.0,0.0,0.0
8426983ffffffff,13.0,0.0,0.0
8426985ffffffff,47.0,0.0,0.0
8426987ffffffff,295.0,0.0,0.0
8426989ffffffff,200.0,0.0,0.0
842698bffffffff,8.0,0.0,0.0
842698dffffffff,199.0,0.0,0.0
8426991ffffffff,23.0,0.0,0.0
8426995ffffffff,163.0,0.0,0.0
8426997ffffffff,33.0,0.0,0.0
8426999ffffffff,10.0,0.0,0.0
842699bffffffff,30.0,0.0,0.0
842699dffffffff,22.0,0.0,0.0
84269a1ffffffff,12.0,0.0,0.0
84269a9ffffffff,21.0,0.0,0.0
84269abffffffff,48.0,0.0,0.0
84269adffffffff,3.0,0.0,0.0
