cell_id,Pyrrhura amazonum,Pyrrhura amazonum amazonum,Pyrrhura amazonum snethlageae,Pyrrhura amazonum lucida
8480619ffffffff,2.0,2.0,0.0,0.0
8480643ffffffff,15.0,0.0,0.0,0.0
8480655ffffffff,27.0,26.0,0.0,0.0
848065dffffffff,2.0,0.0,0.0,0.0
848066bffffffff,7.0,0.0,0.0,0.0
8481401ffffffff,11.0,0.0,0.0,0.0
8481403ffffffff,8.0,0.0,0.0,0.0
8481423ffffffff,5.0,1.0,0.0,0.0
848142bffffffff,1.0,0.0,0.0,0.0
8481431ffffffff,5.0,1.0,0.0,0.0
8481439ffffffff,6.0,0.0,0.0,0.0
8481445ffffffff,6.0,2.0,0.0,0.0
8481447ffffffff,2.0,2.0,0.0,0.0
848145dffffffff,3.0,3.0,0.0,0.0
848146bffffffff,24.0,4.0,0.0,0.0
8481485ffffffff,1.0,0.0,0.0,0.0
84814a1ffffffff,2.0,2.0,0.0,0.0
84814a9ffffffff,44.0,11.0,0.0,0.0
84814adffffffff,60.0,20.0,0.0,0.0
84814c7ffffffff,1.0,0.0,0.0,0.0
84814d1ffffffff,5.0,1.0,4.0,0.0
84814d5ffffffff,44.0,14.0,15.0,0.0
84814d9ffffffff,8.0,0.0,0.0,0.0
84814dbffffffff,2.0,0.0,2.0,0.0
84814e1ffffffff,2.0,0.0,0.0,0.0
84814e3ffffffff,68.0,17.0,0.0,0.0
84814e5ffffffff,5.0,2.0,0.0,0.0
84814e7ffffffff,178.0,57.0,0.0,0.0
84814ebffffffff,11.0,5.0,0.0,0.0
8481581ffffffff,1.0,0.0,0.0,0.0
84815c9ffffffff,16.0,2.0,0.0,0.0
84815d3ffffffff,2.0,2.0,0.0,0.0
84815d7ffffffff,2.0,0.0,0.0,0.0
84815d9ffffffff,25.0,7.0,0.0,0.0
84815dbffffffff,5.0,1.0,0.0,0.0
8481637ffffffff,1.0,0.0,0.0,0.0
8481713ffffffff,17.0,16.0,0.0,0.0
848a01dffffffff,3.0,0.0,3.0,0.0
848a049ffffffff,1.0,0.0,1.0,0.0
848a051ffffffff,4.0,0.0,4.0,0.0
848a059ffffffff,3.0,0.0,3.0,0.0
848a05bffffffff,6.0,0.0,4.0,0.0
848a05dffffffff,5.0,0.0,3.0,0.0
848a069ffffffff,28.0,0.0,25.0,0.0
848a109ffffffff,15.0,0.0,0.0,0.0
848a155ffffffff,10.0,0.0,3.0,0.0
848a157ffffffff,7.0,0.0,3.0,0.0
848a209ffffffff,1.0,0.0,1.0,0.0
848a213ffffffff,2.0,0.0,2.0,0.0
848a217ffffffff,2.0,0.0,2.0,0.0
848a21bffffffff,2.0,0.0,2.0,0.0
848a233ffffffff,3.0,0.0,3.0,0.0
848a23bffffffff,14.0,0.0,10.0,0.0
848a249ffffffff,1.0,0.0,1.0,0.0
848a24bffffffff,1.0,0.0,1.0,0.0
848a259ffffffff,1.0,0.0,1.0,0.0
848a2cdffffffff,5.0,0.0,5.0,0.0
848a305ffffffff,1.0,0.0,0.0,0.0
848a313ffffffff,12.0,0.0,12.0,0.0
848a317ffffffff,7.0,0.0,7.0,0.0
848a337ffffffff,13.0,0.0,10.0,0.0
848a33bffffffff,8.0,0.0,8.0,0.0
848a33dffffffff,1.0,0.0,0.0,0.0
848a359ffffffff,2.0,0.0,2.0,0.0
848a809ffffffff,15.0,7.0,3.0,0.0
848a827ffffffff,6.0,5.0,0.0,0.0
848a925ffffffff,12.0,12.0,0.0,0.0
848a927ffffffff,6.0,0.0,0.0,0.0
848a963ffffffff,1.0,0.0,0.0,0.0
848a9c5ffffffff,1.0,0.0,0.0,0.0
848a9c9ffffffff,3.0,3.0,0.0,0.0
848a9cdffffffff,26.0,21.0,0.0,0.0
848a9d5ffffffff,1.0,1.0,0.0,0.0
848b0b5ffffffff,1.0,0.0,1.0,0.0
848b1a5ffffffff,2.0,0.0,2.0,0.0
848b1b5ffffffff,1.0,0.0,1.0,0.0
848b821ffffffff,1.0,0.0,1.0,0.0
848b825ffffffff,1.0,0.0,1.0,0.0
848b829ffffffff,9.0,0.0,9.0,0.0
848b82bffffffff,4.0,0.0,4.0,0.0
848b849ffffffff,77.0,0.0,40.0,0.0
848b881ffffffff,7.0,0.0,0.0,0.0
848b8a5ffffffff,3.0,0.0,3.0,0.0
848b8dbffffffff,2.0,0.0,2.0,0.0
848b8e5ffffffff,2.0,0.0,2.0,0.0
848b949ffffffff,1.0,0.0,1.0,0.0
848b96dffffffff,1.0,0.0,0.0,0.0
848b98bffffffff,55.0,3.0,16.0,0.0
848b98dffffffff,1.0,0.0,0.0,0.0
848b999ffffffff,24.0,0.0,15.0,0.0
848b99dffffffff,86.0,1.0,16.0,0.0
848b9c3ffffffff,2.0,0.0,0.0,0.0
848b9c9ffffffff,1.0,0.0,1.0,0.0
848b9d1ffffffff,16.0,0.0,6.0,0.0
848b9d5ffffffff,691.0,20.0,219.0,0.0
848b9d7ffffffff,2.0,0.0,0.0,0.0
848bad5ffffffff,1.0,0.0,1.0,0.0
84a84a3ffffffff,1.0,0.0,0.0,0.0
84a8c9bffffffff,11.0,0.0,11.0,0.0
