cell_id,Setophaga dominica,Setophaga dominica albilora,Setophaga dominica dominica/stoddardi
82260ffffffffff,56.0,0.0,0.0
82262ffffffffff,32.0,0.0,0.0
822647fffffffff,3851.0,143.0,0.0
82264ffffffffff,3964.0,0.0,0.0
822657fffffffff,3390.0,20.0,0.0
82265ffffffffff,2534.0,18.0,0.0
822667fffffffff,3716.0,19.0,0.0
82266ffffffffff,4693.0,4.0,0.0
822677fffffffff,337.0,9.0,0.0
8226c7fffffffff,231.0,0.0,0.0
8226cffffffffff,391.0,1.0,0.0
8226e7fffffffff,75.0,0.0,0.0
8226effffffffff,2098.0,3.0,0.0
82274ffffffffff,650.0,0.0,0.0
82275ffffffffff,680.0,11.0,0.0
822a17fffffffff,246.0,1.0,0.0
822a4ffffffffff,288.0,0.0,0.0
822a87fffffffff,2970.0,141.0,0.0
822a8ffffffffff,7689.0,4.0,57.0
822a97fffffffff,9000.0,0.0,0.0
822a9ffffffffff,4276.0,58.0,0.0
822aa7fffffffff,403.0,0.0,0.0
822aaffffffffff,14904.0,182.0,832.0
822ab7fffffffff,1640.0,0.0,0.0
822ad7fffffffff,3312.0,0.0,48.0
822af7fffffffff,4590.0,0.0,28.0
824417fffffffff,8572.0,0.0,148.0
82441ffffffffff,9440.0,0.0,402.0
824427fffffffff,12.0,2.0,0.0
824437fffffffff,1223.0,80.0,10.0
824447fffffffff,1318.0,0.0,0.0
82444ffffffffff,1281.0,0.0,0.0
824457fffffffff,1644.0,0.0,0.0
82445ffffffffff,1047.0,0.0,0.0
824467fffffffff,79.0,0.0,0.0
82446ffffffffff,3454.0,17.0,0.0
824477fffffffff,728.0,0.0,0.0
824487fffffffff,1359.0,0.0,0.0
8244a7fffffffff,4588.0,0.0,148.0
8244affffffffff,8987.0,0.0,298.0
8244b7fffffffff,818.0,0.0,0.0
8244c7fffffffff,4050.0,0.0,264.0
8244cffffffffff,5489.0,0.0,119.0
8244d7fffffffff,12095.0,0.0,173.0
8244dffffffffff,5560.0,0.0,17.0
8244e7fffffffff,2547.0,0.0,14.0
8244effffffffff,1154.0,0.0,0.0
8244f7fffffffff,16772.0,0.0,780.0
824507fffffffff,1474.0,103.0,2.0
82450ffffffffff,6295.0,226.0,0.0
824517fffffffff,2.0,0.0,0.0
82451ffffffffff,150.0,17.0,0.0
824527fffffffff,2371.0,76.0,0.0
82452ffffffffff,6456.0,527.0,0.0
824537fffffffff,694.0,0.0,0.0
824557fffffffff,1.0,0.0,0.0
824577fffffffff,303.0,18.0,0.0
824587fffffffff,107.0,0.0,0.0
82458ffffffffff,1743.0,74.0,6.0
824597fffffffff,341.0,25.0,2.0
82459ffffffffff,908.0,67.0,33.0
8245a7fffffffff,466.0,0.0,0.0
8245b7fffffffff,129.0,0.0,0.0
824807fffffffff,2.0,0.0,0.0
824837fffffffff,134.0,0.0,0.0
824887fffffffff,994.0,7.0,0.0
82488ffffffffff,305.0,0.0,0.0
824897fffffffff,1645.0,8.0,0.0
82489ffffffffff,3332.0,30.0,0.0
8248a7fffffffff,24.0,0.0,0.0
8248b7fffffffff,4877.0,36.0,0.0
82498ffffffffff,2.0,0.0,0.0
824997fffffffff,2397.0,133.0,0.0
82499ffffffffff,100.0,0.0,0.0
8249affffffffff,62.0,0.0,0.0
824c87fffffffff,76.0,0.0,0.0
824c8ffffffffff,15.0,0.0,0.0
824c97fffffffff,85.0,0.0,13.0
824c9ffffffffff,48.0,0.0,3.0
824caffffffffff,16.0,0.0,0.0
824cb7fffffffff,105.0,0.0,0.0
824cc7fffffffff,52.0,0.0,0.0
824cd7fffffffff,102.0,0.0,0.0
824ceffffffffff,2.0,0.0,0.0
824cf7fffffffff,40.0,0.0,0.0
8266a7fffffffff,92.0,0.0,0.0
8266b7fffffffff,159.0,0.0,0.0
826727fffffffff,35.0,0.0,0.0
826737fffffffff,122.0,0.0,0.0
826757fffffffff,22.0,0.0,0.0
826787fffffffff,119.0,0.0,0.0
826797fffffffff,9.0,0.0,0.0
82679ffffffffff,40.0,0.0,0.0
826d07fffffffff,52.0,3.0,0.0
826d17fffffffff,80.0,9.0,0.0
826d27fffffffff,396.0,5.0,0.0
826d2ffffffffff,282.0,9.0,0.0
826d37fffffffff,845.0,50.0,0.0
826d67fffffffff,385.0,0.0,0.0
826d6ffffffffff,62.0,0.0,0.0
826d77fffffffff,19.0,0.0,0.0
