cell_id,Artemisiospiza belli,Artemisiospiza belli belli,Artemisiospiza belli canescens,Artemisiospiza belli clementeae,Artemisiospiza belli cinerea
842806dffffffff,7.0,3.0,0.0,0.0,0.0
8428159ffffffff,1.0,0.0,0.0,0.0,0.0
842815bffffffff,7.0,1.0,0.0,0.0,0.0
8428303ffffffff,1.0,0.0,0.0,0.0,0.0
8428307ffffffff,109.0,31.0,0.0,0.0,0.0
842830dffffffff,135.0,23.0,0.0,0.0,0.0
8428315ffffffff,112.0,12.0,0.0,0.0,0.0
8428317ffffffff,76.0,0.0,0.0,0.0,0.0
8428321ffffffff,75.0,46.0,0.0,0.0,0.0
8428325ffffffff,2.0,0.0,0.0,0.0,0.0
8428329ffffffff,3.0,1.0,0.0,0.0,0.0
842832dffffffff,4.0,0.0,0.0,0.0,0.0
8428331ffffffff,24.0,5.0,0.0,0.0,0.0
8428333ffffffff,40.0,3.0,0.0,0.0,0.0
8428339ffffffff,112.0,22.0,0.0,0.0,0.0
842833bffffffff,38.0,5.0,0.0,0.0,0.0
842833dffffffff,4.0,0.0,0.0,0.0,0.0
8428345ffffffff,167.0,35.0,0.0,0.0,0.0
8428347ffffffff,4.0,0.0,0.0,0.0,0.0
842834dffffffff,46.0,21.0,0.0,0.0,0.0
8428365ffffffff,9.0,4.0,0.0,0.0,0.0
8428367ffffffff,4.0,0.0,0.0,0.0,0.0
8428369ffffffff,28.0,12.0,0.0,0.0,0.0
842836bffffffff,75.0,9.0,0.0,0.0,0.0
8429125ffffffff,21.0,1.0,0.0,0.0,0.0
8429127ffffffff,3.0,0.0,0.0,0.0,0.0
8429135ffffffff,2.0,0.0,0.0,0.0,0.0
8429137ffffffff,4.0,0.0,0.0,0.0,0.0
84291a5ffffffff,31.0,18.0,0.0,0.0,0.0
84291a7ffffffff,7.0,5.0,0.0,0.0,0.0
8429809ffffffff,1.0,0.0,0.0,0.0,0.0
842980bffffffff,6.0,0.0,6.0,0.0,0.0
842981bffffffff,22.0,0.0,12.0,0.0,0.0
8429841ffffffff,26.0,0.0,3.0,0.0,0.0
8429843ffffffff,12.0,0.0,4.0,0.0,0.0
8429845ffffffff,4.0,0.0,0.0,0.0,0.0
8429849ffffffff,104.0,0.0,42.0,0.0,0.0
842984dffffffff,7.0,0.0,0.0,0.0,0.0
8429851ffffffff,32.0,0.0,21.0,0.0,0.0
8429853ffffffff,139.0,0.0,34.0,0.0,0.0
8429855ffffffff,43.0,0.0,23.0,0.0,0.0
8429857ffffffff,9.0,0.0,7.0,0.0,0.0
8429859ffffffff,235.0,0.0,194.0,0.0,0.0
842985bffffffff,59.0,0.0,37.0,0.0,0.0
842985dffffffff,4.0,0.0,4.0,0.0,0.0
8429863ffffffff,125.0,0.0,23.0,0.0,0.0
8429869ffffffff,1.0,0.0,0.0,0.0,0.0
842986bffffffff,3.0,0.0,1.0,0.0,0.0
842986dffffffff,2.0,0.0,0.0,0.0,0.0
8429899ffffffff,5.0,0.0,0.0,0.0,0.0
84298c9ffffffff,130.0,0.0,93.0,0.0,0.0
84298cdffffffff,13.0,0.0,10.0,0.0,0.0
84298d9ffffffff,37.0,8.0,0.0,0.0,0.0
84298ddffffffff,2.0,0.0,0.0,0.0,0.0
8429a01ffffffff,340.0,123.0,0.0,0.0,0.0
8429a03ffffffff,166.0,5.0,14.0,0.0,0.0
8429a05ffffffff,33.0,2.0,6.0,0.0,0.0
8429a07ffffffff,18.0,2.0,7.0,0.0,0.0
8429a09ffffffff,12.0,0.0,0.0,0.0,0.0
8429a0bffffffff,3.0,0.0,0.0,0.0,0.0
8429a0dffffffff,28.0,6.0,0.0,0.0,0.0
8429a11ffffffff,43.0,9.0,11.0,0.0,0.0
8429a13ffffffff,76.0,3.0,0.0,0.0,0.0
8429a15ffffffff,773.0,0.0,260.0,0.0,0.0
8429a17ffffffff,3056.0,0.0,997.0,0.0,0.0
8429a19ffffffff,12.0,3.0,0.0,0.0,0.0
8429a1bffffffff,7.0,2.0,1.0,0.0,0.0
8429a1dffffffff,135.0,60.0,6.0,0.0,0.0
8429a23ffffffff,3.0,0.0,3.0,0.0,0.0
8429a27ffffffff,4.0,0.0,0.0,0.0,0.0
8429a29ffffffff,41.0,0.0,18.0,0.0,0.0
8429a31ffffffff,221.0,0.0,39.0,0.0,0.0
8429a33ffffffff,72.0,0.0,48.0,0.0,0.0
8429a35ffffffff,4.0,0.0,2.0,0.0,0.0
8429a39ffffffff,28.0,0.0,17.0,0.0,0.0
8429a3bffffffff,1103.0,0.0,342.0,0.0,0.0
8429a3dffffffff,4.0,0.0,2.0,0.0,0.0
8429a41ffffffff,1.0,0.0,0.0,0.0,0.0
8429a45ffffffff,121.0,23.0,0.0,0.0,0.0
8429a47ffffffff,25.0,16.0,0.0,0.0,0.0
8429a4dffffffff,22.0,13.0,0.0,0.0,0.0
8429a59ffffffff,892.0,0.0,0.0,845.0,0.0
8429a61ffffffff,62.0,0.0,13.0,0.0,0.0
8429a65ffffffff,6.0,0.0,0.0,0.0,0.0
8429a69ffffffff,4.0,2.0,0.0,0.0,0.0
8429a6bffffffff,4.0,0.0,0.0,0.0,0.0
8429a6dffffffff,56.0,0.0,20.0,0.0,0.0
