cell_id,Falco chicquera,Falco chicquera chicquera,Falco chicquera ruficollis/horsbrughi
833c02fffffffff,16.0,3.0,0.0
833c19fffffffff,9.0,2.0,0.0
833c1bfffffffff,8.0,0.0,0.0
833c1cfffffffff,3.0,0.0,0.0
833c31fffffffff,2.0,0.0,0.0
833c33fffffffff,5.0,0.0,0.0
833c5afffffffff,9.0,0.0,0.0
833c80fffffffff,12.0,0.0,0.0
833c88fffffffff,5.0,0.0,0.0
833c92fffffffff,3.0,0.0,0.0
833c93fffffffff,5.0,0.0,0.0
833c9cfffffffff,5.0,0.0,0.0
833cabfffffffff,1.0,0.0,0.0
833cb1fffffffff,1.0,1.0,0.0
833ce0fffffffff,2.0,0.0,0.0
833ce1fffffffff,4.0,0.0,0.0
833cecfffffffff,3.0,0.0,0.0
833cedfffffffff,1.0,0.0,0.0
833cf2fffffffff,6.0,0.0,0.0
833cf4fffffffff,7.0,0.0,0.0
833cf6fffffffff,4.0,0.0,0.0
833d33fffffffff,9.0,0.0,0.0
833d36fffffffff,5.0,0.0,0.0
833d83fffffffff,2.0,0.0,0.0
833d8cfffffffff,2.0,0.0,0.0
833d93fffffffff,1.0,1.0,0.0
833d96fffffffff,1.0,0.0,0.0
833d98fffffffff,2.0,0.0,0.0
833da1fffffffff,1.0,1.0,0.0
833da6fffffffff,8.0,3.0,0.0
833db2fffffffff,2.0,0.0,0.0
833db5fffffffff,9.0,9.0,0.0
834253fffffffff,1.0,1.0,0.0
8342c1fffffffff,4.0,2.0,0.0
8342c3fffffffff,7.0,2.0,0.0
8342cafffffffff,7.0,0.0,0.0
8342ccfffffffff,2.0,0.0,0.0
8342cdfffffffff,3.0,0.0,0.0
8342cefffffffff,21.0,0.0,0.0
8342eafffffffff,4.0,0.0,0.0
83541bfffffffff,1.0,0.0,1.0
836002fffffffff,5.0,3.0,0.0
836004fffffffff,2.0,0.0,0.0
836006fffffffff,5.0,0.0,0.0
836010fffffffff,6.0,0.0,0.0
836014fffffffff,80.0,0.0,0.0
836015fffffffff,81.0,0.0,0.0
836016fffffffff,31.0,0.0,0.0
83601efffffffff,6.0,0.0,0.0
836031fffffffff,23.0,0.0,0.0
836032fffffffff,5.0,0.0,0.0
836033fffffffff,30.0,0.0,0.0
836036fffffffff,1.0,0.0,0.0
836088fffffffff,1.0,1.0,0.0
83608bfffffffff,3.0,0.0,0.0
83608efffffffff,4.0,0.0,0.0
8360a0fffffffff,38.0,8.0,0.0
8360a2fffffffff,3.0,0.0,0.0
8360a4fffffffff,4.0,0.0,0.0
8360a5fffffffff,19.0,0.0,0.0
8360a9fffffffff,4.0,0.0,0.0
8360aafffffffff,2.0,0.0,0.0
8360acfffffffff,1.0,0.0,0.0
8360b3fffffffff,2.0,0.0,0.0
8360b5fffffffff,2.0,0.0,0.0
836188fffffffff,13.0,0.0,0.0
836189fffffffff,6.0,0.0,0.0
83618afffffffff,5.0,0.0,0.0
83618bfffffffff,13.0,1.0,0.0
836198fffffffff,2.0,0.0,0.0
83619afffffffff,10.0,0.0,0.0
83619bfffffffff,4.0,0.0,0.0
8361abfffffffff,4.0,0.0,0.0
837a40fffffffff,13.0,0.0,2.0
837a4dfffffffff,3.0,0.0,0.0
839620fffffffff,3.0,0.0,0.0
8396b0fffffffff,2.0,0.0,0.0
83971cfffffffff,5.0,0.0,0.0
839750fffffffff,7.0,0.0,0.0
839754fffffffff,2.0,0.0,0.0
83bcdafffffffff,3.0,0.0,0.0
