cell_id,Cuculus clamosus,Cuculus clamosus gabonensis,Cuculus clamosus clamosus
836a5afffffffff,5.0,0.0,0.0
836ac9fffffffff,8.0,0.0,0.0
836adefffffffff,2.0,0.0,0.0
837529fffffffff,3.0,0.0,0.0
837a45fffffffff,10.0,0.0,0.0
837a48fffffffff,4.0,0.0,0.0
837a4afffffffff,1.0,0.0,0.0
837a4cfffffffff,7.0,2.0,0.0
837a4dfffffffff,2.0,0.0,0.0
837a5dfffffffff,2.0,0.0,0.0
837a60fffffffff,2.0,0.0,0.0
837a63fffffffff,3.0,0.0,0.0
837a65fffffffff,22.0,0.0,0.0
837a68fffffffff,2.0,0.0,0.0
837a6efffffffff,2.0,0.0,0.0
837ae9fffffffff,2.0,0.0,0.0
83960bfffffffff,2.0,0.0,0.0
83971cfffffffff,2.0,0.0,0.0
83bc54fffffffff,2.0,0.0,0.0
83bcd2fffffffff,2.0,0.0,2.0
83bcddfffffffff,2.0,0.0,0.0
