cell_id,Chaetura vauxi,Chaetura vauxi vauxi,Chaetura vauxi gaumeri,Chaetura vauxi [richmondi Group],Chaetura vauxi aphanes
821287fffffffff,4.0,0.0,0.0,0.0,0.0
82128ffffffffff,6.0,0.0,0.0,0.0,0.0
82129ffffffffff,2.0,1.0,0.0,0.0,0.0
8212affffffffff,3.0,0.0,0.0,0.0,0.0
8212b7fffffffff,12.0,0.0,0.0,0.0,0.0
8212c7fffffffff,9.0,0.0,0.0,0.0,0.0
8212cffffffffff,14.0,2.0,0.0,0.0,0.0
8212d7fffffffff,9.0,3.0,0.0,0.0,0.0
8212dffffffffff,10.0,0.0,0.0,0.0,0.0
8212f7fffffffff,4.0,0.0,0.0,0.0,0.0
821397fffffffff,8.0,0.0,0.0,0.0,0.0
82139ffffffffff,6.0,0.0,0.0,0.0,0.0
822697fffffffff,18.0,0.0,0.0,0.0,0.0
82269ffffffffff,2.0,0.0,0.0,0.0,0.0
822807fffffffff,25.0,0.0,0.0,0.0,0.0
822817fffffffff,180.0,3.0,0.0,0.0,0.0
82281ffffffffff,69.0,0.0,0.0,0.0,0.0
822837fffffffff,508.0,5.0,0.0,0.0,0.0
822887fffffffff,27.0,0.0,0.0,0.0,0.0
82288ffffffffff,11.0,0.0,0.0,0.0,0.0
822897fffffffff,2.0,0.0,0.0,0.0,0.0
82289ffffffffff,43.0,1.0,0.0,0.0,0.0
8228a7fffffffff,1.0,0.0,0.0,0.0,0.0
8228affffffffff,90.0,2.0,0.0,0.0,0.0
8228b7fffffffff,13.0,0.0,0.0,0.0,0.0
8228c7fffffffff,13.0,1.0,0.0,0.0,0.0
8228d7fffffffff,168.0,4.0,0.0,0.0,0.0
8228dffffffffff,40.0,4.0,0.0,0.0,0.0
8228f7fffffffff,76.0,0.0,0.0,0.0,0.0
822917fffffffff,35.0,0.0,0.0,0.0,0.0
82291ffffffffff,10.0,0.0,0.0,0.0,0.0
822987fffffffff,5.0,0.0,0.0,0.0,0.0
82298ffffffffff,34.0,0.0,0.0,0.0,0.0
822997fffffffff,5.0,0.0,0.0,0.0,0.0
82299ffffffffff,1.0,0.0,0.0,0.0,0.0
8229a7fffffffff,215.0,0.0,0.0,0.0,0.0
8229affffffffff,70.0,0.0,0.0,0.0,0.0
8229b7fffffffff,48.0,0.0,0.0,0.0,0.0
824447fffffffff,133.0,0.0,0.0,0.0,0.0
824477fffffffff,3.0,0.0,0.0,0.0,0.0
8244affffffffff,2.0,0.0,0.0,0.0,0.0
8244e7fffffffff,20.0,0.0,0.0,0.0,0.0
8244f7fffffffff,301.0,0.0,0.0,0.0,0.0
824507fffffffff,3.0,0.0,0.0,0.0,0.0
82450ffffffffff,9.0,0.0,2.0,0.0,0.0
824527fffffffff,5.0,0.0,0.0,0.0,0.0
82452ffffffffff,25.0,0.0,0.0,4.0,0.0
824577fffffffff,3.0,0.0,0.0,0.0,0.0
824807fffffffff,3.0,0.0,0.0,0.0,0.0
824827fffffffff,17.0,0.0,0.0,0.0,0.0
82482ffffffffff,4.0,0.0,0.0,0.0,0.0
824837fffffffff,8.0,8.0,0.0,0.0,0.0
824847fffffffff,19.0,0.0,0.0,0.0,0.0
82484ffffffffff,11.0,0.0,0.0,0.0,0.0
82485ffffffffff,54.0,0.0,0.0,0.0,0.0
824877fffffffff,4.0,0.0,0.0,0.0,0.0
8248a7fffffffff,9.0,0.0,0.0,0.0,0.0
8248b7fffffffff,9.0,0.0,0.0,0.0,0.0
8248c7fffffffff,10.0,0.0,0.0,0.0,0.0
8248dffffffffff,1.0,0.0,0.0,0.0,0.0
8248effffffffff,112.0,2.0,0.0,0.0,0.0
824987fffffffff,21.0,14.0,0.0,0.0,0.0
824997fffffffff,82.0,27.0,0.0,0.0,0.0
82499ffffffffff,18.0,0.0,0.0,16.0,0.0
8249b7fffffffff,8.0,7.0,0.0,0.0,0.0
825f4ffffffffff,3.0,0.0,0.0,0.0,0.0
826617fffffffff,18.0,0.0,0.0,0.0,0.0
82662ffffffffff,13.0,0.0,0.0,0.0,0.0
8266a7fffffffff,45.0,0.0,0.0,1.0,0.0
8266b7fffffffff,34.0,0.0,0.0,9.0,0.0
826747fffffffff,4.0,0.0,0.0,0.0,2.0
82674ffffffffff,23.0,0.0,0.0,0.0,11.0
826757fffffffff,2.0,0.0,0.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0,0.0,0.0
82679ffffffffff,27.0,0.0,0.0,0.0,0.0
826d07fffffffff,4.0,0.0,0.0,0.0,0.0
826d17fffffffff,4.0,0.0,0.0,0.0,0.0
826d27fffffffff,20.0,0.0,0.0,0.0,0.0
826d2ffffffffff,21.0,0.0,0.0,0.0,0.0
826d37fffffffff,10.0,0.0,0.0,0.0,0.0
826d67fffffffff,2.0,0.0,0.0,0.0,0.0
826d6ffffffffff,18.0,0.0,0.0,6.0,0.0
826d77fffffffff,6.0,0.0,0.0,0.0,0.0
