cell_id,Erythropitta celebensis,Erythropitta celebensis celebensis,Erythropitta celebensis caeruleitorques,Erythropitta celebensis palliceps
8368c2fffffffff,4.0,4.0,0.0,0.0
8368c3fffffffff,6.0,6.0,0.0,0.0
8368c8fffffffff,113.0,105.0,0.0,0.0
8368cdfffffffff,17.0,0.0,0.0,17.0
8368cefffffffff,40.0,38.0,0.0,0.0
8368d0fffffffff,1.0,1.0,0.0,0.0
8368d2fffffffff,7.0,7.0,0.0,0.0
8368d6fffffffff,1.0,1.0,0.0,0.0
8368ddfffffffff,4.0,4.0,0.0,0.0
8373b6fffffffff,18.0,0.0,18.0,0.0
839500fffffffff,19.0,19.0,0.0,0.0
83950dfffffffff,4.0,4.0,0.0,0.0
839576fffffffff,5.0,5.0,0.0,0.0
