cell_id,Colaptes rubiginosus,Colaptes rubiginosus aeruginosus,Colaptes rubiginosus [rubiginosus Group],Colaptes rubiginosus rubripileus
824507fffffffff,326.0,0.0,2.0,0.0
82450ffffffffff,1722.0,0.0,272.0,0.0
82451ffffffffff,6.0,0.0,0.0,0.0
824527fffffffff,4572.0,0.0,2.0,0.0
82452ffffffffff,8953.0,0.0,255.0,0.0
824537fffffffff,504.0,0.0,0.0,0.0
824577fffffffff,87.0,0.0,37.0,0.0
8248a7fffffffff,385.0,126.0,0.0,0.0
824997fffffffff,1579.0,822.0,0.0,0.0
82499ffffffffff,434.0,216.0,0.0,0.0
825f07fffffffff,134.0,0.0,2.0,0.0
825f17fffffffff,3.0,0.0,0.0,0.0
825f2ffffffffff,1.0,0.0,0.0,0.0
825f47fffffffff,8.0,0.0,0.0,0.0
825f4ffffffffff,49.0,0.0,1.0,0.0
825f57fffffffff,2.0,0.0,0.0,0.0
825f5ffffffffff,1435.0,0.0,0.0,0.0
825f77fffffffff,107.0,0.0,1.0,0.0
826607fffffffff,72.0,0.0,1.0,0.0
82660ffffffffff,458.0,0.0,0.0,0.0
82661ffffffffff,5664.0,0.0,75.0,0.0
826627fffffffff,2118.0,0.0,72.0,0.0
82662ffffffffff,242.0,0.0,7.0,0.0
826637fffffffff,5.0,0.0,0.0,0.0
826657fffffffff,13.0,0.0,0.0,0.0
826677fffffffff,6.0,0.0,0.0,0.0
8266a7fffffffff,188.0,0.0,4.0,0.0
8266b7fffffffff,3763.0,0.0,8.0,0.0
8266c7fffffffff,889.0,0.0,2.0,0.0
8266d7fffffffff,3968.0,0.0,0.0,352.0
8266dffffffffff,953.0,0.0,91.0,0.0
8266e7fffffffff,3699.0,0.0,81.0,0.0
8266effffffffff,3.0,0.0,0.0,0.0
8266f7fffffffff,2793.0,0.0,21.0,0.0
826747fffffffff,350.0,0.0,10.0,0.0
82674ffffffffff,737.0,0.0,0.0,0.0
826757fffffffff,21.0,0.0,0.0,0.0
82675ffffffffff,101.0,0.0,2.0,0.0
826797fffffffff,100.0,0.0,0.0,0.0
82679ffffffffff,42.0,0.0,0.0,0.0
8267b7fffffffff,5.0,0.0,0.0,0.0
826d07fffffffff,188.0,0.0,52.0,0.0
826d27fffffffff,748.0,0.0,201.0,0.0
826d2ffffffffff,10048.0,0.0,1782.0,0.0
826d37fffffffff,721.0,0.0,116.0,0.0
826d67fffffffff,4107.0,0.0,0.0,0.0
826d6ffffffffff,7103.0,0.0,0.0,0.0
826d77fffffffff,1565.0,0.0,0.0,0.0
828a47fffffffff,1.0,0.0,0.0,0.0
828b0ffffffffff,4.0,0.0,0.0,0.0
828b27fffffffff,63.0,0.0,3.0,0.0
828b2ffffffffff,82.0,0.0,0.0,0.0
828b67fffffffff,659.0,0.0,37.0,0.0
828b6ffffffffff,462.0,0.0,4.0,0.0
828b77fffffffff,37.0,0.0,0.0,0.0
828e67fffffffff,93.0,0.0,0.0,0.0
828e6ffffffffff,1.0,0.0,1.0,0.0
828f0ffffffffff,708.0,0.0,0.0,64.0
828f27fffffffff,13.0,0.0,0.0,0.0
828f2ffffffffff,1566.0,0.0,0.0,80.0
828f47fffffffff,151.0,0.0,5.0,0.0
828f4ffffffffff,66.0,0.0,0.0,0.0
828f57fffffffff,1059.0,0.0,0.0,61.0
828f5ffffffffff,18.0,0.0,0.0,0.0
828f77fffffffff,646.0,0.0,22.0,9.0
82b277fffffffff,114.0,0.0,0.0,0.0
82b327fffffffff,96.0,0.0,0.0,0.0
82b347fffffffff,509.0,0.0,0.0,0.0
82b357fffffffff,149.0,0.0,0.0,0.0
82b35ffffffffff,950.0,0.0,0.0,0.0
82b367fffffffff,5.0,0.0,0.0,0.0
82b377fffffffff,1.0,0.0,0.0,0.0
