cell_id,Laterallus jamaicensis,Laterallus jamaicensis jamaicensis/coturniculus,Laterallus jamaicensis salinasi/murivagans,Laterallus jamaicensis tuerosi
822a4ffffffffff,1.0,0.0,0.0,0.0
822ad7fffffffff,1.0,0.0,0.0,0.0
824437fffffffff,9.0,0.0,0.0,0.0
82446ffffffffff,2.0,0.0,0.0,0.0
8244affffffffff,1.0,0.0,0.0,0.0
824507fffffffff,6.0,0.0,0.0,0.0
824527fffffffff,8.0,0.0,0.0,0.0
82452ffffffffff,43.0,0.0,0.0,0.0
824537fffffffff,21.0,0.0,0.0,0.0
82458ffffffffff,16.0,0.0,0.0,0.0
82459ffffffffff,2.0,0.0,0.0,0.0
8245a7fffffffff,6.0,0.0,0.0,0.0
82485ffffffffff,12.0,0.0,0.0,0.0
8266a7fffffffff,5.0,0.0,0.0,0.0
826797fffffffff,3.0,0.0,0.0,0.0
82800ffffffffff,9.0,0.0,0.0,0.0
828057fffffffff,30.0,2.0,0.0,0.0
828e67fffffffff,34.0,0.0,6.0,6.0
828e77fffffffff,2.0,0.0,2.0,0.0
828f5ffffffffff,2.0,0.0,0.0,0.0
82b207fffffffff,239.0,0.0,0.0,0.0
82b21ffffffffff,49.0,0.0,0.0,0.0
82b2c7fffffffff,395.0,0.0,14.0,0.0
82b2dffffffffff,65.0,0.0,0.0,0.0
82b307fffffffff,17.0,0.0,0.0,0.0
82b337fffffffff,1.0,0.0,0.0,0.0
82ce8ffffffffff,69.0,0.0,0.0,0.0
82ceaffffffffff,21.0,0.0,0.0,0.0
