cell_id,Pycnonotus barbatus,Pycnonotus barbatus [barbatus Group],Pycnonotus barbatus somaliensis,Pycnonotus barbatus dodsoni,Pycnonotus barbatus [tricolor Group]
833814fffffffff,3.0,0.0,0.0,0.0,0.0
833816fffffffff,208.0,16.0,0.0,0.0,0.0
833830fffffffff,5.0,0.0,0.0,0.0,0.0
833832fffffffff,13.0,0.0,0.0,0.0,0.0
833834fffffffff,35.0,0.0,0.0,0.0,0.0
833835fffffffff,6.0,0.0,0.0,0.0,0.0
833836fffffffff,74.0,14.0,0.0,0.0,0.0
833841fffffffff,1.0,0.0,0.0,0.0,0.0
833843fffffffff,2.0,0.0,0.0,0.0,0.0
83385cfffffffff,1.0,0.0,0.0,0.0,0.0
833862fffffffff,51.0,5.0,0.0,0.0,0.0
833863fffffffff,7.0,0.0,0.0,0.0,0.0
833868fffffffff,29.0,0.0,0.0,0.0,0.0
83386afffffffff,12.0,0.0,0.0,0.0,0.0
83386efffffffff,52.0,0.0,0.0,0.0,0.0
833875fffffffff,12.0,7.0,0.0,0.0,0.0
8338a4fffffffff,14.0,0.0,0.0,0.0,0.0
83391afffffffff,1095.0,8.0,0.0,0.0,0.0
83395afffffffff,1.0,0.0,0.0,0.0,0.0
833980fffffffff,77.0,5.0,0.0,0.0,0.0
833981fffffffff,310.0,48.0,0.0,0.0,0.0
833982fffffffff,251.0,45.0,0.0,0.0,0.0
833983fffffffff,475.0,101.0,0.0,0.0,0.0
833985fffffffff,66.0,23.0,0.0,0.0,0.0
833988fffffffff,298.0,41.0,0.0,0.0,0.0
833989fffffffff,99.0,15.0,0.0,0.0,0.0
83398afffffffff,52.0,6.0,0.0,0.0,0.0
83398bfffffffff,40.0,7.0,0.0,0.0,0.0
83398cfffffffff,14.0,1.0,0.0,0.0,0.0
83398dfffffffff,18.0,0.0,0.0,0.0,0.0
83398efffffffff,447.0,58.0,0.0,0.0,0.0
833991fffffffff,582.0,65.0,0.0,0.0,0.0
833992fffffffff,2.0,0.0,0.0,0.0,0.0
833993fffffffff,43.0,3.0,0.0,0.0,0.0
833998fffffffff,4.0,0.0,0.0,0.0,0.0
83399cfffffffff,68.0,24.0,0.0,0.0,0.0
83399dfffffffff,31.0,2.0,0.0,0.0,0.0
83399efffffffff,12.0,4.0,0.0,0.0,0.0
8339a8fffffffff,87.0,24.0,0.0,0.0,0.0
8339a9fffffffff,168.0,15.0,0.0,0.0,0.0
8339aafffffffff,9.0,3.0,0.0,0.0,0.0
8339abfffffffff,235.0,53.0,0.0,0.0,0.0
833e46fffffffff,2.0,0.0,0.0,0.0,0.0
833e58fffffffff,175.0,8.0,0.0,0.0,0.0
833e5bfffffffff,18.0,0.0,0.0,0.0,0.0
833e5cfffffffff,44.0,1.0,0.0,0.0,0.0
833e5dfffffffff,3.0,0.0,0.0,0.0,0.0
833e60fffffffff,11.0,7.0,0.0,0.0,0.0
833e62fffffffff,188.0,23.0,0.0,0.0,0.0
833e63fffffffff,10.0,0.0,0.0,0.0,0.0
833e65fffffffff,14.0,2.0,0.0,0.0,0.0
833e66fffffffff,2.0,0.0,0.0,0.0,0.0
833e68fffffffff,2.0,0.0,0.0,0.0,0.0
833e71fffffffff,28.0,4.0,0.0,0.0,0.0
833e75fffffffff,13.0,0.0,0.0,0.0,0.0
833ee9fffffffff,1.0,0.0,0.0,0.0,0.0
833f59fffffffff,1.0,1.0,0.0,0.0,0.0
835280fffffffff,2.0,2.0,0.0,0.0,0.0
835281fffffffff,2.0,2.0,0.0,0.0,0.0
835282fffffffff,4.0,2.0,0.0,0.0,0.0
835283fffffffff,17.0,6.0,0.0,0.0,0.0
835286fffffffff,4.0,2.0,0.0,0.0,0.0
835289fffffffff,30.0,0.0,22.0,0.0,0.0
83528afffffffff,5.0,0.0,1.0,0.0,0.0
83528efffffffff,2.0,2.0,0.0,0.0,0.0
835291fffffffff,19.0,12.0,0.0,0.0,0.0
835298fffffffff,35.0,11.0,0.0,0.0,0.0
835299fffffffff,10.0,6.0,0.0,0.0,0.0
83529bfffffffff,295.0,64.0,4.0,0.0,17.0
83529dfffffffff,4.0,2.0,0.0,0.0,0.0
83529efffffffff,4.0,1.0,0.0,0.0,0.0
8352b1fffffffff,1.0,1.0,0.0,0.0,0.0
8352cafffffffff,4.0,0.0,0.0,0.0,0.0
8352d3fffffffff,21.0,0.0,12.0,0.0,0.0
8352d4fffffffff,148.0,0.0,77.0,0.0,0.0
8352d6fffffffff,34.0,0.0,9.0,0.0,0.0
8352d8fffffffff,1.0,0.0,1.0,0.0,0.0
8352d9fffffffff,2.0,0.0,0.0,0.0,0.0
8352dcfffffffff,4.0,0.0,2.0,0.0,0.0
8352defffffffff,2.0,0.0,2.0,0.0,0.0
835402fffffffff,41.0,22.0,0.0,0.0,0.0
835408fffffffff,4.0,0.0,0.0,0.0,0.0
83540bfffffffff,8.0,2.0,0.0,0.0,0.0
83540efffffffff,1.0,0.0,0.0,0.0,0.0
835410fffffffff,145.0,45.0,0.0,0.0,0.0
835411fffffffff,133.0,53.0,0.0,0.0,0.0
835413fffffffff,116.0,23.0,0.0,0.0,0.0
835415fffffffff,50.0,19.0,0.0,0.0,0.0
835418fffffffff,9.0,3.0,0.0,0.0,0.0
835419fffffffff,22.0,9.0,0.0,0.0,0.0
83541afffffffff,458.0,162.0,0.0,0.0,0.0
83541bfffffffff,232.0,47.0,0.0,0.0,0.0
83541efffffffff,19.0,14.0,0.0,0.0,0.0
835440fffffffff,51.0,2.0,0.0,0.0,0.0
835444fffffffff,16.0,0.0,0.0,0.0,0.0
835449fffffffff,2.0,0.0,0.0,0.0,0.0
8354a9fffffffff,1104.0,206.0,0.0,0.0,0.0
8354acfffffffff,101.0,67.0,0.0,0.0,0.0
8354adfffffffff,201.0,51.0,0.0,0.0,0.0
8354c4fffffffff,18.0,0.0,0.0,0.0,0.0
8354c5fffffffff,17.0,0.0,0.0,0.0,0.0
8354ccfffffffff,8.0,0.0,0.0,0.0,0.0
8354e0fffffffff,9.0,0.0,0.0,0.0,0.0
8354e1fffffffff,7.0,0.0,0.0,0.0,0.0
8354e2fffffffff,48.0,0.0,0.0,0.0,0.0
8354e3fffffffff,6.0,0.0,0.0,0.0,0.0
8354e4fffffffff,292.0,86.0,0.0,0.0,0.0
8354e5fffffffff,172.0,59.0,0.0,0.0,0.0
8354e6fffffffff,3.0,0.0,0.0,0.0,0.0
8354e8fffffffff,10.0,0.0,0.0,0.0,0.0
8354e9fffffffff,1.0,0.0,0.0,0.0,0.0
8354eafffffffff,27.0,0.0,0.0,0.0,0.0
8354ebfffffffff,2.0,0.0,0.0,0.0,0.0
8354ecfffffffff,9.0,0.0,0.0,0.0,0.0
8354eefffffffff,10.0,0.0,0.0,0.0,0.0
8354f0fffffffff,10.0,0.0,0.0,0.0,0.0
8354f1fffffffff,35.0,0.0,0.0,0.0,0.0
8354f3fffffffff,23.0,0.0,0.0,0.0,0.0
8354f4fffffffff,174.0,38.0,0.0,0.0,0.0
8354f5fffffffff,65.0,4.0,0.0,0.0,0.0
8354f6fffffffff,21.0,5.0,0.0,0.0,0.0
83580bfffffffff,2.0,0.0,0.0,0.0,0.0
835851fffffffff,14.0,0.0,0.0,0.0,0.0
835858fffffffff,1.0,0.0,0.0,0.0,0.0
83585afffffffff,1.0,1.0,0.0,0.0,0.0
83585dfffffffff,7.0,0.0,0.0,0.0,0.0
835882fffffffff,6.0,0.0,0.0,0.0,0.0
835883fffffffff,11.0,6.0,0.0,0.0,0.0
835886fffffffff,6.0,0.0,0.0,0.0,0.0
835888fffffffff,4.0,4.0,0.0,0.0,0.0
83588bfffffffff,2.0,0.0,0.0,0.0,0.0
83588dfffffffff,2.0,0.0,0.0,0.0,0.0
835890fffffffff,111.0,23.0,0.0,0.0,0.0
835891fffffffff,13.0,0.0,0.0,0.0,0.0
835894fffffffff,49.0,5.0,0.0,0.0,0.0
835895fffffffff,9.0,0.0,0.0,0.0,0.0
835896fffffffff,116.0,43.0,0.0,0.0,0.0
83589cfffffffff,9.0,2.0,0.0,0.0,0.0
8358a4fffffffff,7.0,6.0,0.0,0.0,0.0
8358a6fffffffff,18.0,2.0,0.0,0.0,0.0
8358b0fffffffff,1.0,1.0,0.0,0.0,0.0
