cell_id,Epinecrophylla ornata,Epinecrophylla ornata [ornata Group],Epinecrophylla ornata hoffmannsi
8366c2fffffffff,24.0,0.0,0.0
8366c5fffffffff,7.0,0.0,0.0
8366cbfffffffff,1.0,0.0,0.0
8366cefffffffff,4.0,0.0,0.0
8366d1fffffffff,2.0,0.0,0.0
8366d8fffffffff,7.0,0.0,0.0
8366dafffffffff,11.0,0.0,0.0
8366dbfffffffff,2.0,0.0,0.0
8366dcfffffffff,52.0,5.0,0.0
8366ddfffffffff,10.0,0.0,0.0
8366defffffffff,273.0,12.0,0.0
8366e8fffffffff,2.0,0.0,0.0
8366eafffffffff,8.0,0.0,0.0
8366ecfffffffff,3.0,0.0,0.0
8366eefffffffff,77.0,0.0,0.0
838061fffffffff,24.0,0.0,0.0
838065fffffffff,23.0,0.0,0.0
838066fffffffff,6.0,0.0,0.0
838140fffffffff,1.0,0.0,0.0
838148fffffffff,1.0,0.0,0.0
83814afffffffff,122.0,0.0,0.0
83814bfffffffff,2.0,0.0,0.0
83814dfffffffff,55.0,0.0,0.0
83814efffffffff,73.0,0.0,0.0
83815dfffffffff,50.0,0.0,0.0
838163fffffffff,2.0,0.0,0.0
838a10fffffffff,1.0,0.0,0.0
838a15fffffffff,16.0,0.0,0.0
838a31fffffffff,1.0,0.0,0.0
838a33fffffffff,7.0,0.0,0.0
838a63fffffffff,2.0,0.0,0.0
838a6dfffffffff,4.0,0.0,0.0
838a75fffffffff,2.0,0.0,0.0
838a80fffffffff,20.0,0.0,0.0
838a92fffffffff,13.0,0.0,0.0
838a9cfffffffff,3.0,0.0,0.0
838aacfffffffff,1.0,0.0,0.0
838ab2fffffffff,1.0,0.0,0.0
838b40fffffffff,36.0,3.0,0.0
838b44fffffffff,90.0,4.0,0.0
838b4efffffffff,15.0,0.0,0.0
838b51fffffffff,4.0,0.0,0.0
838b52fffffffff,1.0,0.0,0.0
838b5cfffffffff,38.0,0.0,0.0
838b5dfffffffff,3.0,0.0,0.0
838b61fffffffff,359.0,21.0,0.0
838b62fffffffff,21.0,0.0,0.0
838b63fffffffff,52.0,0.0,0.0
838b68fffffffff,1.0,0.0,0.0
838b6cfffffffff,1.0,0.0,0.0
838b6efffffffff,13.0,0.0,0.0
838b71fffffffff,44.0,3.0,0.0
838b99fffffffff,7.0,0.0,0.0
838b9dfffffffff,47.0,0.0,0.0
838e64fffffffff,1.0,0.0,0.0
838f40fffffffff,3.0,0.0,0.0
838f42fffffffff,5.0,0.0,0.0
838f43fffffffff,12.0,1.0,0.0
838f46fffffffff,32.0,3.0,0.0
838f4afffffffff,3.0,0.0,0.0
838f61fffffffff,10.0,0.0,0.0
838f6bfffffffff,2.0,0.0,0.0
838f70fffffffff,1.0,0.0,0.0
838f72fffffffff,41.0,0.0,0.0
838f74fffffffff,3.0,0.0,0.0
