cell_id,Lalage melanoleuca,Lalage melanoleuca melanoleuca,Lalage melanoleuca minor
826847fffffffff,5.0,0.0,2.0
82684ffffffffff,102.0,0.0,5.0
826857fffffffff,2.0,0.0,0.0
82685ffffffffff,25.0,0.0,6.0
82686ffffffffff,3.0,0.0,0.0
826947fffffffff,11.0,2.0,0.0
82694ffffffffff,47.0,4.0,0.0
82695ffffffffff,12.0,0.0,0.0
82696ffffffffff,50.0,16.0,0.0
