cell_id,Pandion haliaetus,Pandion haliaetus haliaetus,Pandion haliaetus carolinensis,Pandion haliaetus ridgwayi,Pandion haliaetus cristatus
8401265ffffffff,2.0,0.0,0.0,0.0,0.0
840126dffffffff,1.0,0.0,0.0,0.0,0.0
8401351ffffffff,2.0,0.0,0.0,0.0,0.0
840135dffffffff,2.0,2.0,0.0,0.0,0.0
840802dffffffff,1.0,0.0,0.0,0.0,0.0
840811dffffffff,2.0,0.0,0.0,0.0,0.0
8408121ffffffff,2.0,0.0,0.0,0.0,0.0
8408129ffffffff,4.0,0.0,0.0,0.0,0.0
8408133ffffffff,2.0,0.0,0.0,0.0,0.0
8408149ffffffff,1.0,0.0,0.0,0.0,0.0
8408193ffffffff,2.0,0.0,0.0,0.0,0.0
84081e5ffffffff,2.0,0.0,0.0,0.0,0.0
840832dffffffff,1.0,0.0,0.0,0.0,0.0
8408805ffffffff,1.0,0.0,0.0,0.0,0.0
8408807ffffffff,2.0,0.0,0.0,0.0,0.0
8408809ffffffff,13.0,0.0,0.0,0.0,0.0
840880bffffffff,1.0,1.0,0.0,0.0,0.0
840880dffffffff,15.0,9.0,0.0,0.0,0.0
8408829ffffffff,14.0,10.0,0.0,0.0,0.0
840882bffffffff,1.0,0.0,0.0,0.0,0.0
840882dffffffff,6.0,2.0,0.0,0.0,0.0
8408837ffffffff,6.0,0.0,0.0,0.0,0.0
8408839ffffffff,4.0,0.0,0.0,0.0,0.0
840883dffffffff,2.0,0.0,0.0,0.0,0.0
8408841ffffffff,4.0,2.0,0.0,0.0,0.0
8408843ffffffff,3.0,0.0,0.0,0.0,0.0
8408845ffffffff,9.0,4.0,0.0,0.0,0.0
840884bffffffff,2.0,2.0,0.0,0.0,0.0
840884dffffffff,2.0,0.0,0.0,0.0,0.0
8408855ffffffff,7.0,5.0,0.0,0.0,0.0
8408863ffffffff,14.0,4.0,0.0,0.0,0.0
8408867ffffffff,25.0,3.0,0.0,0.0,0.0
8408869ffffffff,18.0,6.0,0.0,0.0,0.0
840886bffffffff,78.0,34.0,0.0,0.0,0.0
8408881ffffffff,3.0,0.0,0.0,0.0,0.0
8408889ffffffff,5.0,0.0,0.0,0.0,0.0
840888bffffffff,7.0,0.0,0.0,0.0,0.0
840888dffffffff,12.0,10.0,0.0,0.0,0.0
8408897ffffffff,1.0,0.0,0.0,0.0,0.0
840889bffffffff,1.0,0.0,0.0,0.0,0.0
84088a1ffffffff,4.0,4.0,0.0,0.0,0.0
84088a3ffffffff,1.0,0.0,0.0,0.0,0.0
84088a9ffffffff,14.0,5.0,0.0,0.0,0.0
84088adffffffff,2.0,0.0,0.0,0.0,0.0
84088b7ffffffff,2.0,0.0,0.0,0.0,0.0
84088e1ffffffff,4.0,4.0,0.0,0.0,0.0
84088e5ffffffff,4.0,0.0,0.0,0.0,0.0
8408937ffffffff,2.0,0.0,0.0,0.0,0.0
8408949ffffffff,1.0,1.0,0.0,0.0,0.0
8408959ffffffff,7.0,4.0,0.0,0.0,0.0
840895bffffffff,12.0,7.0,0.0,0.0,0.0
8408985ffffffff,5.0,0.0,0.0,0.0,0.0
840898bffffffff,10.0,0.0,0.0,0.0,0.0
8408991ffffffff,16.0,4.0,0.0,0.0,0.0
8408993ffffffff,2.0,0.0,0.0,0.0,0.0
8408995ffffffff,2.0,0.0,0.0,0.0,0.0
8408997ffffffff,78.0,27.0,0.0,0.0,0.0
840899bffffffff,2.0,0.0,0.0,0.0,0.0
84089a5ffffffff,4.0,0.0,0.0,0.0,0.0
84089a9ffffffff,6.0,0.0,0.0,0.0,0.0
84089abffffffff,2.0,0.0,0.0,0.0,0.0
84089bbffffffff,13.0,3.0,0.0,0.0,0.0
84089d1ffffffff,6.0,0.0,0.0,0.0,0.0
84089d3ffffffff,10.0,0.0,0.0,0.0,0.0
84089d9ffffffff,9.0,0.0,0.0,0.0,0.0
84089dbffffffff,6.0,0.0,0.0,0.0,0.0
