cell_id,Trogon massena,Trogon massena massena/hoffmanni,Trogon massena australis
834505fffffffff,7.0,0.0,0.0
834520fffffffff,453.0,13.0,0.0
834521fffffffff,641.0,1.0,0.0
834522fffffffff,469.0,0.0,0.0
834523fffffffff,809.0,0.0,0.0
834525fffffffff,56.0,0.0,0.0
834526fffffffff,7.0,0.0,0.0
834528fffffffff,440.0,1.0,0.0
83452afffffffff,895.0,47.0,0.0
83452cfffffffff,427.0,52.0,0.0
83452dfffffffff,304.0,42.0,0.0
83452efffffffff,4856.0,247.0,0.0
834530fffffffff,23.0,0.0,0.0
834531fffffffff,31.0,0.0,0.0
834532fffffffff,84.0,0.0,0.0
834534fffffffff,10.0,0.0,0.0
834535fffffffff,9.0,0.0,0.0
834536fffffffff,104.0,0.0,0.0
834564fffffffff,5.0,0.0,0.0
836610fffffffff,324.0,14.0,0.0
836611fffffffff,11.0,0.0,0.0
836612fffffffff,26.0,0.0,0.0
836613fffffffff,221.0,21.0,0.0
836616fffffffff,331.0,39.0,0.0
83661afffffffff,41.0,0.0,0.0
83661bfffffffff,8.0,0.0,0.0
8366a0fffffffff,250.0,12.0,0.0
8366a2fffffffff,12.0,0.0,0.0
8366a3fffffffff,97.0,0.0,0.0
8366a5fffffffff,8205.0,695.0,0.0
8366a6fffffffff,59.0,1.0,0.0
8366adfffffffff,2.0,0.0,0.0
8366b0fffffffff,1896.0,0.0,0.0
8366b1fffffffff,17.0,2.0,0.0
8366b4fffffffff,1035.0,0.0,0.0
8366b5fffffffff,830.0,8.0,0.0
8366b6fffffffff,56.0,0.0,0.0
8366d0fffffffff,125.0,0.0,8.0
8366d2fffffffff,7.0,0.0,2.0
8366d4fffffffff,4.0,0.0,0.0
8366d5fffffffff,2.0,0.0,0.0
8366f0fffffffff,204.0,0.0,3.0
8366f3fffffffff,68.0,0.0,5.0
83678bfffffffff,3.0,0.0,0.0
836790fffffffff,5.0,0.0,0.0
836793fffffffff,17.0,0.0,0.0
836794fffffffff,11.0,0.0,0.0
836796fffffffff,87.0,0.0,0.0
83679afffffffff,5021.0,0.0,0.0
83679bfffffffff,1110.0,0.0,0.0
836d20fffffffff,10.0,0.0,0.0
836d21fffffffff,111.0,26.0,0.0
836d22fffffffff,9.0,0.0,0.0
836d2cfffffffff,448.0,70.0,0.0
836d2dfffffffff,116.0,56.0,0.0
836d30fffffffff,37.0,2.0,0.0
836d31fffffffff,121.0,24.0,0.0
836d35fffffffff,23.0,5.0,0.0
836d68fffffffff,776.0,0.0,0.0
836d69fffffffff,5280.0,0.0,0.0
836d6cfffffffff,2.0,0.0,0.0
836d6dfffffffff,1416.0,0.0,0.0
