cell_id,Columba palumbus,Columba palumbus [palumbus Group],Columba palumbus casiotis
8401265ffffffff,1.0,0.0,0.0
840130bffffffff,1.0,0.0,0.0
8401319ffffffff,2.0,0.0,0.0
840134bffffffff,6.0,2.0,0.0
8401351ffffffff,2.0,0.0,0.0
8401353ffffffff,2.0,0.0,0.0
840135bffffffff,3.0,0.0,0.0
8408021ffffffff,2.0,0.0,0.0
8408023ffffffff,2.0,0.0,0.0
8408025ffffffff,6.0,0.0,0.0
840802bffffffff,2.0,0.0,0.0
840802dffffffff,2.0,0.0,0.0
8408035ffffffff,4.0,0.0,0.0
8408065ffffffff,31.0,0.0,0.0
8408105ffffffff,5.0,0.0,0.0
8408107ffffffff,4.0,0.0,0.0
840810dffffffff,2.0,0.0,0.0
8408111ffffffff,2.0,0.0,0.0
8408119ffffffff,4.0,0.0,0.0
840811dffffffff,1.0,0.0,0.0
8408121ffffffff,1.0,0.0,0.0
8408123ffffffff,2.0,0.0,0.0
8408129ffffffff,1.0,1.0,0.0
840812bffffffff,1.0,0.0,0.0
840812dffffffff,2.0,0.0,0.0
8408133ffffffff,11.0,0.0,0.0
8408137ffffffff,5.0,0.0,0.0
840813dffffffff,3.0,0.0,0.0
8408147ffffffff,2.0,0.0,0.0
8408151ffffffff,70.0,0.0,0.0
8408153ffffffff,11.0,0.0,0.0
8408159ffffffff,42.0,0.0,0.0
840815bffffffff,14.0,0.0,0.0
8408165ffffffff,9.0,0.0,0.0
8408169ffffffff,3.0,0.0,0.0
8408193ffffffff,6.0,0.0,0.0
84081e1ffffffff,2.0,0.0,0.0
84081e5ffffffff,34.0,0.0,0.0
84081edffffffff,2.0,0.0,0.0
8408295ffffffff,2.0,0.0,0.0
840829bffffffff,2.0,0.0,0.0
84082a5ffffffff,1.0,0.0,0.0
84082b7ffffffff,2.0,0.0,0.0
84082b9ffffffff,3.0,0.0,0.0
8408305ffffffff,2.0,0.0,0.0
840832dffffffff,1.0,1.0,0.0
8408331ffffffff,3.0,0.0,0.0
8408333ffffffff,4.0,0.0,0.0
8408337ffffffff,4.0,0.0,0.0
840833bffffffff,4.0,0.0,0.0
8408361ffffffff,3.0,0.0,0.0
8408365ffffffff,6.0,0.0,0.0
840836dffffffff,2.0,0.0,0.0
8408805ffffffff,8.0,2.0,0.0
8408809ffffffff,22.0,4.0,0.0
840880bffffffff,10.0,0.0,0.0
840880dffffffff,175.0,21.0,0.0
8408821ffffffff,3.0,0.0,0.0
8408823ffffffff,2.0,0.0,0.0
8408829ffffffff,55.0,27.0,0.0
840882bffffffff,8.0,2.0,0.0
840882dffffffff,24.0,16.0,0.0
8408831ffffffff,7.0,0.0,0.0
8408837ffffffff,22.0,0.0,0.0
8408839ffffffff,28.0,0.0,0.0
840883dffffffff,25.0,1.0,0.0
8408841ffffffff,19.0,0.0,0.0
8408843ffffffff,7.0,0.0,0.0
8408845ffffffff,25.0,0.0,0.0
8408847ffffffff,10.0,0.0,0.0
840884bffffffff,11.0,0.0,0.0
840884dffffffff,5.0,0.0,0.0
8408851ffffffff,2.0,0.0,0.0
8408855ffffffff,18.0,3.0,0.0
840885bffffffff,4.0,0.0,0.0
840885dffffffff,2.0,0.0,0.0
8408861ffffffff,8.0,4.0,0.0
8408863ffffffff,108.0,17.0,0.0
8408865ffffffff,5.0,2.0,0.0
8408867ffffffff,408.0,143.0,0.0
8408869ffffffff,46.0,0.0,0.0
840886bffffffff,183.0,77.0,0.0
840886dffffffff,2.0,0.0,0.0
8408881ffffffff,5.0,0.0,0.0
8408885ffffffff,3.0,2.0,0.0
8408889ffffffff,52.0,6.0,0.0
840888bffffffff,1.0,0.0,0.0
840888dffffffff,19.0,8.0,0.0
8408891ffffffff,2.0,0.0,0.0
8408897ffffffff,2.0,0.0,0.0
8408899ffffffff,2.0,0.0,0.0
84088a1ffffffff,7.0,5.0,0.0
84088a5ffffffff,7.0,3.0,0.0
84088a9ffffffff,21.0,6.0,0.0
84088adffffffff,22.0,3.0,0.0
84088b7ffffffff,2.0,0.0,0.0
84088bdffffffff,2.0,0.0,0.0
84088d3ffffffff,3.0,3.0,0.0
84088e1ffffffff,51.0,51.0,0.0
84088e3ffffffff,11.0,8.0,0.0
84088e5ffffffff,3.0,0.0,0.0
84088e7ffffffff,13.0,13.0,0.0
8408901ffffffff,19.0,0.0,0.0
840890dffffffff,5.0,0.0,0.0
8408933ffffffff,3.0,0.0,0.0
8408937ffffffff,61.0,1.0,0.0
8408959ffffffff,63.0,37.0,0.0
840895bffffffff,83.0,48.0,0.0
8408961ffffffff,4.0,0.0,0.0
8408963ffffffff,4.0,0.0,0.0
8408965ffffffff,25.0,0.0,0.0
840896bffffffff,7.0,0.0,0.0
8408985ffffffff,29.0,0.0,0.0
8408987ffffffff,7.0,0.0,0.0
840898bffffffff,34.0,0.0,0.0
8408991ffffffff,63.0,15.0,0.0
8408993ffffffff,2.0,0.0,0.0
8408995ffffffff,99.0,4.0,0.0
8408997ffffffff,454.0,111.0,0.0
8408999ffffffff,30.0,4.0,0.0
840899bffffffff,6.0,0.0,0.0
840899dffffffff,17.0,0.0,0.0
84089a1ffffffff,55.0,2.0,0.0
84089a3ffffffff,2.0,0.0,0.0
84089a5ffffffff,22.0,0.0,0.0
84089a7ffffffff,9.0,0.0,0.0
84089a9ffffffff,158.0,0.0,0.0
84089abffffffff,18.0,0.0,0.0
84089adffffffff,23.0,0.0,0.0
84089b1ffffffff,20.0,1.0,0.0
84089b5ffffffff,3.0,0.0,0.0
84089b7ffffffff,7.0,0.0,0.0
84089bbffffffff,110.0,10.0,0.0
84089bdffffffff,9.0,3.0,0.0
84089cbffffffff,15.0,0.0,0.0
84089d1ffffffff,82.0,0.0,0.0
84089d3ffffffff,235.0,5.0,0.0
84089d5ffffffff,1.0,0.0,0.0
84089d7ffffffff,10.0,0.0,0.0
84089d9ffffffff,18.0,0.0,0.0
84089dbffffffff,58.0,0.0,0.0
84089ddffffffff,5.0,0.0,0.0
84089e1ffffffff,3.0,0.0,0.0
84089e3ffffffff,62.0,0.0,0.0
84089e5ffffffff,4.0,0.0,0.0
84089e7ffffffff,19.0,0.0,0.0
84089ebffffffff,35.0,0.0,0.0
84089edffffffff,3.0,0.0,0.0
8408a09ffffffff,2.0,0.0,0.0
8408a0dffffffff,4.0,0.0,0.0
8408a15ffffffff,7.0,0.0,0.0
8408a21ffffffff,1.0,0.0,0.0
8408a25ffffffff,4.0,0.0,0.0
8408a27ffffffff,1.0,0.0,0.0
8408a35ffffffff,6.0,0.0,0.0
8408a39ffffffff,1.0,0.0,0.0
8408a3bffffffff,3.0,0.0,0.0
8408a3dffffffff,4.0,0.0,0.0
8408a43ffffffff,4.0,0.0,0.0
8408a45ffffffff,29.0,16.0,0.0
8408a47ffffffff,7.0,0.0,0.0
8408a4bffffffff,4.0,0.0,0.0
8408a4dffffffff,3.0,2.0,0.0
8408a51ffffffff,1.0,0.0,0.0
8408a53ffffffff,3.0,0.0,0.0
8408a5bffffffff,2.0,0.0,0.0
8408a5dffffffff,2.0,0.0,0.0
8408a61ffffffff,1.0,0.0,0.0
8408a63ffffffff,2.0,0.0,0.0
8408a65ffffffff,1.0,0.0,0.0
8408a67ffffffff,2.0,0.0,0.0
8408a69ffffffff,14.0,1.0,0.0
8408a6dffffffff,12.0,5.0,0.0
8408a81ffffffff,1.0,0.0,0.0
8408a8dffffffff,2.0,0.0,0.0
8408a97ffffffff,3.0,0.0,0.0
8408ad9ffffffff,2.0,0.0,0.0
8408ae3ffffffff,2.0,0.0,0.0
8408b01ffffffff,2.0,0.0,0.0
8408b03ffffffff,7.0,0.0,0.0
8408b05ffffffff,14.0,2.0,0.0
8408b07ffffffff,2.0,0.0,0.0
8408b09ffffffff,7.0,2.0,0.0
8408b0dffffffff,21.0,0.0,0.0
8408b11ffffffff,91.0,0.0,0.0
8408b13ffffffff,10.0,0.0,0.0
8408b15ffffffff,32.0,0.0,0.0
8408b17ffffffff,14.0,0.0,0.0
8408b19ffffffff,2.0,0.0,0.0
8408b1bffffffff,6.0,0.0,0.0
8408b1dffffffff,5.0,0.0,0.0
8408b29ffffffff,2.0,0.0,0.0
8408b2bffffffff,2.0,0.0,0.0
8408b2dffffffff,2.0,0.0,0.0
8408b31ffffffff,9.0,0.0,0.0
8408b33ffffffff,21.0,0.0,0.0
8408b35ffffffff,1.0,0.0,0.0
8408b37ffffffff,18.0,0.0,0.0
8408b3bffffffff,6.0,0.0,0.0
8408b3dffffffff,31.0,0.0,0.0
8408b41ffffffff,6.0,0.0,0.0
8408b45ffffffff,1.0,0.0,0.0
8408b47ffffffff,11.0,0.0,0.0
8408b4bffffffff,1.0,0.0,0.0
8408b4dffffffff,11.0,2.0,0.0
8408b51ffffffff,6.0,0.0,0.0
8408b53ffffffff,2.0,0.0,0.0
8408b57ffffffff,2.0,0.0,0.0
8408b5bffffffff,4.0,0.0,0.0
8408b61ffffffff,4.0,0.0,0.0
8408b63ffffffff,2.0,0.0,0.0
8408b65ffffffff,8.0,0.0,0.0
8408b67ffffffff,14.0,0.0,0.0
8408b6bffffffff,4.0,0.0,0.0
8408b6dffffffff,1.0,0.0,0.0
8408c01ffffffff,6.0,0.0,0.0
8408c07ffffffff,3.0,0.0,0.0
8408c1bffffffff,1.0,0.0,0.0
8408c21ffffffff,6.0,2.0,0.0
8408c25ffffffff,9.0,1.0,0.0
8408c29ffffffff,8.0,4.0,0.0
8408c2bffffffff,4.0,0.0,0.0
8408c31ffffffff,8.0,0.0,0.0
8408c35ffffffff,1.0,0.0,0.0
8408c3dffffffff,7.0,0.0,0.0
8408c63ffffffff,1.0,0.0,0.0
8408c8bffffffff,12.0,0.0,0.0
8408c91ffffffff,1.0,0.0,0.0
8408c95ffffffff,1.0,0.0,0.0
8408c97ffffffff,12.0,4.0,0.0
8408cc9ffffffff,1.0,0.0,0.0
8408cd5ffffffff,2.0,0.0,0.0
8408cd7ffffffff,1.0,0.0,0.0
8408ce1ffffffff,3.0,0.0,0.0
8408ce5ffffffff,5.0,2.0,0.0
8408cedffffffff,2.0,2.0,0.0
8408d03ffffffff,2.0,0.0,0.0
8408d07ffffffff,8.0,2.0,0.0
8408d09ffffffff,1.0,0.0,0.0
8408d11ffffffff,2.0,0.0,0.0
8408d19ffffffff,90.0,1.0,0.0
8408d1bffffffff,2.0,0.0,0.0
8408d1dffffffff,4.0,0.0,0.0
8408d21ffffffff,2.0,0.0,0.0
8408d2dffffffff,3.0,0.0,0.0
8408d31ffffffff,6.0,0.0,0.0
8408d37ffffffff,15.0,2.0,0.0
8408d41ffffffff,4.0,0.0,0.0
8408d45ffffffff,6.0,0.0,0.0
8408d49ffffffff,3.0,0.0,0.0
8408d4dffffffff,1.0,0.0,0.0
8408d51ffffffff,3.0,0.0,0.0
8408d53ffffffff,2.0,0.0,0.0
8408d55ffffffff,13.0,0.0,0.0
8408d57ffffffff,10.0,4.0,0.0
8408d81ffffffff,32.0,0.0,0.0
8408d83ffffffff,11.0,0.0,0.0
8408d85ffffffff,6.0,2.0,0.0
8408d8bffffffff,13.0,1.0,0.0
8408d8dffffffff,3.0,0.0,0.0
8408da9ffffffff,2.0,0.0,0.0
8408dd9ffffffff,2.0,0.0,0.0
8408de3ffffffff,1.0,1.0,0.0
8408debffffffff,3.0,0.0,0.0
8408e65ffffffff,1.0,0.0,0.0
8408e99ffffffff,2.0,0.0,0.0
8408ea7ffffffff,2.0,2.0,0.0
8408ed3ffffffff,3.0,0.0,0.0
8408ed7ffffffff,2.0,0.0,0.0
8408f01ffffffff,2.0,0.0,0.0
8408f09ffffffff,2.0,0.0,0.0
8408f25ffffffff,4.0,2.0,0.0
8408f29ffffffff,1.0,0.0,0.0
8408f2dffffffff,6.0,4.0,0.0
8408f43ffffffff,2.0,0.0,0.0
8408f47ffffffff,3.0,0.0,0.0
8408f63ffffffff,33.0,0.0,0.0
8409587ffffffff,2.0,0.0,0.0
840958bffffffff,2.0,0.0,0.0
8409591ffffffff,4.0,0.0,0.0
8409599ffffffff,1.0,0.0,0.0
84095a9ffffffff,2.0,0.0,0.0
84095bbffffffff,2.0,0.0,0.0
8409805ffffffff,43.0,0.0,0.0
8409811ffffffff,53.0,1.0,0.0
8409815ffffffff,7.0,0.0,0.0
8409819ffffffff,14.0,3.0,0.0
840981dffffffff,4.0,0.0,0.0
8409821ffffffff,61.0,2.0,0.0
8409825ffffffff,2.0,0.0,0.0
8409829ffffffff,6.0,0.0,0.0
840982bffffffff,83.0,2.0,0.0
840982dffffffff,19.0,0.0,0.0
8409881ffffffff,4.0,0.0,0.0
8409883ffffffff,6.0,0.0,0.0
8409887ffffffff,1.0,0.0,0.0
8409893ffffffff,9.0,0.0,0.0
84098a9ffffffff,3.0,0.0,0.0
84098b1ffffffff,2.0,0.0,0.0
84098bbffffffff,3.0,0.0,0.0
84098c5ffffffff,1.0,0.0,0.0
84098d5ffffffff,1.0,0.0,0.0
84098d9ffffffff,2.0,0.0,0.0
84098ddffffffff,2.0,0.0,0.0
84098e3ffffffff,2.0,0.0,0.0
84098ebffffffff,1.0,0.0,0.0
8409911ffffffff,56.0,0.0,0.0
8409913ffffffff,3.0,0.0,0.0
8409917ffffffff,23.0,0.0,0.0
840991bffffffff,136.0,0.0,0.0
8409981ffffffff,15.0,0.0,0.0
8409983ffffffff,19.0,3.0,0.0
8409987ffffffff,14.0,1.0,0.0
8409991ffffffff,62.0,3.0,0.0
8409993ffffffff,478.0,78.0,0.0
8409995ffffffff,15.0,4.0,0.0
8409997ffffffff,33.0,9.0,0.0
8409999ffffffff,6.0,0.0,0.0
840999bffffffff,11.0,1.0,0.0
84099a3ffffffff,4.0,0.0,0.0
84099a7ffffffff,2.0,0.0,0.0
84099b1ffffffff,9.0,0.0,0.0
84099b5ffffffff,2.0,0.0,0.0
84099b9ffffffff,313.0,4.0,0.0
84099bbffffffff,8.0,0.0,0.0
84099bdffffffff,20.0,0.0,0.0
84099cdffffffff,5.0,0.0,0.0
84099d7ffffffff,9.0,0.0,0.0
84099e9ffffffff,104.0,0.0,0.0
84099ebffffffff,10.0,0.0,0.0
8409a09ffffffff,24.0,0.0,0.0
8409a41ffffffff,1.0,0.0,0.0
8409a43ffffffff,2.0,0.0,0.0
8409a45ffffffff,19.0,0.0,0.0
8409a47ffffffff,57.0,7.0,0.0
8409a4dffffffff,5.0,2.0,0.0
8409a55ffffffff,4.0,0.0,0.0
8409a69ffffffff,11.0,0.0,0.0
8409a6bffffffff,26.0,4.0,0.0
8409ab1ffffffff,1.0,0.0,0.0
8409ab3ffffffff,2.0,0.0,0.0
840bb01ffffffff,2.0,0.0,0.0
8410135ffffffff,2.0,0.0,0.0
8410167ffffffff,7.0,0.0,0.0
8410203ffffffff,2.0,0.0,0.0
8410231ffffffff,3.0,0.0,0.0
841023dffffffff,1.0,0.0,0.0
8410245ffffffff,1.0,0.0,0.0
8410895ffffffff,1.0,0.0,0.0
8410897ffffffff,2.0,0.0,0.0
84109b5ffffffff,1.0,0.0,0.0
8410a19ffffffff,4.0,0.0,0.0
8410b39ffffffff,2.0,0.0,0.0
8410c23ffffffff,5.0,0.0,0.0
8410c27ffffffff,16.0,0.0,0.0
8410d5bffffffff,1.0,0.0,0.0
8410d69ffffffff,1.0,0.0,0.0
8410dc1ffffffff,1.0,0.0,0.0
8410dc9ffffffff,15.0,0.0,0.0
8410dcdffffffff,2.0,0.0,0.0
8410ee1ffffffff,7.0,0.0,0.0
8410f29ffffffff,1.0,0.0,0.0
8411001ffffffff,2.0,0.0,0.0
8411009ffffffff,6.0,0.0,0.0
8411015ffffffff,20.0,0.0,0.0
8411031ffffffff,19.0,0.0,0.0
8411039ffffffff,3.0,0.0,0.0
841103bffffffff,18.0,0.0,0.0
8411043ffffffff,3.0,0.0,0.0
8411045ffffffff,4.0,0.0,0.0
841104bffffffff,2.0,2.0,0.0
8411059ffffffff,32.0,2.0,0.0
841105bffffffff,4.0,2.0,0.0
8411061ffffffff,72.0,0.0,0.0
8411063ffffffff,5.0,0.0,0.0
8411065ffffffff,1.0,0.0,0.0
8411069ffffffff,34.0,0.0,0.0
841106bffffffff,59.0,0.0,0.0
841106dffffffff,1.0,0.0,0.0
