cell_id,Sclerurus scansor,Sclerurus scansor cearensis,Sclerurus scansor scansor
828007fffffffff,25.0,20.0,0.0
828017fffffffff,263.0,201.0,0.0
828037fffffffff,67.0,48.0,0.0
828137fffffffff,63.0,33.0,0.0
82a807fffffffff,479.0,0.0,127.0
82a817fffffffff,792.0,0.0,219.0
82a81ffffffffff,55.0,0.0,11.0
82a827fffffffff,51.0,0.0,14.0
82a82ffffffffff,6.0,0.0,3.0
82a837fffffffff,258.0,0.0,44.0
82a887fffffffff,59.0,0.0,7.0
82a897fffffffff,7.0,0.0,1.0
82a8a7fffffffff,622.0,0.0,184.0
82a8affffffffff,39.0,0.0,11.0
82a8c7fffffffff,6.0,0.0,0.0
82a8d7fffffffff,24.0,0.0,8.0
82a8dffffffffff,5.0,0.0,0.0
82a907fffffffff,4.0,0.0,2.0
82a90ffffffffff,77.0,0.0,22.0
82a91ffffffffff,240.0,0.0,40.0
82a92ffffffffff,20.0,0.0,9.0
82a947fffffffff,31.0,0.0,0.0
82a957fffffffff,140.0,0.0,0.0
82a95ffffffffff,2.0,0.0,0.0
82a977fffffffff,4.0,0.0,0.0
