cell_id,Toxostoma lecontei,Toxostoma lecontei lecontei/macmillanorum,Toxostoma lecontei arenicola
832980fffffffff,7.0,0.0,0.0
832981fffffffff,8.0,0.0,0.0
832984fffffffff,9.0,0.0,0.0
832985fffffffff,2.0,0.0,0.0
832986fffffffff,171.0,0.0,0.0
832988fffffffff,20.0,0.0,0.0
83298cfffffffff,34.0,0.0,0.0
832995fffffffff,3.0,0.0,0.0
8329a0fffffffff,2.0,0.0,0.0
8329a1fffffffff,18.0,0.0,0.0
8329a2fffffffff,2.0,0.0,0.0
8329a3fffffffff,12.0,0.0,0.0
8329a6fffffffff,75.0,0.0,0.0
8329a8fffffffff,1.0,0.0,0.0
8329acfffffffff,15.0,2.0,0.0
8329aefffffffff,1.0,0.0,0.0
8329b1fffffffff,20.0,1.0,0.0
8329b5fffffffff,13.0,0.0,0.0
834855fffffffff,6.0,0.0,0.0
834859fffffffff,14.0,0.0,0.0
83485afffffffff,132.0,1.0,0.0
83485bfffffffff,37.0,0.0,0.0
834873fffffffff,36.0,0.0,29.0
8348e8fffffffff,46.0,2.0,0.0
8348e9fffffffff,255.0,19.0,0.0
