cell_id,Catharus fuscater,Catharus fuscater hellmayri,Catharus fuscater [fuscater Group]
83660dfffffffff,6.0,0.0,0.0
836613fffffffff,4.0,0.0,0.0
836618fffffffff,1.0,0.0,0.0
836620fffffffff,6.0,5.0,1.0
8366b4fffffffff,25.0,4.0,0.0
8366b5fffffffff,1.0,1.0,0.0
8366e6fffffffff,4.0,0.0,0.0
83675efffffffff,6.0,0.0,0.0
836d69fffffffff,56.0,42.0,0.0
838b61fffffffff,4.0,0.0,4.0
838b6cfffffffff,1.0,0.0,0.0
838b75fffffffff,2.0,0.0,0.0
838f50fffffffff,3.0,0.0,0.0
838f54fffffffff,2.0,0.0,0.0
838f76fffffffff,2.0,0.0,2.0
