cell_id,Corypha hypermetra,Corypha hypermetra hypermetra,Corypha hypermetra gallarum
847a401ffffffff,37.0,0.0,0.0
847a403ffffffff,9.0,0.0,0.0
847a405ffffffff,9.0,0.0,0.0
847a407ffffffff,30.0,0.0,0.0
847a40dffffffff,23.0,0.0,0.0
847a41dffffffff,2.0,0.0,0.0
847a5e3ffffffff,3.0,0.0,0.0
847a605ffffffff,2.0,0.0,0.0
847a609ffffffff,33.0,0.0,0.0
847a60bffffffff,9.0,0.0,0.0
847a61dffffffff,4.0,0.0,0.0
847a641ffffffff,87.0,0.0,0.0
847a643ffffffff,31.0,0.0,0.0
847a645ffffffff,17.0,0.0,0.0
847a647ffffffff,51.0,0.0,0.0
847a651ffffffff,6.0,0.0,0.0
847a655ffffffff,4.0,0.0,0.0
847a65dffffffff,8.0,0.0,0.0
847a669ffffffff,5.0,0.0,0.0
847a66bffffffff,6.0,0.0,0.0
847acd7ffffffff,1.0,0.0,0.0
847ad91ffffffff,1.0,0.0,0.0
847ad95ffffffff,2.0,0.0,0.0
847ad99ffffffff,44.0,0.0,0.0
847ad9dffffffff,6.0,0.0,0.0
847b4b1ffffffff,1.0,0.0,0.0
8496921ffffffff,1.0,0.0,0.0
8496925ffffffff,6.0,0.0,0.0
8496935ffffffff,2.0,0.0,0.0
