cell_id,Rauenia bonariensis,Rauenia bonariensis darwinii,Rauenia bonariensis [bonariensis Group]
8266d7fffffffff,16.0,7.0,0.0
8266dffffffffff,2.0,0.0,0.0
828b27fffffffff,29.0,0.0,26.0
828b67fffffffff,18.0,18.0,0.0
828e67fffffffff,7.0,5.0,0.0
828f47fffffffff,2.0,0.0,0.0
828f57fffffffff,2.0,0.0,0.0
828f5ffffffffff,4.0,1.0,0.0
82a817fffffffff,2.0,0.0,0.0
82a947fffffffff,2.0,0.0,0.0
82a957fffffffff,4.0,0.0,0.0
82a96ffffffffff,9.0,0.0,0.0
82b24ffffffffff,134.0,0.0,0.0
82b25ffffffffff,2.0,0.0,2.0
82b267fffffffff,6.0,0.0,0.0
82b26ffffffffff,195.0,0.0,0.0
82b277fffffffff,4.0,0.0,0.0
82b2c7fffffffff,7.0,0.0,7.0
82b2dffffffffff,3.0,0.0,0.0
82b2effffffffff,2.0,0.0,0.0
82b307fffffffff,10.0,0.0,0.0
82b35ffffffffff,8.0,0.0,7.0
82b36ffffffffff,2.0,0.0,2.0
82c21ffffffffff,3.0,0.0,3.0
82c2c7fffffffff,11.0,0.0,3.0
82c2cffffffffff,24.0,0.0,0.0
82c2d7fffffffff,5.0,0.0,0.0
82c2e7fffffffff,3.0,0.0,1.0
82c2effffffffff,3.0,0.0,0.0
82c2f7fffffffff,6.0,0.0,0.0
82c327fffffffff,6.0,0.0,0.0
82c32ffffffffff,29.0,0.0,3.0
82c357fffffffff,3.0,0.0,3.0
82c377fffffffff,3.0,0.0,3.0
