cell_id,Caprimulgus pectoralis,Caprimulgus pectoralis nigriscapularis,Caprimulgus pectoralis [pectoralis Group]
8458883ffffffff,2.0,2.0,0.0
845890bffffffff,4.0,4.0,0.0
845894bffffffff,2.0,0.0,0.0
845894dffffffff,1.0,1.0,0.0
8458969ffffffff,22.0,22.0,0.0
8458c3dffffffff,2.0,2.0,0.0
8458c8bffffffff,2.0,2.0,0.0
8458d33ffffffff,29.0,29.0,0.0
846a109ffffffff,2.0,2.0,0.0
846a5a9ffffffff,3.0,3.0,0.0
846ac03ffffffff,2.0,2.0,0.0
846ac15ffffffff,25.0,22.0,0.0
846ac35ffffffff,1.0,1.0,0.0
846ac39ffffffff,3.0,3.0,0.0
846ac3dffffffff,31.0,30.0,0.0
846ac89ffffffff,3.0,3.0,0.0
846acc7ffffffff,16.0,16.0,0.0
846acd5ffffffff,2.0,2.0,0.0
846ace3ffffffff,2.0,2.0,0.0
846ace5ffffffff,162.0,155.0,0.0
846adc9ffffffff,10.0,10.0,0.0
846add9ffffffff,1.0,1.0,0.0
846ae15ffffffff,2.0,2.0,0.0
846aea1ffffffff,5.0,5.0,0.0
846aea3ffffffff,2.0,2.0,0.0
846aea9ffffffff,2.0,2.0,0.0
846aeabffffffff,1.0,1.0,0.0
846aee3ffffffff,7.0,7.0,0.0
84750d1ffffffff,26.0,24.0,0.0
84750d7ffffffff,2.0,2.0,0.0
84750dbffffffff,6.0,6.0,0.0
8475293ffffffff,10.0,10.0,0.0
847529bffffffff,7.0,6.0,0.0
84752d3ffffffff,25.0,25.0,0.0
84752dbffffffff,2.0,2.0,0.0
84752e9ffffffff,2.0,2.0,0.0
847a66dffffffff,4.0,0.0,0.0
847a6d1ffffffff,2.0,0.0,0.0
847b4a7ffffffff,2.0,0.0,0.0
847b4cbffffffff,3.0,0.0,0.0
847b595ffffffff,5.0,0.0,0.0
847b597ffffffff,42.0,0.0,0.0
8482a55ffffffff,2.0,2.0,0.0
8482d3dffffffff,5.0,5.0,0.0
8483125ffffffff,5.0,2.0,0.0
8483263ffffffff,9.0,0.0,0.0
848333dffffffff,5.0,0.0,0.0
8483a89ffffffff,3.0,0.0,0.0
8496009ffffffff,8.0,0.0,0.0
849600bffffffff,2.0,0.0,0.0
849600dffffffff,1.0,0.0,0.0
849602dffffffff,4.0,0.0,0.0
8496039ffffffff,2.0,0.0,0.0
849603bffffffff,3.0,0.0,0.0
8496047ffffffff,2.0,0.0,0.0
8496051ffffffff,1.0,0.0,0.0
849608dffffffff,2.0,0.0,0.0
8496093ffffffff,1.0,0.0,0.0
8496097ffffffff,7.0,0.0,0.0
849609dffffffff,1.0,0.0,0.0
8496141ffffffff,6.0,0.0,0.0
8496149ffffffff,2.0,0.0,0.0
849615bffffffff,2.0,0.0,0.0
849615dffffffff,6.0,0.0,0.0
8496201ffffffff,4.0,0.0,0.0
8496203ffffffff,2.0,0.0,0.0
8496207ffffffff,1.0,0.0,0.0
849620bffffffff,2.0,0.0,0.0
8496215ffffffff,5.0,0.0,0.0
8496217ffffffff,4.0,0.0,0.0
8496219ffffffff,2.0,0.0,0.0
849621dffffffff,4.0,0.0,0.0
849622bffffffff,3.0,0.0,0.0
8496233ffffffff,6.0,0.0,0.0
8496239ffffffff,3.0,0.0,0.0
849623bffffffff,29.0,0.0,0.0
8496257ffffffff,1.0,0.0,0.0
8496263ffffffff,4.0,0.0,0.0
8496267ffffffff,1.0,0.0,0.0
8496283ffffffff,8.0,0.0,0.0
8496287ffffffff,8.0,0.0,0.0
849628bffffffff,6.0,0.0,0.0
84962b9ffffffff,21.0,0.0,0.0
84962c5ffffffff,4.0,0.0,0.0
84962c9ffffffff,25.0,0.0,0.0
84962cdffffffff,2.0,0.0,0.0
84962d1ffffffff,3.0,0.0,0.0
84962d7ffffffff,3.0,0.0,0.0
84962e5ffffffff,6.0,0.0,0.0
84962edffffffff,10.0,0.0,0.0
8496331ffffffff,2.0,0.0,0.0
8496335ffffffff,11.0,0.0,0.0
8496365ffffffff,5.0,0.0,0.0
849640dffffffff,1.0,0.0,0.0
8496447ffffffff,1.0,0.0,0.0
8496703ffffffff,2.0,0.0,0.0
8496757ffffffff,7.0,0.0,0.0
8496885ffffffff,1.0,0.0,0.0
8496a15ffffffff,4.0,0.0,0.0
8496a2dffffffff,2.0,0.0,0.0
8496a59ffffffff,5.0,0.0,0.0
8496a8bffffffff,2.0,0.0,0.0
8496a8dffffffff,1.0,0.0,0.0
8496ad7ffffffff,2.0,0.0,0.0
8496b09ffffffff,2.0,0.0,0.0
8496b0dffffffff,1.0,0.0,0.0
8496b19ffffffff,14.0,0.0,0.0
8496b1bffffffff,4.0,0.0,0.0
8496b53ffffffff,6.0,0.0,0.0
8496b57ffffffff,8.0,0.0,0.0
8496b63ffffffff,4.0,0.0,0.0
8496b6dffffffff,1.0,0.0,0.0
8497053ffffffff,1.0,0.0,0.0
8497057ffffffff,3.0,0.0,0.0
8497081ffffffff,1.0,0.0,0.0
8497085ffffffff,5.0,0.0,0.0
84970c5ffffffff,3.0,0.0,0.0
84970d3ffffffff,7.0,0.0,0.0
8497101ffffffff,1.0,0.0,0.0
8497103ffffffff,10.0,0.0,0.0
8497119ffffffff,12.0,0.0,0.0
849711dffffffff,4.0,0.0,0.0
8497199ffffffff,9.0,0.0,0.0
849719bffffffff,3.0,0.0,0.0
84971cbffffffff,8.0,0.0,0.0
84971d7ffffffff,1.0,0.0,0.0
849721bffffffff,2.0,0.0,0.0
8497245ffffffff,3.0,0.0,0.0
8497253ffffffff,6.0,0.0,0.0
8497289ffffffff,2.0,0.0,0.0
849728dffffffff,50.0,0.0,0.0
8497291ffffffff,6.0,0.0,0.0
8497295ffffffff,1.0,0.0,0.0
84972c5ffffffff,13.0,0.0,0.0
84972c9ffffffff,7.0,0.0,0.0
84972cbffffffff,1.0,0.0,0.0
84972cdffffffff,15.0,0.0,0.0
84972d5ffffffff,2.0,0.0,0.0
84972d9ffffffff,10.0,0.0,0.0
84972dbffffffff,3.0,0.0,0.0
84972e3ffffffff,41.0,0.0,0.0
84972e7ffffffff,4.0,0.0,0.0
84972ebffffffff,3.0,0.0,0.0
8497313ffffffff,4.0,0.0,0.0
8497357ffffffff,11.0,0.0,0.0
8497405ffffffff,3.0,0.0,0.0
849740dffffffff,3.0,0.0,0.0
8497411ffffffff,1.0,0.0,0.0
8497415ffffffff,5.0,0.0,0.0
8497417ffffffff,4.0,0.0,0.0
849741dffffffff,4.0,0.0,0.0
8497431ffffffff,12.0,0.0,0.0
8497437ffffffff,15.0,0.0,0.0
849743bffffffff,11.0,0.0,0.0
8497453ffffffff,1.0,0.0,0.0
8497459ffffffff,2.0,0.0,0.0
849746bffffffff,2.0,0.0,0.0
8497489ffffffff,1.0,0.0,0.0
84974a9ffffffff,47.0,0.0,0.0
84974abffffffff,46.0,0.0,0.0
84974b9ffffffff,23.0,0.0,0.0
84974bbffffffff,1.0,0.0,0.0
84974e1ffffffff,4.0,0.0,0.0
84974e3ffffffff,4.0,0.0,0.0
84974e5ffffffff,7.0,0.0,0.0
84974e9ffffffff,20.0,0.0,0.0
84974edffffffff,3.0,0.0,0.0
8497509ffffffff,3.0,0.0,0.0
8497511ffffffff,3.0,0.0,0.0
8497513ffffffff,12.0,0.0,0.0
8497515ffffffff,3.0,0.0,0.0
8497517ffffffff,27.0,0.0,0.0
8497547ffffffff,2.0,0.0,0.0
8497587ffffffff,6.0,0.0,0.0
84975c7ffffffff,17.0,0.0,0.0
84975c9ffffffff,1.0,0.0,0.0
84975d1ffffffff,2.0,0.0,0.0
84975d9ffffffff,8.0,0.0,0.0
84975ddffffffff,3.0,0.0,0.0
84975e1ffffffff,1.0,0.0,0.0
8497637ffffffff,3.0,0.0,0.0
8497685ffffffff,4.0,0.0,0.0
84976a1ffffffff,2.0,0.0,0.0
849774dffffffff,6.0,0.0,0.0
84978d9ffffffff,6.0,0.0,0.0
84978ebffffffff,6.0,0.0,0.0
8497935ffffffff,1.0,0.0,0.0
84979d3ffffffff,3.0,0.0,0.0
8497a8bffffffff,6.0,0.0,0.0
8497aabffffffff,5.0,0.0,0.0
84ac801ffffffff,8.0,0.0,0.0
84ac805ffffffff,1.0,0.0,0.0
84ac80bffffffff,2.0,0.0,0.0
84ac863ffffffff,2.0,0.0,0.0
84ac865ffffffff,2.0,0.0,0.0
84ac867ffffffff,5.0,0.0,0.0
84ac959ffffffff,8.0,0.0,0.0
84ac95bffffffff,18.0,0.0,0.0
84ac961ffffffff,19.0,0.0,0.0
84ac969ffffffff,3.0,0.0,0.0
84ac96dffffffff,10.0,0.0,0.0
84aca2bffffffff,7.0,0.0,0.0
84aca3dffffffff,4.0,0.0,0.0
84aca4bffffffff,4.0,0.0,0.0
84aca6bffffffff,2.0,0.0,0.0
84acb15ffffffff,4.0,0.0,0.0
84acb1bffffffff,1.0,0.0,0.0
84acb31ffffffff,2.0,0.0,0.0
84ad321ffffffff,2.0,0.0,0.0
84ad325ffffffff,2.0,0.0,0.0
84ad329ffffffff,4.0,0.0,0.0
84ad365ffffffff,1.0,0.0,0.0
84ad367ffffffff,3.0,0.0,0.0
84ad369ffffffff,9.0,0.0,0.0
84ad36dffffffff,4.0,0.0,0.0
84ad883ffffffff,1.0,0.0,0.0
84bc095ffffffff,4.0,0.0,0.0
84bc197ffffffff,3.0,0.0,0.0
84bc19bffffffff,14.0,0.0,0.0
84bc1b7ffffffff,2.0,0.0,0.0
84bc409ffffffff,3.0,0.0,0.0
84bc40dffffffff,2.0,0.0,0.0
84bc41bffffffff,2.0,0.0,0.0
84bc431ffffffff,1.0,0.0,0.0
84bc443ffffffff,3.0,0.0,0.0
84bc447ffffffff,8.0,0.0,0.0
84bc455ffffffff,18.0,0.0,0.0
84bc457ffffffff,3.0,0.0,0.0
84bc46dffffffff,5.0,0.0,0.0
84bc497ffffffff,1.0,0.0,0.0
84bc4d5ffffffff,1.0,0.0,0.0
84bc519ffffffff,2.0,0.0,0.0
84bc559ffffffff,2.0,0.0,0.0
84bc687ffffffff,29.0,0.0,0.0
84bc695ffffffff,1.0,0.0,0.0
84bc697ffffffff,6.0,0.0,0.0
84bc6a3ffffffff,21.0,0.0,0.0
84bc6abffffffff,3.0,0.0,0.0
84bc6b1ffffffff,2.0,0.0,0.0
84bc6b3ffffffff,5.0,0.0,0.0
84bc6b7ffffffff,2.0,0.0,0.0
84bc6bdffffffff,2.0,0.0,0.0
84bc723ffffffff,4.0,0.0,0.0
84bc731ffffffff,6.0,0.0,0.0
84bc735ffffffff,4.0,0.0,0.0
84bc737ffffffff,16.0,0.0,0.0
84bc739ffffffff,5.0,0.0,0.0
84bc73bffffffff,1.0,0.0,0.0
84bc73dffffffff,3.0,0.0,0.0
84bc895ffffffff,1.0,0.0,0.0
84bc899ffffffff,7.0,0.0,0.0
84bc89bffffffff,14.0,0.0,0.0
84bc8d3ffffffff,3.0,0.0,0.0
84bc991ffffffff,6.0,0.0,0.0
84bcc27ffffffff,2.0,0.0,0.0
84bcc35ffffffff,4.0,0.0,0.0
84bcc37ffffffff,6.0,0.0,0.0
84bcc3dffffffff,2.0,0.0,0.0
84bcc6dffffffff,6.0,0.0,0.0
