cell_id,Grallaricula ferrugineipectus,Grallaricula ferrugineipectus rara,Grallaricula ferrugineipectus ferrugineipectus
8466205ffffffff,1.0,0.0,0.0
8466207ffffffff,9.0,0.0,2.0
846622bffffffff,1205.0,0.0,199.0
846623dffffffff,27.0,0.0,4.0
8466299ffffffff,2.0,0.0,0.0
846629dffffffff,20.0,0.0,0.0
84662d3ffffffff,35.0,0.0,0.0
8466e01ffffffff,1.0,0.0,0.0
8466e41ffffffff,240.0,0.0,0.0
8466e45ffffffff,2.0,0.0,0.0
8466e47ffffffff,20.0,0.0,0.0
8467413ffffffff,261.0,0.0,3.0
8467417ffffffff,1.0,0.0,0.0
8467425ffffffff,3.0,0.0,0.0
8467437ffffffff,3.0,0.0,1.0
846743bffffffff,1.0,0.0,0.0
84674c5ffffffff,170.0,0.0,4.0
84674cdffffffff,1.0,0.0,0.0
84674e9ffffffff,100.0,0.0,0.0
84674edffffffff,10.0,0.0,0.0
8467519ffffffff,19.0,0.0,0.0
84675a5ffffffff,18.0,0.0,1.0
84675c1ffffffff,1.0,0.0,0.0
84675c7ffffffff,1.0,0.0,0.0
84675c9ffffffff,9.0,0.0,0.0
84675cbffffffff,7.0,0.0,0.0
84675ddffffffff,6.0,0.0,0.0
84675e3ffffffff,3.0,0.0,0.0
84675ebffffffff,35.0,0.0,3.0
