cell_id,Scytalopus latrans,Scytalopus latrans latrans,Scytalopus latrans subcinereus
8466081ffffffff,1.0,0.0,0.0
8466083ffffffff,5.0,0.0,0.0
8466085ffffffff,4.0,0.0,0.0
8466087ffffffff,3.0,0.0,0.0
8466089ffffffff,35.0,0.0,0.0
846608dffffffff,49.0,1.0,0.0
846609dffffffff,3.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0
84660b3ffffffff,26.0,0.0,0.0
84660b5ffffffff,6.0,0.0,0.0
84660b7ffffffff,79.0,0.0,0.0
84660b9ffffffff,8.0,0.0,0.0
84660bdffffffff,63.0,0.0,0.0
84660c3ffffffff,14.0,0.0,0.0
84660cbffffffff,43.0,1.0,0.0
84660ddffffffff,35.0,0.0,0.0
8466181ffffffff,139.0,2.0,0.0
8466183ffffffff,85.0,0.0,0.0
8466187ffffffff,76.0,0.0,0.0
8466189ffffffff,6.0,0.0,0.0
846618bffffffff,211.0,2.0,0.0
846618dffffffff,13.0,0.0,0.0
8466191ffffffff,23.0,0.0,0.0
8466193ffffffff,9.0,0.0,0.0
8466195ffffffff,17.0,0.0,0.0
8466197ffffffff,336.0,0.0,0.0
8466199ffffffff,2.0,0.0,0.0
846619bffffffff,2.0,0.0,0.0
846619dffffffff,315.0,0.0,0.0
84661b1ffffffff,14.0,0.0,0.0
84661b3ffffffff,6.0,0.0,0.0
84661b7ffffffff,2.0,0.0,0.0
84661b9ffffffff,39.0,0.0,0.0
84661bbffffffff,893.0,16.0,0.0
84661c3ffffffff,1.0,0.0,0.0
84661d1ffffffff,1.0,0.0,0.0
84661d5ffffffff,159.0,1.0,0.0
84661d7ffffffff,5.0,0.0,0.0
8466291ffffffff,3.0,0.0,0.0
846629dffffffff,1.0,0.0,0.0
84662b1ffffffff,2.0,0.0,0.0
84662b7ffffffff,4.0,0.0,0.0
84662d3ffffffff,4.0,0.0,0.0
8466c0dffffffff,76.0,0.0,0.0
8466c21ffffffff,9.0,0.0,0.0
8466c25ffffffff,50.0,0.0,0.0
8466c2dffffffff,33.0,0.0,0.0
8466c41ffffffff,1.0,0.0,0.0
8466c45ffffffff,8.0,0.0,0.0
8466c47ffffffff,59.0,0.0,0.0
8466c4bffffffff,7.0,0.0,0.0
8466c4dffffffff,9.0,0.0,0.0
8466c61ffffffff,85.0,0.0,0.0
8466c63ffffffff,57.0,0.0,0.0
8466c67ffffffff,20.0,0.0,0.0
8466c69ffffffff,93.0,0.0,0.0
8466c6bffffffff,21.0,0.0,0.0
8466c6dffffffff,7.0,0.0,0.0
8466d03ffffffff,3.0,0.0,0.0
8466d0bffffffff,3.0,0.0,0.0
8466d11ffffffff,21.0,0.0,0.0
8466d15ffffffff,20.0,0.0,0.0
8466d17ffffffff,6.0,0.0,0.0
8466d19ffffffff,13.0,0.0,0.0
8466d1dffffffff,15.0,0.0,0.0
8466d31ffffffff,1426.0,225.0,0.0
8466d33ffffffff,366.0,32.0,0.0
8466d37ffffffff,28.0,1.0,0.0
8466d39ffffffff,58.0,0.0,0.0
8466d3bffffffff,27.0,0.0,0.0
8466d53ffffffff,84.0,0.0,0.0
8466d57ffffffff,3.0,0.0,0.0
8466d59ffffffff,15.0,0.0,0.0
8466de1ffffffff,1459.0,189.0,0.0
8466de5ffffffff,80.0,0.0,0.0
8466de7ffffffff,3.0,0.0,0.0
8466de9ffffffff,1.0,0.0,0.0
8466dedffffffff,213.0,0.0,0.0
8466e03ffffffff,16.0,0.0,0.0
8466e07ffffffff,8.0,0.0,0.0
8466e09ffffffff,122.0,2.0,0.0
8466e0bffffffff,260.0,19.0,0.0
8466e0dffffffff,19.0,0.0,0.0
8466e2dffffffff,67.0,0.0,0.0
8466e41ffffffff,2.0,0.0,0.0
8466e43ffffffff,33.0,0.0,0.0
8466e47ffffffff,811.0,26.0,0.0
8466e49ffffffff,1.0,0.0,0.0
8466e55ffffffff,148.0,0.0,0.0
8466e59ffffffff,5.0,0.0,0.0
8466e5dffffffff,6.0,0.0,0.0
8466e61ffffffff,141.0,0.0,0.0
8466e63ffffffff,7.0,0.0,0.0
8466e65ffffffff,492.0,2.0,0.0
8466e67ffffffff,527.0,0.0,0.0
8466e69ffffffff,11.0,0.0,0.0
8466e6dffffffff,2313.0,74.0,0.0
8466f13ffffffff,2.0,0.0,0.0
8466f15ffffffff,36.0,0.0,0.0
8466f19ffffffff,149.0,0.0,0.0
8466f1dffffffff,173.0,3.0,0.0
8466f37ffffffff,2.0,0.0,0.0
8466f3bffffffff,6.0,0.0,0.0
8466f53ffffffff,141.0,0.0,0.0
8466f57ffffffff,2.0,0.0,0.0
8466f59ffffffff,8.0,0.0,0.0
8466f5bffffffff,122.0,1.0,0.0
84675a5ffffffff,1.0,0.0,0.0
848f0d3ffffffff,198.0,7.0,33.0
848f0d9ffffffff,5.0,0.0,0.0
848f0dbffffffff,8.0,0.0,0.0
848f291ffffffff,15.0,0.0,0.0
848f293ffffffff,4.0,0.0,0.0
848f297ffffffff,33.0,0.0,0.0
848f29bffffffff,3.0,0.0,0.0
848f2bbffffffff,26.0,0.0,0.0
848f2d3ffffffff,25.0,0.0,0.0
848f2d5ffffffff,6.0,0.0,0.0
848f2d9ffffffff,16.0,0.0,0.0
848f2ddffffffff,1.0,0.0,0.0
848f503ffffffff,1.0,0.0,0.0
848f505ffffffff,3.0,0.0,0.0
848f509ffffffff,12.0,0.0,10.0
848f50bffffffff,4.0,0.0,0.0
848f541ffffffff,11.0,0.0,0.0
848f545ffffffff,4.0,0.0,0.0
848f547ffffffff,20.0,0.0,0.0
848f549ffffffff,19.0,0.0,0.0
848f54bffffffff,27.0,0.0,0.0
848f54dffffffff,48.0,0.0,0.0
848f55dffffffff,1.0,0.0,0.0
848f705ffffffff,3.0,0.0,0.0
848f721ffffffff,230.0,40.0,0.0
848f725ffffffff,5.0,0.0,0.0
848f727ffffffff,12.0,0.0,0.0
848f729ffffffff,5.0,0.0,0.0
848f72dffffffff,41.0,1.0,0.0
848f745ffffffff,4.0,0.0,0.0
848f761ffffffff,16.0,0.0,0.0
848f763ffffffff,1.0,0.0,0.0
848f765ffffffff,85.0,2.0,4.0
848f767ffffffff,49.0,8.0,1.0
848f769ffffffff,39.0,0.0,0.0
848f76bffffffff,4.0,0.0,0.0
848f76dffffffff,170.0,0.0,0.0
