cell_id,Cercococcyx montanus,Cercococcyx montanus montanus,Cercococcyx montanus patulus
826adffffffffff,8.0,2.0,0.0
827a47fffffffff,1.0,0.0,1.0
827a6ffffffffff,3.0,0.0,0.0
829717fffffffff,2.0,0.0,2.0
