cell_id,Oriolus chinensis,Oriolus chinensis diffusus,Oriolus chinensis [maculatus Group],Oriolus chinensis [chinensis Group],Oriolus chinensis melanisticus,Oriolus chinensis [frontalis Group],Oriolus chinensis broderipi/boneratensis
82240ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822457fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82246ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
822e67fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822e77fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
823087fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82309ffffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
8230c7fffffffff,3.0,2.0,0.0,0.0,0.0,0.0,0.0
8230e7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8231affffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
823c17fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
823c1ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
823c5ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
823c87fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
823c8ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
823c97fffffffff,90.0,0.0,0.0,0.0,0.0,0.0,0.0
823c9ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
823caffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
823cb7fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
823cc7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
823ce7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
823ceffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
823cf7fffffffff,82.0,3.0,0.0,0.0,0.0,0.0,0.0
824057fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8240a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82411ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
82414ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
824157fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82416ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
824177fffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0
8241a7fffffffff,11.0,1.0,0.0,0.0,0.0,0.0,0.0
8241b7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8242cffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8242dffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
824317fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82431ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8243affffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
824b87fffffffff,8.0,2.0,0.0,0.0,0.0,0.0,0.0
824ba7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
824baffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
824bb7fffffffff,5.0,1.0,0.0,0.0,0.0,0.0,0.0
826007fffffffff,12.0,2.0,0.0,0.0,0.0,0.0,0.0
826017fffffffff,49.0,0.0,0.0,0.0,0.0,0.0,0.0
82601ffffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
826027fffffffff,6.0,3.0,0.0,0.0,0.0,0.0,0.0
826037fffffffff,92.0,0.0,0.0,0.0,0.0,0.0,0.0
82608ffffffffff,79.0,0.0,0.0,0.0,0.0,0.0,0.0
826097fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8260a7fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
8260affffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8260b7fffffffff,69.0,0.0,0.0,0.0,0.0,0.0,0.0
826107fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82611ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
82618ffffffffff,100.0,9.0,0.0,0.0,0.0,0.0,0.0
