cell_id,Astur bicolor,Astur bicolor bicolor/fidens,Astur bicolor pileatus/guttifer
84450a3ffffffff,4.0,0.0,0.0
84450d1ffffffff,3.0,0.0,0.0
84450d3ffffffff,3.0,0.0,0.0
8445225ffffffff,24.0,0.0,0.0
8445281ffffffff,2.0,0.0,0.0
8445287ffffffff,1.0,0.0,0.0
84452a5ffffffff,12.0,0.0,0.0
84452a7ffffffff,2.0,0.0,0.0
84452a9ffffffff,3.0,0.0,0.0
84452adffffffff,13.0,0.0,0.0
84452b9ffffffff,1.0,0.0,0.0
84452e1ffffffff,25.0,0.0,0.0
84452ebffffffff,8.0,0.0,0.0
8445305ffffffff,3.0,0.0,0.0
844532bffffffff,2.0,0.0,0.0
8445351ffffffff,4.0,0.0,0.0
8445365ffffffff,5.0,0.0,0.0
8445367ffffffff,1.0,0.0,0.0
845f42bffffffff,1.0,0.0,0.0
84660ddffffffff,1.0,0.0,0.0
8466181ffffffff,1.0,0.0,0.0
84661b1ffffffff,11.0,0.0,0.0
84661cdffffffff,2.0,0.0,0.0
8466291ffffffff,1.0,1.0,0.0
846654bffffffff,3.0,0.0,0.0
8466a51ffffffff,9.0,0.0,0.0
8466b49ffffffff,4.0,1.0,0.0
8466b4dffffffff,15.0,0.0,0.0
8466b51ffffffff,37.0,0.0,0.0
8466b5bffffffff,2.0,0.0,0.0
8466d1bffffffff,3.0,0.0,0.0
8466d31ffffffff,3.0,0.0,0.0
8466d57ffffffff,1.0,0.0,0.0
8466e2dffffffff,2.0,0.0,0.0
8466e49ffffffff,1.0,0.0,0.0
846742bffffffff,1.0,0.0,0.0
84674cdffffffff,2.0,0.0,0.0
8467539ffffffff,3.0,0.0,0.0
8467599ffffffff,4.0,0.0,0.0
84675a9ffffffff,4.0,0.0,0.0
84675adffffffff,2.0,0.0,0.0
84675b3ffffffff,1.0,0.0,0.0
84675d5ffffffff,2.0,0.0,0.0
846d21bffffffff,2.0,1.0,0.0
846d2d1ffffffff,4.0,0.0,0.0
846d319ffffffff,7.0,0.0,0.0
846d31bffffffff,4.0,0.0,0.0
846d651ffffffff,2.0,0.0,0.0
846d653ffffffff,3.0,0.0,0.0
846d697ffffffff,2.0,0.0,0.0
846d69dffffffff,2.0,0.0,0.0
848b257ffffffff,2.0,0.0,2.0
848b2c5ffffffff,1.0,1.0,0.0
848b693ffffffff,11.0,0.0,0.0
848b69bffffffff,2.0,0.0,0.0
848f099ffffffff,1.0,0.0,0.0
848f0d3ffffffff,2.0,0.0,0.0
848f2a9ffffffff,2.0,2.0,0.0
848f435ffffffff,2.0,0.0,0.0
84a8c25ffffffff,1.0,0.0,1.0
84a9293ffffffff,4.0,0.0,0.0
84a9465ffffffff,8.0,0.0,0.0
84a9501ffffffff,3.0,0.0,0.0
84a9503ffffffff,1.0,0.0,0.0
84a950bffffffff,5.0,0.0,0.0
84a951dffffffff,2.0,0.0,0.0
84a9531ffffffff,2.0,0.0,0.0
84a9539ffffffff,2.0,0.0,0.0
84a953bffffffff,15.0,0.0,0.0
84a9551ffffffff,2.0,0.0,0.0
84a9557ffffffff,1.0,0.0,0.0
84a9559ffffffff,1.0,0.0,0.0
84a955bffffffff,3.0,0.0,0.0
84a9613ffffffff,2.0,0.0,0.0
84a9619ffffffff,12.0,0.0,0.0
84a9653ffffffff,4.0,0.0,0.0
84a96e9ffffffff,1.0,0.0,0.0
84a9733ffffffff,4.0,0.0,0.0
84a973bffffffff,1.0,0.0,0.0
84b25e3ffffffff,2.0,0.0,0.0
84b2699ffffffff,2.0,0.0,0.0
84b26d1ffffffff,5.0,0.0,0.0
84b26d7ffffffff,2.0,0.0,0.0
84b2723ffffffff,2.0,0.0,0.0
84b35a5ffffffff,1.0,0.0,0.0
84b35e5ffffffff,2.0,0.0,0.0
84c2c17ffffffff,10.0,0.0,5.0
84c2c19ffffffff,6.0,0.0,0.0
84c2c1dffffffff,6.0,0.0,0.0
84c2c5bffffffff,1.0,0.0,0.0
84c2cc7ffffffff,3.0,0.0,0.0
84c2cd3ffffffff,8.0,0.0,0.0
84c2cdbffffffff,5.0,0.0,0.0
84c2ce1ffffffff,4.0,0.0,0.0
84c2d03ffffffff,1.0,0.0,0.0
