cell_id,Sporathraupis cyanocephala,Sporathraupis cyanocephala olivicyanea,Sporathraupis cyanocephala [cyanocephala Group],Sporathraupis cyanocephala subcinerea/buesingi
835f48fffffffff,1.0,0.0,0.0,0.0
835f58fffffffff,4.0,0.0,0.0,0.0
836608fffffffff,6.0,0.0,0.0,0.0
83660bfffffffff,3.0,0.0,0.0,0.0
83660dfffffffff,7.0,0.0,0.0,0.0
8366d3fffffffff,2.0,0.0,0.0,0.0
836741fffffffff,34.0,0.0,0.0,0.0
838f0dfffffffff,15.0,0.0,0.0,0.0
838f54fffffffff,2.0,0.0,0.0,0.0
838f55fffffffff,1.0,0.0,0.0,0.0
838f72fffffffff,2.0,0.0,0.0,0.0
838f76fffffffff,8.0,0.0,0.0,0.0
