cell_id,Elaenia martinica,Elaenia martinica [martinica Group],Elaenia martinica [cinerascens Group]
8445019ffffffff,3.0,0.0,0.0
8445053ffffffff,16.0,0.0,0.0
844505dffffffff,2.0,0.0,0.0
84450adffffffff,40.0,0.0,40.0
8445a33ffffffff,17.0,0.0,0.0
844cc0bffffffff,1.0,0.0,0.0
844cc51ffffffff,5.0,0.0,0.0
844cc57ffffffff,4.0,0.0,0.0
844ce85ffffffff,94.0,3.0,0.0
844ce8bffffffff,6.0,0.0,0.0
844cea9ffffffff,33.0,0.0,0.0
844ceb9ffffffff,1.0,0.0,0.0
844d497ffffffff,1.0,0.0,0.0
844d4bbffffffff,1.0,0.0,0.0
845e59bffffffff,2.0,2.0,0.0
845e705ffffffff,4.0,1.0,0.0
845e717ffffffff,2.0,0.0,0.0
845e719ffffffff,2.0,0.0,0.0
845e71bffffffff,9.0,9.0,0.0
845e72bffffffff,2.0,0.0,0.0
8467447ffffffff,2.0,0.0,0.0
8467461ffffffff,6.0,0.0,0.0
846746dffffffff,28.0,0.0,0.0
8467737ffffffff,30.0,0.0,0.0
8467805ffffffff,2.0,0.0,0.0
846783dffffffff,1.0,1.0,0.0
