cell_id,Limnodromus griseus,Limnodromus griseus griseus,Limnodromus griseus hendersoni,Limnodromus griseus caurinus
820c1ffffffffff,9.0,0.0,0.0,0.0
820c47fffffffff,171.0,0.0,0.0,0.0
820c57fffffffff,1100.0,0.0,0.0,1.0
820c5ffffffffff,270.0,0.0,0.0,0.0
820c6ffffffffff,32.0,0.0,0.0,0.0
820c77fffffffff,1844.0,0.0,0.0,66.0
820cdffffffffff,35.0,0.0,0.0,0.0
820ce7fffffffff,70.0,0.0,0.0,0.0
820ceffffffffff,28.0,0.0,0.0,0.0
820e47fffffffff,3.0,0.0,0.0,0.0
820e4ffffffffff,320.0,0.0,0.0,0.0
820e67fffffffff,3.0,0.0,0.0,0.0
820e6ffffffffff,3.0,0.0,0.0,0.0
820e87fffffffff,1727.0,0.0,0.0,0.0
820e8ffffffffff,7.0,0.0,0.0,0.0
820ec7fffffffff,77.0,0.0,5.0,0.0
820ecffffffffff,209.0,0.0,0.0,0.0
820ee7fffffffff,4.0,0.0,0.0,0.0
820eeffffffffff,1063.0,0.0,0.0,0.0
820ef7fffffffff,9.0,0.0,0.0,0.0
82121ffffffffff,22.0,0.0,4.0,0.0
82124ffffffffff,6.0,0.0,0.0,0.0
821257fffffffff,28.0,0.0,5.0,0.0
82125ffffffffff,50.0,0.0,4.0,0.0
821277fffffffff,9.0,0.0,0.0,0.0
821287fffffffff,25.0,0.0,0.0,0.0
821297fffffffff,13.0,0.0,0.0,0.0
82129ffffffffff,31.0,0.0,0.0,0.0
8212affffffffff,17.0,0.0,0.0,0.0
8212b7fffffffff,92.0,0.0,0.0,0.0
8212c7fffffffff,2.0,0.0,0.0,0.0
8212cffffffffff,150.0,0.0,10.0,0.0
8212d7fffffffff,1.0,0.0,0.0,0.0
8212e7fffffffff,23.0,0.0,3.0,0.0
8212effffffffff,239.0,0.0,16.0,0.0
821307fffffffff,2.0,0.0,0.0,0.0
821357fffffffff,4.0,0.0,0.0,0.0
821397fffffffff,20.0,0.0,0.0,0.0
82139ffffffffff,124.0,0.0,0.0,0.0
8213affffffffff,2.0,0.0,0.0,0.0
821aa7fffffffff,223.0,0.0,0.0,0.0
821ab7fffffffff,17.0,0.0,0.0,0.0
821b87fffffffff,32.0,0.0,0.0,0.0
821b97fffffffff,21.0,0.0,0.0,0.0
821b9ffffffffff,45.0,0.0,0.0,0.0
821bb7fffffffff,2.0,0.0,0.0,0.0
821d27fffffffff,14.0,0.0,0.0,0.0
8222dffffffffff,153.0,0.0,0.0,0.0
822607fffffffff,55.0,0.0,5.0,0.0
82260ffffffffff,116.0,0.0,11.0,0.0
822617fffffffff,6.0,0.0,2.0,0.0
822627fffffffff,518.0,0.0,15.0,0.0
82262ffffffffff,264.0,0.0,5.0,0.0
822637fffffffff,75.0,0.0,19.0,0.0
822647fffffffff,449.0,0.0,78.0,0.0
82264ffffffffff,348.0,0.0,7.0,0.0
822657fffffffff,346.0,0.0,16.0,0.0
82265ffffffffff,570.0,0.0,23.0,0.0
822667fffffffff,967.0,0.0,63.0,0.0
82266ffffffffff,513.0,0.0,0.0,0.0
822677fffffffff,702.0,0.0,73.0,0.0
822687fffffffff,1.0,0.0,0.0,0.0
82268ffffffffff,1.0,0.0,0.0,0.0
8226affffffffff,10.0,0.0,0.0,0.0
8226cffffffffff,15.0,0.0,0.0,0.0
8226e7fffffffff,326.0,0.0,14.0,0.0
8226effffffffff,8.0,0.0,3.0,0.0
8226f7fffffffff,4.0,0.0,0.0,0.0
822707fffffffff,487.0,0.0,0.0,0.0
82270ffffffffff,36.0,0.0,3.0,0.0
822717fffffffff,378.0,0.0,0.0,0.0
82271ffffffffff,245.0,0.0,13.0,0.0
822737fffffffff,2.0,0.0,0.0,0.0
822747fffffffff,399.0,0.0,0.0,0.0
82274ffffffffff,879.0,0.0,0.0,0.0
822757fffffffff,216.0,0.0,14.0,0.0
82275ffffffffff,1677.0,0.0,5.0,0.0
822767fffffffff,98.0,0.0,0.0,0.0
82276ffffffffff,438.0,0.0,0.0,0.0
822777fffffffff,90.0,0.0,2.0,0.0
822787fffffffff,23.0,0.0,3.0,0.0
822797fffffffff,32.0,0.0,0.0,0.0
82279ffffffffff,8.0,0.0,0.0,0.0
8227a7fffffffff,111.0,0.0,5.0,0.0
8227affffffffff,181.0,0.0,16.0,0.0
8227b7fffffffff,30.0,0.0,1.0,0.0
822807fffffffff,1474.0,0.0,0.0,251.0
822817fffffffff,64.0,0.0,0.0,7.0
82281ffffffffff,954.0,0.0,0.0,94.0
822837fffffffff,7227.0,0.0,0.0,836.0
82289ffffffffff,2.0,0.0,0.0,0.0
8228affffffffff,36.0,0.0,0.0,0.0
