cell_id,Geophaps plumifera,Geophaps plumifera ferruginea,Geophaps plumifera plumifera/leucogaster
839489fffffffff,3.0,0.0,0.0
83948efffffffff,15.0,7.0,0.0
839492fffffffff,8.0,0.0,0.0
8394c1fffffffff,4.0,0.0,0.0
8394c4fffffffff,40.0,0.0,7.0
8394c5fffffffff,2.0,0.0,0.0
8394c6fffffffff,17.0,0.0,0.0
8394c9fffffffff,1.0,0.0,0.0
8394ccfffffffff,5.0,0.0,0.0
8394d0fffffffff,1.0,0.0,0.0
8394d4fffffffff,5.0,0.0,0.0
8394d5fffffffff,26.0,0.0,0.0
8394d6fffffffff,2.0,0.0,0.0
8394e2fffffffff,63.0,0.0,5.0
8394e3fffffffff,14.0,0.0,0.0
8394e8fffffffff,4.0,0.0,0.0
8394eafffffffff,7.0,0.0,0.0
8394ebfffffffff,9.0,0.0,0.0
8394edfffffffff,1.0,0.0,0.0
8394eefffffffff,22.0,0.0,0.0
8394f1fffffffff,3.0,0.0,0.0
8394f2fffffffff,26.0,0.0,0.0
8394f5fffffffff,4.0,0.0,0.0
8394f6fffffffff,11.0,0.0,4.0
839c2cfffffffff,3.0,0.0,0.0
839c2dfffffffff,15.0,0.0,0.0
839c41fffffffff,6.0,0.0,0.0
839c44fffffffff,2.0,0.0,0.0
839c4afffffffff,3.0,0.0,0.0
839c4bfffffffff,4.0,0.0,0.0
839c4efffffffff,1.0,0.0,0.0
839c60fffffffff,20.0,0.0,0.0
839c64fffffffff,42.0,0.0,0.0
839c69fffffffff,14.0,0.0,0.0
839d40fffffffff,9.0,0.0,0.0
839d41fffffffff,16.0,0.0,0.0
839d43fffffffff,2.0,0.0,0.0
839d44fffffffff,296.0,0.0,0.0
839d45fffffffff,27.0,0.0,0.0
839d46fffffffff,55.0,0.0,0.0
839d48fffffffff,15.0,0.0,0.0
839d49fffffffff,2.0,0.0,0.0
839d4afffffffff,328.0,0.0,0.0
839d4cfffffffff,23.0,0.0,0.0
839d4efffffffff,2.0,0.0,0.0
839d58fffffffff,1.0,0.0,0.0
839d59fffffffff,7.0,0.0,0.0
839d5dfffffffff,49.0,0.0,0.0
839d60fffffffff,24.0,0.0,0.0
839d61fffffffff,9.0,0.0,0.0
839d62fffffffff,18.0,0.0,0.0
839d63fffffffff,10.0,0.0,0.0
839d64fffffffff,2.0,0.0,0.0
839d65fffffffff,13.0,0.0,0.0
839d69fffffffff,2.0,0.0,0.0
839d6afffffffff,17.0,0.0,0.0
839d6bfffffffff,5.0,0.0,0.0
839d6dfffffffff,14.0,0.0,0.0
839d6efffffffff,15.0,0.0,0.0
83a610fffffffff,2.0,2.0,0.0
83a611fffffffff,2.0,0.0,0.0
83a612fffffffff,41.0,0.0,0.0
83a614fffffffff,1.0,0.0,0.0
83a616fffffffff,1.0,0.0,0.0
83a630fffffffff,2.0,0.0,0.0
83a631fffffffff,8.0,0.0,0.0
83a6a4fffffffff,20.0,0.0,0.0
83a6a5fffffffff,13.0,0.0,0.0
83a6a6fffffffff,82.0,10.0,0.0
83a782fffffffff,37.0,1.0,0.0
83a783fffffffff,15.0,0.0,0.0
83a788fffffffff,5.0,2.0,0.0
83a78afffffffff,12.0,0.0,0.0
83a78bfffffffff,6.0,0.0,0.0
83a78efffffffff,12.0,0.0,0.0
83a790fffffffff,1.0,0.0,0.0
83a791fffffffff,4.0,0.0,0.0
83a792fffffffff,1.0,0.0,0.0
83a796fffffffff,1.0,0.0,0.0
83a798fffffffff,4.0,0.0,0.0
83a799fffffffff,10.0,2.0,0.0
83a79afffffffff,2.0,0.0,0.0
83a79bfffffffff,6.0,4.0,0.0
83a79cfffffffff,8.0,0.0,0.0
83a79dfffffffff,33.0,3.0,0.0
83a79efffffffff,16.0,0.0,0.0
83a7a9fffffffff,1.0,0.0,0.0
83a7abfffffffff,6.0,0.0,0.0
83a7aefffffffff,2.0,0.0,0.0
83b880fffffffff,60.0,0.0,0.0
83b881fffffffff,159.0,0.0,0.0
83b884fffffffff,3.0,0.0,0.0
83b885fffffffff,35.0,0.0,0.0
83b886fffffffff,1.0,0.0,0.0
83b888fffffffff,3.0,0.0,0.0
83b89afffffffff,51.0,0.0,0.0
83b89efffffffff,4.0,0.0,0.0
83b8a0fffffffff,2.0,0.0,0.0
83b8a9fffffffff,10.0,0.0,0.0
83b8aafffffffff,4.0,0.0,0.0
83b8abfffffffff,55.0,0.0,0.0
83b8acfffffffff,5.0,0.0,0.0
83b8b3fffffffff,1.0,0.0,0.0
83b8c9fffffffff,2.0,0.0,0.0
83becafffffffff,10.0,0.0,0.0
