cell_id,Dicaeum celebicum,Dicaeum celebicum [celebicum Group],Dicaeum celebicum kuehni
8473b09ffffffff,1.0,1.0,0.0
8473b55ffffffff,3.0,3.0,0.0
8495661ffffffff,1.0,0.0,0.0
