cell_id,Todiramphus sanctus,Todiramphus sanctus sanctus,Todiramphus sanctus canacorum,Todiramphus sanctus macmillani,Todiramphus sanctus vagans
82688ffffffffff,4.0,4.0,0.0,0.0,0.0
826897fffffffff,5.0,3.0,0.0,0.0,0.0
82689ffffffffff,2.0,0.0,0.0,0.0,0.0
8268c7fffffffff,2.0,0.0,0.0,0.0,0.0
8268cffffffffff,90.0,15.0,0.0,0.0,0.0
8268d7fffffffff,4.0,0.0,0.0,0.0,0.0
8268dffffffffff,6.0,0.0,0.0,0.0,0.0
82728ffffffffff,32.0,0.0,0.0,0.0,0.0
827297fffffffff,18.0,3.0,0.0,0.0,0.0
82729ffffffffff,1.0,0.0,0.0,0.0,0.0
8272a7fffffffff,34.0,0.0,0.0,0.0,0.0
8272affffffffff,54.0,0.0,0.0,0.0,0.0
8272d7fffffffff,101.0,6.0,0.0,0.0,0.0
8272dffffffffff,32.0,11.0,0.0,0.0,0.0
8272f7fffffffff,101.0,3.0,0.0,0.0,0.0
827397fffffffff,44.0,2.0,0.0,0.0,0.0
82739ffffffffff,170.0,32.0,0.0,0.0,0.0
827687fffffffff,4.0,1.0,0.0,0.0,0.0
82769ffffffffff,35.0,0.0,0.0,0.0,0.0
8276b7fffffffff,2.0,2.0,0.0,0.0,0.0
82779ffffffffff,6.0,0.0,0.0,0.0,0.0
828c17fffffffff,41.0,7.0,0.0,0.0,0.0
828c97fffffffff,2.0,0.0,0.0,0.0,0.0
828d87fffffffff,29.0,13.0,0.0,0.0,0.0
828d8ffffffffff,6.0,3.0,0.0,0.0,0.0
828da7fffffffff,48.0,4.0,0.0,0.0,0.0
828db7fffffffff,140.0,34.0,0.0,0.0,0.0
829407fffffffff,7.0,6.0,0.0,0.0,0.0
829417fffffffff,179.0,9.0,0.0,0.0,0.0
82941ffffffffff,32.0,7.0,0.0,0.0,0.0
829427fffffffff,31.0,7.0,0.0,0.0,0.0
82942ffffffffff,32.0,16.0,0.0,0.0,0.0
