cell_id,Sclerurus albigularis,Sclerurus albigularis canigularis,Sclerurus albigularis [albigularis Group]
845f5b5ffffffff,39.0,0.0,0.0
84661bbffffffff,1.0,0.0,0.0
8466291ffffffff,4.0,0.0,0.0
8466a2dffffffff,2.0,0.0,0.0
8466b5bffffffff,1.0,0.0,0.0
8466da7ffffffff,1.0,0.0,0.0
8467417ffffffff,2.0,0.0,0.0
84675a5ffffffff,1.0,0.0,0.0
846d69dffffffff,1.0,0.0,0.0
848b229ffffffff,1.0,0.0,0.0
848b63bffffffff,9.0,0.0,0.0
848b6d7ffffffff,1.0,0.0,0.0
848b6edffffffff,5.0,0.0,0.0
848f4b3ffffffff,1.0,0.0,0.0
848f727ffffffff,2.0,0.0,0.0
848f729ffffffff,1.0,0.0,0.0
848f72bffffffff,3.0,0.0,0.0
848f76bffffffff,1.0,0.0,0.0
