cell_id,Quiscalus major,Quiscalus major major,Quiscalus major torreyi/alabamensis,Quiscalus major westoni
84264d9ffffffff,20.0,0.0,0.0,0.0
842a101ffffffff,55.0,0.0,0.0,0.0
842a103ffffffff,119.0,0.0,2.0,0.0
842a107ffffffff,176.0,0.0,0.0,0.0
842a109ffffffff,1108.0,0.0,81.0,0.0
842a10bffffffff,50.0,0.0,0.0,0.0
842a133ffffffff,54.0,0.0,2.0,0.0
842a143ffffffff,7.0,0.0,0.0,0.0
842a151ffffffff,2.0,0.0,0.0,0.0
842a157ffffffff,12.0,0.0,0.0,0.0
842a15dffffffff,457.0,0.0,3.0,0.0
842a1a5ffffffff,2.0,0.0,1.0,0.0
842a333ffffffff,4.0,0.0,0.0,0.0
842aa83ffffffff,6.0,0.0,1.0,0.0
842aa91ffffffff,51.0,0.0,6.0,0.0
842aa95ffffffff,31.0,0.0,0.0,0.0
842aa97ffffffff,21.0,0.0,4.0,0.0
842aa9bffffffff,6.0,0.0,1.0,0.0
842aa9dffffffff,20.0,0.0,2.0,0.0
842aac3ffffffff,6.0,0.0,0.0,0.0
842aacbffffffff,2.0,0.0,0.0,0.0
842aad1ffffffff,105.0,0.0,40.0,0.0
842aad3ffffffff,83.0,0.0,12.0,0.0
842aad5ffffffff,122.0,0.0,6.0,0.0
842aadbffffffff,16.0,0.0,0.0,0.0
842aaddffffffff,37.0,0.0,0.0,0.0
842ad0bffffffff,2.0,0.0,0.0,0.0
842ad15ffffffff,2.0,0.0,0.0,0.0
842ad37ffffffff,17.0,0.0,8.0,0.0
842ad49ffffffff,1.0,0.0,0.0,0.0
842ad55ffffffff,2.0,0.0,0.0,0.0
842ad57ffffffff,4.0,0.0,0.0,0.0
842ad59ffffffff,28.0,0.0,0.0,0.0
842af05ffffffff,5.0,0.0,0.0,0.0
842af15ffffffff,2.0,0.0,0.0,0.0
842af31ffffffff,2.0,0.0,0.0,0.0
842af33ffffffff,2.0,0.0,0.0,0.0
842af39ffffffff,12.0,0.0,0.0,0.0
842af61ffffffff,25.0,0.0,0.0,0.0
842af65ffffffff,1.0,0.0,0.0,0.0
842af67ffffffff,31.0,0.0,0.0,0.0
8444121ffffffff,4.0,0.0,0.0,4.0
8444123ffffffff,1.0,0.0,0.0,1.0
8444125ffffffff,14.0,0.0,0.0,0.0
8444127ffffffff,2.0,0.0,0.0,0.0
8444131ffffffff,1.0,0.0,0.0,1.0
8444133ffffffff,4.0,0.0,0.0,1.0
8444135ffffffff,1.0,0.0,0.0,0.0
8444137ffffffff,10.0,0.0,0.0,0.0
844415dffffffff,1.0,0.0,0.0,0.0
8444161ffffffff,3.0,0.0,0.0,0.0
844416bffffffff,140.0,0.0,0.0,2.0
84441a1ffffffff,25.0,0.0,0.0,0.0
84441a3ffffffff,23.0,0.0,12.0,4.0
84441a5ffffffff,7.0,0.0,0.0,0.0
84441a7ffffffff,27.0,0.0,0.0,0.0
84441a9ffffffff,2.0,0.0,0.0,0.0
84441abffffffff,89.0,0.0,0.0,1.0
84441adffffffff,4.0,0.0,0.0,0.0
84441b7ffffffff,4.0,0.0,0.0,4.0
84441e5ffffffff,12.0,0.0,0.0,0.0
84441e7ffffffff,9.0,0.0,0.0,0.0
8444401ffffffff,4.0,0.0,0.0,0.0
8444409ffffffff,54.0,0.0,0.0,0.0
844440bffffffff,12.0,0.0,0.0,0.0
844440dffffffff,169.0,0.0,0.0,0.0
8444443ffffffff,6.0,0.0,0.0,0.0
8444445ffffffff,3.0,0.0,0.0,0.0
8444451ffffffff,1.0,0.0,0.0,0.0
8444455ffffffff,2.0,0.0,0.0,0.0
8444459ffffffff,83.0,0.0,0.0,0.0
844445dffffffff,72.0,0.0,0.0,0.0
8444461ffffffff,8.0,0.0,2.0,0.0
8444463ffffffff,1.0,0.0,0.0,0.0
8444465ffffffff,17.0,0.0,0.0,0.0
8444467ffffffff,23.0,0.0,2.0,0.0
844446bffffffff,6.0,0.0,0.0,0.0
844446dffffffff,2.0,0.0,0.0,0.0
8444501ffffffff,13.0,0.0,2.0,0.0
8444509ffffffff,1.0,0.0,1.0,0.0
844450dffffffff,3.0,0.0,1.0,0.0
8444529ffffffff,46.0,0.0,4.0,0.0
8444551ffffffff,1.0,0.0,0.0,0.0
8444555ffffffff,3.0,0.0,0.0,0.0
844455bffffffff,3.0,0.0,2.0,0.0
8444563ffffffff,3.0,0.0,1.0,0.0
8444567ffffffff,5.0,0.0,0.0,0.0
8444633ffffffff,7.0,0.0,0.0,0.0
8444637ffffffff,2.0,0.0,0.0,0.0
84446c1ffffffff,1.0,0.0,0.0,0.0
84446c5ffffffff,42.0,8.0,0.0,0.0
84446c9ffffffff,10.0,1.0,0.0,0.0
84446cbffffffff,2.0,0.0,0.0,0.0
84446cdffffffff,2.0,0.0,0.0,0.0
84446e1ffffffff,2.0,0.0,0.0,0.0
84446e5ffffffff,2.0,0.0,0.0,0.0
84446e9ffffffff,13.0,2.0,0.0,0.0
84446ebffffffff,5.0,0.0,0.0,0.0
