cell_id,Rhinopomastus castaneiceps,Rhinopomastus castaneiceps castaneiceps,Rhinopomastus castaneiceps brunneiceps
846ac15ffffffff,3.0,0.0,0.0
846ac3dffffffff,1.0,0.0,0.0
846ac89ffffffff,2.0,0.0,2.0
846acc3ffffffff,1.0,0.0,0.0
846acd5ffffffff,85.0,0.0,11.0
846ace5ffffffff,2.0,0.0,0.0
846adc1ffffffff,1.0,0.0,0.0
846ade7ffffffff,2.0,0.0,0.0
8475085ffffffff,7.0,0.0,0.0
84750d1ffffffff,78.0,11.0,0.0
84750d3ffffffff,1.0,0.0,0.0
84750ddffffffff,3.0,0.0,0.0
8475201ffffffff,1.0,0.0,0.0
8475291ffffffff,1.0,0.0,0.0
8475295ffffffff,36.0,8.0,0.0
84752a1ffffffff,4.0,0.0,0.0
84752abffffffff,54.0,3.0,0.0
84752b5ffffffff,15.0,5.0,0.0
84752bdffffffff,1.0,1.0,0.0
84752e9ffffffff,1.0,0.0,0.0
84758c9ffffffff,1.0,0.0,0.0
8475a57ffffffff,2.0,0.0,0.0
8475a81ffffffff,1.0,0.0,0.0
8475a83ffffffff,1.0,0.0,0.0
8475a91ffffffff,1.0,0.0,0.0
8475ab9ffffffff,1.0,0.0,0.0
848290bffffffff,1.0,0.0,0.0
8482b13ffffffff,2.0,0.0,0.0
8482d3dffffffff,1.0,0.0,0.0
8483921ffffffff,1.0,0.0,0.0
