cell_id,Tolmomyias assimilis,Tolmomyias assimilis neglectus,Tolmomyias assimilis examinatus,Tolmomyias assimilis obscuriceps,Tolmomyias assimilis [assimilis Group],Tolmomyias assimilis sucunduri,Tolmomyias assimilis paraensis
825f07fffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
825f0ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
825f17fffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0
825f1ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
825f2ffffffffff,249.0,0.0,0.0,0.0,0.0,0.0,0.0
825f47fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
825f57fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
825f6ffffffffff,10.0,0.0,1.0,0.0,0.0,0.0,0.0
825f77fffffffff,89.0,0.0,4.0,0.0,0.0,0.0,0.0
82660ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
826647fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
82664ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
826657fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
82665ffffffffff,125.0,0.0,0.0,21.0,0.0,0.0,0.0
826667fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
826677fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8266c7fffffffff,117.0,0.0,0.0,13.0,0.0,0.0,0.0
8266cffffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,99.0,0.0,0.0,0.0,0.0,0.0,0.0
8266dffffffffff,222.0,0.0,0.0,68.0,0.0,0.0,0.0
8266e7fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
8266effffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
828047fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
82804ffffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
828067fffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
82806ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
828077fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
828147fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,2.0
82814ffffffffff,104.0,0.0,0.0,0.0,0.0,0.0,0.0
82815ffffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
828a07fffffffff,76.0,0.0,1.0,0.0,0.0,0.0,0.0
828a17fffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0
828a1ffffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
828a27fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
828a37fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
828a47fffffffff,29.0,0.0,0.0,1.0,0.0,0.0,0.0
828a57fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
828a5ffffffffff,2.0,0.0,1.0,0.0,0.0,0.0,0.0
828a6ffffffffff,287.0,0.0,0.0,20.0,0.0,0.0,0.0
828a77fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
828a87fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
828a8ffffffffff,3.0,0.0,1.0,0.0,0.0,0.0,0.0
828a9ffffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
828aaffffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
828adffffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
828af7fffffffff,927.0,0.0,94.0,0.0,0.0,0.0,0.0
828b0ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
828b1ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
828b27fffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
828b47fffffffff,329.0,0.0,0.0,0.0,8.0,0.0,0.0
828b4ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
828b57fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
828b5ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
828b67fffffffff,148.0,0.0,0.0,0.0,9.0,0.0,0.0
828b6ffffffffff,55.0,0.0,0.0,0.0,0.0,0.0,0.0
828b77fffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0
828b87fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
828b8ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
828b9ffffffffff,149.0,0.0,0.0,0.0,0.0,0.0,0.0
828ba7fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
828baffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
828e67fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
828f47fffffffff,315.0,0.0,0.0,0.0,5.0,0.0,0.0
828f4ffffffffff,125.0,0.0,0.0,0.0,0.0,0.0,0.0
828f5ffffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
828f67fffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0
828f6ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
828f77fffffffff,37.0,0.0,0.0,11.0,1.0,0.0,0.0
82a85ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82a8cffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
82b327fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
