cell_id,Leptotila cassinii,Leptotila cassinii cerviniventris,Leptotila cassinii rufinucha,Leptotila cassinii cassinii
8445215ffffffff,1.0,0.0,0.0,0.0
8445225ffffffff,1.0,1.0,0.0,0.0
8445233ffffffff,1.0,0.0,0.0,0.0
8445257ffffffff,4.0,0.0,0.0,0.0
84452e1ffffffff,22.0,0.0,0.0,0.0
84452e5ffffffff,7.0,0.0,0.0,0.0
84452e7ffffffff,4.0,0.0,0.0,0.0
84660a7ffffffff,2.0,0.0,0.0,0.0
8466113ffffffff,4.0,0.0,0.0,0.0
84661c9ffffffff,3.0,0.0,0.0,0.0
84661cdffffffff,84.0,0.0,0.0,0.0
84661ebffffffff,4.0,0.0,0.0,0.0
8466b01ffffffff,1.0,0.0,0.0,0.0
8466b0bffffffff,4.0,0.0,4.0,0.0
8466b49ffffffff,2.0,0.0,0.0,0.0
8466b4dffffffff,2.0,0.0,0.0,0.0
8466b55ffffffff,5.0,0.0,1.0,0.0
84679a5ffffffff,6.0,1.0,0.0,0.0
846d21dffffffff,2.0,0.0,0.0,0.0
846d2c3ffffffff,3.0,0.0,0.0,0.0
846d2c7ffffffff,5.0,0.0,0.0,0.0
846d2c9ffffffff,1.0,0.0,0.0,0.0
846d681ffffffff,2.0,0.0,0.0,0.0
846d685ffffffff,2.0,0.0,0.0,0.0
846d68bffffffff,1.0,0.0,1.0,0.0
846d68dffffffff,1.0,0.0,0.0,0.0
846d691ffffffff,2.0,0.0,0.0,0.0
846d697ffffffff,10.0,0.0,5.0,0.0
846d69bffffffff,2.0,0.0,0.0,0.0
846d69dffffffff,1.0,0.0,0.0,0.0
