cell_id,Chaetura spinicaudus,Chaetura spinicaudus aetherodroma,Chaetura spinicaudus spinicaudus,Chaetura spinicaudus aethalea
845f4a9ffffffff,1.0,0.0,0.0,0.0
8466107ffffffff,10.0,0.0,0.0,0.0
8466139ffffffff,6.0,0.0,0.0,0.0
8466165ffffffff,3.0,0.0,0.0,0.0
8466167ffffffff,3.0,0.0,0.0,0.0
8466193ffffffff,3.0,0.0,0.0,0.0
84661ebffffffff,4.0,0.0,0.0,0.0
8466a01ffffffff,11.0,0.0,0.0,0.0
8466a05ffffffff,3.0,0.0,0.0,0.0
8466a0bffffffff,21.0,0.0,0.0,0.0
8466a1dffffffff,5.0,0.0,0.0,0.0
8466a33ffffffff,1.0,0.0,0.0,0.0
8466a51ffffffff,16.0,0.0,0.0,0.0
8466a55ffffffff,2.0,0.0,0.0,0.0
8466a57ffffffff,9.0,0.0,0.0,0.0
8466a5bffffffff,8.0,0.0,0.0,0.0
8466d0bffffffff,3.0,0.0,0.0,0.0
8466d31ffffffff,2.0,0.0,0.0,0.0
8466d35ffffffff,1.0,0.0,0.0,0.0
8466d37ffffffff,1.0,0.0,0.0,0.0
8466e6dffffffff,2.0,0.0,0.0,0.0
8481851ffffffff,4.0,0.0,0.0,0.0
848a01dffffffff,1.0,0.0,0.0,1.0
848aac9ffffffff,1.0,0.0,0.0,0.0
848aaddffffffff,1.0,0.0,0.0,0.0
848b8dbffffffff,1.0,0.0,0.0,0.0
848f0dbffffffff,1.0,0.0,0.0,0.0
848f2cdffffffff,2.0,0.0,0.0,0.0
