cell_id,Phoenicurus phoenicurus,Phoenicurus phoenicurus phoenicurus,Phoenicurus phoenicurus samamisicus
820127fffffffff,15.0,0.0,0.0
820137fffffffff,13.0,0.0,0.0
820807fffffffff,2.0,0.0,0.0
820817fffffffff,63.0,3.0,0.0
82081ffffffffff,26.0,0.0,0.0
82082ffffffffff,3.0,0.0,0.0
820837fffffffff,2.0,0.0,0.0
820887fffffffff,90.0,1.0,0.0
82088ffffffffff,20.0,4.0,0.0
820897fffffffff,70.0,0.0,0.0
82089ffffffffff,184.0,14.0,0.0
8208a7fffffffff,29.0,5.0,0.0
8208affffffffff,3.0,0.0,0.0
8208b7fffffffff,21.0,0.0,0.0
8208c7fffffffff,28.0,6.0,0.0
8208cffffffffff,121.0,5.0,0.0
8208d7fffffffff,52.0,4.0,0.0
8208dffffffffff,189.0,11.0,0.0
8208e7fffffffff,12.0,0.0,0.0
8208effffffffff,53.0,2.0,0.0
8208f7fffffffff,18.0,0.0,0.0
82095ffffffffff,6.0,0.0,0.0
820987fffffffff,29.0,0.0,0.0
82098ffffffffff,18.0,3.0,0.0
820997fffffffff,28.0,0.0,0.0
82099ffffffffff,40.0,7.0,0.0
8209a7fffffffff,131.0,4.0,0.0
820a37fffffffff,3.0,0.0,0.0
820a97fffffffff,2.0,2.0,0.0
820bb7fffffffff,1.0,0.0,0.0
821027fffffffff,4.0,0.0,0.0
821087fffffffff,1.0,0.0,0.0
82108ffffffffff,3.0,0.0,0.0
821097fffffffff,3.0,0.0,0.0
8210a7fffffffff,4.0,0.0,0.0
8210affffffffff,1.0,0.0,0.0
8210c7fffffffff,92.0,0.0,0.0
8210d7fffffffff,2.0,0.0,0.0
8210dffffffffff,21.0,0.0,0.0
8210effffffffff,12.0,0.0,0.0
8210f7fffffffff,4.0,0.0,0.0
821107fffffffff,54.0,0.0,0.0
821117fffffffff,18.0,0.0,0.0
821127fffffffff,20.0,4.0,0.0
82112ffffffffff,31.0,0.0,0.0
821137fffffffff,20.0,0.0,0.0
82115ffffffffff,1.0,0.0,0.0
821167fffffffff,1.0,0.0,0.0
821177fffffffff,2.0,0.0,0.0
821187fffffffff,13.0,0.0,0.0
82118ffffffffff,43.0,0.0,0.0
82119ffffffffff,14.0,0.0,0.0
8211affffffffff,36.0,0.0,0.0
821847fffffffff,24.0,0.0,0.0
82184ffffffffff,636.0,2.0,0.0
82185ffffffffff,82.0,0.0,0.0
821867fffffffff,17.0,4.0,0.0
82186ffffffffff,83.0,13.0,0.0
821877fffffffff,98.0,13.0,0.0
82190ffffffffff,173.0,19.0,0.0
82192ffffffffff,23.0,6.0,0.0
821947fffffffff,701.0,139.0,0.0
82194ffffffffff,396.0,73.0,0.0
821957fffffffff,151.0,26.0,0.0
82195ffffffffff,712.0,37.0,0.0
82196ffffffffff,403.0,0.0,0.0
821977fffffffff,129.0,9.0,0.0
821e07fffffffff,349.0,13.0,0.0
821e0ffffffffff,89.0,0.0,0.0
821e17fffffffff,166.0,3.0,0.0
821e1ffffffffff,105.0,0.0,0.0
821e27fffffffff,270.0,4.0,0.0
821e2ffffffffff,110.0,0.0,0.0
821e37fffffffff,760.0,11.0,0.0
821e47fffffffff,17.0,0.0,0.0
821e4ffffffffff,9.0,0.0,0.0
821e57fffffffff,71.0,0.0,0.0
821e5ffffffffff,97.0,0.0,0.0
821e67fffffffff,15.0,0.0,0.0
821e6ffffffffff,22.0,0.0,0.0
821e77fffffffff,6.0,0.0,0.0
821e87fffffffff,120.0,0.0,0.0
821e8ffffffffff,8.0,0.0,0.0
821e9ffffffffff,26.0,0.0,0.0
821ea7fffffffff,150.0,0.0,0.0
821eaffffffffff,23.0,0.0,0.0
821eb7fffffffff,87.0,6.0,0.0
821ec7fffffffff,174.0,22.0,0.0
821ecffffffffff,357.0,0.0,6.0
821ed7fffffffff,54.0,0.0,0.0
821edffffffffff,124.0,0.0,0.0
821ee7fffffffff,28.0,0.0,0.0
821eeffffffffff,128.0,20.0,0.0
821ef7fffffffff,70.0,0.0,0.0
821f07fffffffff,536.0,153.0,0.0
821f0ffffffffff,85.0,0.0,0.0
821f17fffffffff,156.0,0.0,0.0
821f1ffffffffff,387.0,3.0,0.0
821f27fffffffff,145.0,6.0,0.0
821f2ffffffffff,842.0,351.0,0.0
821f37fffffffff,135.0,10.0,0.0
821f47fffffffff,38.0,0.0,0.0
821f4ffffffffff,23.0,0.0,0.0
821f57fffffffff,124.0,0.0,0.0
821f5ffffffffff,140.0,0.0,0.0
821f67fffffffff,76.0,1.0,0.0
821f6ffffffffff,5.0,0.0,0.0
821f77fffffffff,220.0,0.0,0.0
821f87fffffffff,180.0,14.0,0.0
821f8ffffffffff,342.0,6.0,0.0
821f97fffffffff,84.0,30.0,0.0
821f9ffffffffff,405.0,14.0,0.0
821fa7fffffffff,203.0,4.0,0.0
821faffffffffff,402.0,1.0,0.0
821fb7fffffffff,108.0,20.0,0.0
82200ffffffffff,10.0,1.0,0.0
822017fffffffff,2.0,1.0,0.0
82201ffffffffff,17.0,3.0,0.0
82204ffffffffff,26.0,4.0,0.0
82205ffffffffff,4.0,0.0,0.0
82206ffffffffff,9.0,9.0,0.0
82208ffffffffff,1.0,0.0,0.0
8220a7fffffffff,2.0,0.0,0.0
8220c7fffffffff,4.0,0.0,0.0
8220e7fffffffff,10.0,5.0,0.0
822127fffffffff,2.0,0.0,0.0
82214ffffffffff,1.0,0.0,0.0
822157fffffffff,19.0,4.0,0.0
822177fffffffff,2.0,0.0,0.0
822187fffffffff,2.0,2.0,0.0
82219ffffffffff,12.0,1.0,0.0
822427fffffffff,26.0,0.0,0.0
82242ffffffffff,8.0,0.0,0.0
822467fffffffff,11.0,0.0,0.0
822507fffffffff,6.0,0.0,0.0
82250ffffffffff,3.0,0.0,0.0
822517fffffffff,39.0,5.0,0.0
822547fffffffff,32.0,6.0,0.0
822557fffffffff,2.0,0.0,0.0
82255ffffffffff,29.0,9.0,0.0
822577fffffffff,17.0,0.0,0.0
8225b7fffffffff,2.0,0.0,0.0
822c07fffffffff,801.0,0.0,0.0
822c0ffffffffff,139.0,0.0,3.0
822c17fffffffff,48.0,0.0,0.0
822c1ffffffffff,63.0,0.0,6.0
822c27fffffffff,414.0,0.0,73.0
822c2ffffffffff,482.0,0.0,103.0
822c37fffffffff,17.0,0.0,0.0
822c47fffffffff,7.0,1.0,0.0
822c4ffffffffff,4.0,0.0,0.0
822c57fffffffff,4.0,0.0,0.0
822c6ffffffffff,1.0,0.0,0.0
822c77fffffffff,28.0,0.0,0.0
822c87fffffffff,23.0,0.0,0.0
822c8ffffffffff,6.0,0.0,0.0
822c97fffffffff,1349.0,81.0,36.0
822c9ffffffffff,15.0,2.0,0.0
822ca7fffffffff,13.0,0.0,0.0
822caffffffffff,85.0,0.0,4.0
822cc7fffffffff,115.0,0.0,10.0
822ccffffffffff,19.0,0.0,0.0
822cd7fffffffff,56.0,0.0,2.0
822cdffffffffff,47.0,0.0,0.0
822ce7fffffffff,14.0,0.0,0.0
822cf7fffffffff,257.0,0.0,9.0
822d07fffffffff,116.0,0.0,0.0
822d17fffffffff,106.0,0.0,0.0
822d1ffffffffff,49.0,0.0,0.0
822d27fffffffff,6.0,0.0,0.0
822d2ffffffffff,1.0,0.0,0.0
822d37fffffffff,240.0,0.0,0.0
822d47fffffffff,2.0,0.0,0.0
822d57fffffffff,13.0,0.0,4.0
822d5ffffffffff,30.0,0.0,0.0
822d67fffffffff,88.0,0.0,0.0
822d77fffffffff,19.0,0.0,0.0
822d87fffffffff,6.0,0.0,0.0
822d97fffffffff,11.0,0.0,0.0
822da7fffffffff,121.0,4.0,0.0
822daffffffffff,88.0,0.0,0.0
822db7fffffffff,2447.0,302.0,185.0
82346ffffffffff,35.0,0.0,0.0
823817fffffffff,142.0,1.0,0.0
823827fffffffff,112.0,8.0,0.0
823837fffffffff,67.0,8.0,0.0
823847fffffffff,11.0,0.0,0.0
82384ffffffffff,14.0,0.0,0.0
82385ffffffffff,9.0,0.0,0.0
823867fffffffff,2.0,0.0,0.0
82386ffffffffff,5.0,0.0,0.0
823907fffffffff,534.0,0.0,0.0
82390ffffffffff,640.0,4.0,0.0
823917fffffffff,897.0,6.0,0.0
82391ffffffffff,1347.0,31.0,0.0
823927fffffffff,144.0,0.0,0.0
82392ffffffffff,1069.0,9.0,0.0
823937fffffffff,24.0,0.0,0.0
823947fffffffff,566.0,0.0,0.0
82394ffffffffff,6.0,0.0,0.0
823957fffffffff,438.0,0.0,0.0
82395ffffffffff,73.0,0.0,0.0
823967fffffffff,162.0,5.0,0.0
82396ffffffffff,354.0,30.0,0.0
823977fffffffff,1070.0,10.0,0.0
823987fffffffff,55.0,4.0,0.0
82398ffffffffff,161.0,4.0,0.0
823997fffffffff,56.0,13.0,0.0
82399ffffffffff,30.0,6.0,0.0
8239affffffffff,74.0,10.0,0.0
823e37fffffffff,1.0,0.0,0.0
823e47fffffffff,227.0,0.0,5.0
823e4ffffffffff,5.0,0.0,0.0
823e5ffffffffff,12.0,0.0,0.0
823e67fffffffff,14.0,0.0,0.0
823e6ffffffffff,1390.0,106.0,68.0
823e77fffffffff,2.0,0.0,0.0
823f27fffffffff,4.0,0.0,0.0
823f2ffffffffff,23.0,0.0,0.0
823f37fffffffff,172.0,0.0,0.0
823f47fffffffff,11.0,0.0,0.0
823f4ffffffffff,58.0,10.0,4.0
823f5ffffffffff,2.0,0.0,0.0
823f67fffffffff,72.0,0.0,0.0
823f6ffffffffff,117.0,0.0,0.0
823f77fffffffff,337.0,2.0,0.0
824227fffffffff,14.0,0.0,0.0
824307fffffffff,7.0,0.0,2.0
82430ffffffffff,4.0,0.0,0.0
824317fffffffff,22.0,0.0,0.0
82431ffffffffff,29.0,0.0,0.0
824327fffffffff,18.0,0.0,0.0
82432ffffffffff,9.0,0.0,0.0
824337fffffffff,15.0,0.0,0.0
824357fffffffff,3.0,0.0,0.0
824367fffffffff,50.0,0.0,0.0
824377fffffffff,5.0,0.0,0.0
824387fffffffff,5.0,0.0,3.0
82438ffffffffff,4.0,0.0,0.0
824397fffffffff,17.0,0.0,0.0
82439ffffffffff,2.0,0.0,0.0
8243a7fffffffff,280.0,67.0,49.0
8243affffffffff,206.0,51.0,20.0
825207fffffffff,81.0,0.0,11.0
825217fffffffff,10.0,0.0,0.0
82521ffffffffff,4.0,0.0,0.0
825237fffffffff,20.0,0.0,4.0
82524ffffffffff,1.0,0.0,0.0
82526ffffffffff,6.0,0.0,4.0
825287fffffffff,13.0,0.0,0.0
825297fffffffff,2.0,0.0,0.0
82529ffffffffff,30.0,0.0,0.0
8252b7fffffffff,1.0,0.0,0.0
8252d7fffffffff,6.0,0.0,0.0
825317fffffffff,2.0,0.0,0.0
82532ffffffffff,3.0,0.0,0.0
825347fffffffff,2.0,0.0,0.0
82534ffffffffff,95.0,7.0,4.0
825357fffffffff,4.0,0.0,0.0
825367fffffffff,129.0,7.0,2.0
82536ffffffffff,71.0,13.0,7.0
825377fffffffff,3.0,0.0,0.0
8253a7fffffffff,18.0,0.0,0.0
8253affffffffff,10.0,0.0,0.0
8253b7fffffffff,2.0,0.0,0.0
825407fffffffff,15.0,6.0,0.0
82540ffffffffff,7.0,0.0,0.0
825417fffffffff,126.0,42.0,0.0
82541ffffffffff,92.0,11.0,0.0
825437fffffffff,3.0,0.0,0.0
8254affffffffff,150.0,16.0,0.0
8254e7fffffffff,32.0,15.0,0.0
8254f7fffffffff,42.0,0.0,0.0
82550ffffffffff,10.0,0.0,0.0
825517fffffffff,12.0,3.0,0.0
82551ffffffffff,8.0,0.0,0.0
825537fffffffff,12.0,0.0,0.0
8258a7fffffffff,2.0,0.0,0.0
825987fffffffff,4.0,0.0,0.0
825997fffffffff,2.0,0.0,0.0
82599ffffffffff,6.0,1.0,0.0
826337fffffffff,7.0,0.0,0.0
826a47fffffffff,4.0,0.0,0.0
826a4ffffffffff,1.0,0.0,0.0
826a67fffffffff,3.0,0.0,0.0
826a6ffffffffff,10.0,0.0,0.0
826ae7fffffffff,4.0,0.0,0.0
826aeffffffffff,7.0,0.0,0.0
826b17fffffffff,1.0,0.0,0.0
826b37fffffffff,1.0,0.0,0.0
827527fffffffff,9.0,3.0,0.0
